日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
110/11/01,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110/11/02,45.325,50.45,,,,,39.1,,,,,22.25,,,,,28.200000000000003,,,,,2641.5,,,,,37.75,,
110/11/03,45.75833333333333,59.2,,,,,46.725,,,,,31.791666666666668,,,,,27.408333333333328,,,,,1354.1666666666667,,,,,45.325,,
110/11/04,41.27692307692308,60.35,,,56.666666666666664,,46.833333333333336,,,44.21944444444444,,31.383333333333336,,,28.475000000000005,,28.966666666666665,,,28.191666666666663,,995.5833333333334,,,1663.75,,45.75833333333333,,
110/11/05,32.823571428571434,53.638461538461534,,,57.72948717948717,,42.20769230769231,,,45.25534188034189,,27.646153846153844,,,30.273717948717948,,25.99230769230769,,,27.45576923076923,,1027.0,,,1125.5833333333333,,41.27692307692308,,
110/11/06,33.141666666666666,50.057142857142864,,,54.681868131868136,,33.07142857142857,,,40.70415140415141,,18.42142857142857,,,25.81697191697192,,31.635714285714293,,,28.864896214896216,,1122.2857142857142,,,1048.2896825396826,,32.823571428571434,,
110/11/07,30.63636363636364,46.583333333333336,,,50.09297924297925,,33.083333333333336,,,36.12081807081807,,20.191666666666663,,,22.086416361416358,,26.39166666666667,,,28.006562881562886,,1337.9166666666667,,,1162.4007936507935,,33.141666666666666,,
110/11/08,31.5,48.74545454545455,50.45,,48.46197691197691,52.71777032491319,31.00909090909091,39.1,,32.38795093795094,38.86141120783979,14.827272727272726,22.25,,17.81345598845599,23.78736025878883,33.91818181818182,28.200000000000003,,30.64852092352093,28.930410066124352,908.3636363636364,2641.5,,1122.855339105339,1340.973716759431,30.63636363636364,37.75,
110/11/09,26.922142857142852,42.15,59.2,,45.82626262626263,51.5320560391989,31.4,46.725,,31.83080808080808,37.761411207839785,18.75,31.791666666666668,,17.922979797979796,23.28736025878883,23.4,27.408333333333328,,27.90328282828283,28.24469578041007,3491.0,1354.1666666666667,,1912.4267676767677,1462.330859616574,31.5,45.325,
110/11/10,25.89307692307693,39.17857142857143,60.35,,43.35800865800866,48.671851957566254,27.092857142857145,46.833333333333336,,29.833982683982686,34.956819371105084,16.392857142857142,31.383333333333336,,16.656709956709957,21.087530326816044,22.78571428571429,28.966666666666665,,26.701298701298708,27.584321630750203,1578.2857142857142,995.5833333333334,,1992.5497835497833,1494.347866419295,26.922142857142852,45.75833333333333,
110/11/11,27.85833333333333,39.138461538461534,53.638461538461534,,40.15567765567766,45.641632177346466,25.253846153846155,42.20769230769231,,27.91556776556776,31.874035488321205,16.846153846153847,27.646153846153844,,17.329670329670332,19.01079040007611,22.292307692307688,25.99230769230769,,22.82600732600733,26.63084177727035,1553.4615384615386,1027.0,,2207.5824175824177,1574.0447528661814,25.89307692307693,41.27692307692308,
110/11/12,22.83076923076923,37.53333333333333,50.057142857142864,,38.616788766788765,43.34089957661387,27.95,33.07142857142857,,26.765567765567766,29.837222301508014,19.73333333333333,18.42142857142857,,17.657448107448108,17.880387469673185,17.799999999999997,31.635714285714293,,20.959340659340658,25.46051210694068,1937.6666666666667,1122.2857142857142,,1689.80463980464,1704.1399909614195,27.85833333333333,32.823571428571434,
110/11/13,21.392307692307693,35.76153846153846,46.583333333333336,,37.477777777777774,41.298670377241805,22.29230769230769,33.083333333333336,,25.165384615384614,28.297347890205035,13.515384615384615,20.191666666666663,,16.698290598290598,17.17952404738119,22.24615384615384,26.39166666666667,,20.779487179487177,24.119146329860616,1803.923076923077,1337.9166666666667,,1765.017094017094,1801.5167570524713,22.83076923076923,33.141666666666666,
110/11/14,24.5,31.861538461538466,48.74545454545455,,35.052136752136754,39.19555682412825,21.338461538461537,31.00909090909091,,23.860256410256408,26.619509062366205,12.546153846153846,14.827272727272726,,15.264957264957266,16.08730793016507,19.315384615384616,33.91818181818182,,19.787179487179486,23.108248893963175,1502.8461538461538,908.3636363636364,,1748.145299145299,1825.0781123638264,21.392307692307693,30.63636363636364,
110/11/15,18.3,35.809090909090905,42.15,50.45,34.47738927738928,37.3475048760763,24.227272727272727,31.4,39.1,22.619347319347316,25.650677893535036,15.98181818181818,18.75,22.25,14.014452214452215,16.25224299510014,19.827272727272724,23.4,28.200000000000003,20.462937062937062,21.095261880976164,811.7272727272727,3491.0,2641.5,1372.832167832168,1811.272917558632,24.5,31.5,37.75
110/11/16,26.15538461538461,25.0,39.17857142857143,59.2,30.89020979020979,34.897504876076304,18.65,27.092857142857145,46.725,21.405244755244752,23.829249322106467,10.0,16.392857142857142,31.791666666666668,12.842657342657342,15.002242995100138,15.0,22.78571428571429,27.408333333333328,18.047552447552448,19.895261880976165,3975.0,1578.2857142857142,1354.1666666666667,2096.5244755244753,1880.415774701489,18.3,26.922142857142852,45.325
110/11/17,26.26692307692308,37.48461538461539,39.138461538461534,60.35,32.764568764568764,34.65551115551115,26.107692307692307,25.253846153846155,46.833333333333336,22.994988344988343,23.688511488511487,17.46923076923077,16.846153846153847,31.383333333333336,14.483682983682982,15.156010656010654,20.01538461538462,22.292307692307688,28.966666666666665,18.280885780885782,19.4995004995005,1193.3692307692306,1553.4615384615386,995.5833333333334,1993.365501165501,1825.4277056277056,26.15538461538461,25.89307692307693,45.75833333333333
110/11/18,24.934615384615388,37.64615384615384,37.53333333333333,53.638461538461534,33.37692307692308,34.44232434232434,25.692307692307693,27.95,42.20769230769231,23.483333333333334,23.75114885114885,19.03846153846154,19.73333333333333,27.646153846153844,15.502564102564103,15.46919746919747,18.607692307692304,17.799999999999997,25.99230769230769,17.874358974358973,18.97312687312687,1147.5384615384614,1937.6666666666667,1027.0,2105.3025641025642,1767.4386946386946,26.26692307692308,27.85833333333333,41.27692307692308
