日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
108/11/01,13.305882352941175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108/11/02,13.41764705882353,21.558823529411764,,,,,12.68235294117647,,,,,6.323529411764706,,,,,15.235294117647058,,,,,29220.529411764703,,,,,13.305882352941175,,
108/11/03,12.173076923076923,22.63529411764706,,,,,12.688235294117646,,,,,6.882352941176471,,,,,15.75294117647059,,,,,30455.0,,,,,13.41764705882353,,
108/11/04,13.75,20.976923076923075,,,21.7236802413273,,11.63076923076923,,,12.333785822021115,,5.56923076923077,,,6.258371040723982,,15.407692307692304,,,15.465309200603317,,22063.23076923077,,,27246.25339366516,,12.173076923076923,,
108/11/05,13.189411764705882,19.35,,,20.987405731523378,,13.45,,,12.589668174962293,,8.75,,,7.067194570135747,,10.6,,,13.920211161387632,,68656.625,,,40391.61858974359,,13.75,,
108/11/06,12.188235294117648,21.37058823529412,,,20.5658371040724,,12.86470588235294,,,12.648491704374058,,6.482352941176471,,,6.9338612368024135,,14.888235294117647,,,13.631975867269984,,33813.617647058825,,,41511.157805429866,,13.189411764705882,,
108/11/07,12.464117647058824,19.38823529411765,,,20.036274509803928,,11.529411764705882,,,12.614705882352942,,5.976470588235294,,,7.0696078431372555,,13.411764705882357,,,12.966666666666669,,36171.470588235294,,,46213.904411764706,,12.188235294117648,,
108/11/08,11.99529411764706,19.96470588235294,21.558823529411764,,20.241176470588236,20.749224305106658,11.68235294117647,12.68235294117647,,12.025490196078431,12.361118293471234,6.270588235294118,6.323529411764706,,6.243137254901961,6.607789269553976,13.694117647058825,15.235294117647058,,13.998039215686276,14.141435035552684,32887.35294117647,29220.529411764703,,34290.813725490196,36181.11805106658,12.464117647058824,13.305882352941175,
108/11/09,12.37,20.541176470588237,22.63529411764706,,19.964705882352945,20.603846153846153,11.129411764705882,12.688235294117646,,11.447058823529412,12.139269553975435,5.8,6.882352941176471,,6.015686274509804,6.53299935358759,14.741176470588233,15.75294117647059,,13.94901960784314,14.070846800258565,34886.705882352944,30455.0,,34648.509803921566,36990.57183257919,11.99529411764706,13.41764705882353,
108/11/10,13.66846153846154,21.38235294117647,20.976923076923075,,20.629411764705882,20.424854557207503,11.394117647058822,11.63076923076923,,11.401960784313724,11.954395604395602,5.911764705882353,5.56923076923077,,5.994117647058824,6.394343891402715,15.470588235294118,15.407692307692304,,14.635294117647058,14.030510665804783,37203.76470588235,22063.23076923077,,34992.60784313725,37954.68107627666,12.37,12.173076923076923,
108/11/11,10.175,22.984615384615385,19.35,,21.636048265460033,20.711667744020684,12.615384615384617,13.45,,11.712971342383106,12.095054945054944,7.06923076923077,8.75,,6.260331825037707,6.60862960568843,15.915384615384614,10.6,,15.375716440422323,14.103038138332257,25242.23076923077,68656.625,,32444.233785822023,38408.823933419524,13.66846153846154,13.75,
108/11/12,14.174117647058823,14.8,21.37058823529412,,19.72232277526395,20.06166774402069,10.2,12.86470588235294,,11.403167420814478,11.63076923076923,5.625,6.482352941176471,,6.201998491704374,6.1622010342598585,9.175,14.888235294117647,,13.520324283559576,13.899466709760828,64169.0,33813.617647058825,,42204.99849170438,37767.734647705234,10.175,13.189411764705882,
108/11/13,14.305625,22.03529411764706,19.38823529411765,,19.93996983408748,20.156625727213964,13.570588235294116,11.529411764705882,,12.12865761689291,11.731609566903686,7.576470588235295,5.976470588235294,,6.756900452488689,6.3185035552682605,14.458823529411765,13.411764705882357,,13.183069381598793,13.8381221719457,34796.294117647056,36171.470588235294,,41402.50829562594,37908.117000646416,14.174117647058823,12.188235294117648,
108/11/14,13.995555555555557,21.825,19.96470588235294,,19.553431372549017,20.504734970911443,13.5375,11.68235294117647,,12.436029411764705,12.018479314802844,7.89375,6.270588235294118,,7.031740196078431,6.592400614091791,13.93125,13.694117647058825,,12.521691176470588,13.912334356819652,43697.125,32887.35294117647,,47554.13970588235,38983.210488041375,14.305625,12.464117647058824,
108/11/15,12.851176470588236,19.23333333333333,20.541176470588237,21.558823529411764,21.0312091503268,20.400253178194355,13.933333333333334,11.129411764705882,12.68235294117647,13.680473856209149,12.340047942253824,7.466666666666667,5.8,6.323529411764706,7.645629084967321,6.763268961430726,11.766666666666667,14.741176470588233,15.235294117647058,13.385580065359477,13.636984216763627,33757.77777777778,34886.705882352944,29220.529411764703,37417.065631808284,39107.55689327013,13.995555555555557,11.99529411764706,13.305882352941175
108/11/16,11.094117647058823,20.08823529411765,21.38235294117647,22.63529411764706,20.38218954248366,20.335547295841415,12.48235294117647,11.394117647058822,12.688235294117646,13.317728758169935,12.533325253178194,6.576470588235294,5.911764705882353,6.882352941176471,7.312295751633987,6.874193331178625,13.511764705882356,15.470588235294118,15.75294117647059,13.069893790849674,13.46135396466279,48431.52941176471,37203.76470588235,30455.0,41962.14406318083,41042.53168318609,12.851176470588236,12.37,13.41764705882353
