日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
111/11/01,28.64916666666667,,,,,,,,,,,,,,,,,,
111/11/02,28.495,45.53333333333333,,,28.558333333333334,,,18.1,,,27.433333333333334,,,20886.6,,,28.64916666666667,,
111/11/03,28.805000000000003,44.66666666666666,,,28.3,,,17.900000000000002,,,26.766666666666666,,,14517.958333333334,,,28.495,,
111/11/04,28.4725,45.36666666666667,,,28.475,,,17.833333333333332,,,27.53333333333333,,,18314.125,,,28.805000000000003,,
111/11/05,28.71,44.49166666666667,,,28.116666666666664,,,18.15,,,26.341666666666665,,,22420.016666666663,,,28.4725,,
111/11/06,30.281818181818185,46.4,,,28.425,,,18.066666666666663,,,28.33333333333333,,,27458.108333333334,,,28.71,,
111/11/07,29.88,49.02727272727272,,,29.49090909090909,,,18.827272727272728,,,30.2,,,30776.072727272727,,,30.281818181818185,,
111/11/08,30.22666666666667,52.1,45.53333333333333,,29.55,28.558333333333334,,18.4,18.1,,33.7,27.433333333333334,,5655.3,20886.6,,29.88,28.64916666666667,
111/11/09,29.029090909090908,47.31666666666666,44.66666666666666,,29.83333333333333,28.3,,18.95,17.900000000000002,,28.366666666666664,26.766666666666666,,35996.4,14517.958333333334,,30.22666666666667,28.495,
111/11/10,27.61,47.1,45.36666666666667,,28.272727272727277,28.475,,17.69090909090909,17.833333333333332,,29.40909090909091,27.53333333333333,,18726.26363636364,18314.125,,29.029090909090908,28.805000000000003,
111/11/11,29.365,46.48333333333333,44.49166666666667,,26.7,28.116666666666664,,17.041666666666668,18.15,,29.44166666666666,26.341666666666665,,17893.649999999998,22420.016666666663,,27.61,28.4725,
111/11/12,29.63,48.09166666666667,46.4,,28.65,28.425,,17.816666666666666,18.066666666666663,,30.275,28.33333333333333,,22871.6,27458.108333333334,,29.365,28.71,
111/11/13,28.245454545454542,47.25833333333333,49.02727272727272,,29.28333333333333,29.49090909090909,,18.125,18.827272727272728,,29.133333333333333,30.2,,26665.6,30776.072727272727,,29.63,30.281818181818185,
111/11/14,27.53,43.10909090909091,52.1,,28.463636363636365,29.55,,17.3,18.4,,25.80909090909091,33.7,,23377.14545454545,5655.3,,28.245454545454542,29.88,
111/11/15,28.375833333333333,47.5,47.31666666666666,45.53333333333333,27.35,29.83333333333333,28.558333333333334,16.5,18.95,18.1,31.0,28.366666666666664,27.433333333333334,6739.3,35996.4,20886.6,27.53,30.22666666666667,28.64916666666667
111/11/16,28.469166666666663,44.36666666666667,47.1,44.66666666666666,28.008333333333336,28.272727272727277,28.3,17.508333333333333,17.69090909090909,17.900000000000002,26.85833333333333,29.40909090909091,26.766666666666666,33529.675,18726.26363636364,14517.958333333334,28.375833333333333,29.029090909090908,28.495
111/11/17,24.735,43.975,46.48333333333333,45.36666666666667,27.916666666666668,26.7,28.475,18.175,17.041666666666668,17.833333333333332,25.8,29.44166666666666,27.53333333333333,25182.45833333333,17893.649999999998,18314.125,28.469166666666663,27.61,28.805000000000003
111/11/18,28.871666666666663,42.85,48.09166666666667,44.49166666666667,25.65,28.65,28.116666666666664,15.216666666666669,17.816666666666666,18.15,27.633333333333333,30.275,26.341666666666665,10475.85,22871.6,22420.016666666663,24.735,29.365,28.4725
111/11/19,28.159166666666668,45.25,47.25833333333333,46.4,28.46666666666667,29.28333333333333,28.425,16.599999999999998,18.125,18.066666666666663,28.65,29.133333333333333,28.33333333333333,34771.316666666666,26665.6,27458.108333333334,28.871666666666663,29.63,28.71
111/11/20,29.063636363636363,94.20833333333331,43.10909090909091,49.02727272727272,27.59166666666667,28.463636363636365,29.49090909090909,15.808333333333332,17.3,18.827272727272728,78.39999999999999,25.80909090909091,30.2,29908.691666666666,23377.14545454545,30776.072727272727,28.159166666666668,28.245454545454542,30.281818181818185
111/11/21,27.985,44.85454545454545,47.5,52.1,28.9,27.35,29.55,16.963636363636365,16.5,18.4,27.890909090909087,31.0,33.7,29339.79090909091,6739.3,5655.3,29.063636363636363,27.53,29.88
111/11/22,29.852500000000003,46.3,44.36666666666667,47.31666666666666,28.1,28.008333333333336,29.83333333333333,13.2,17.508333333333333,18.95,33.099999999999994,26.85833333333333,28.366666666666664,5400.1,33529.675,35996.4,27.985,28.375833333333333,30.22666666666667
