日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
112/11/01,200.0,200.0,200.0,200.0,6.0,0.0,,,,,
112/11/05,200.0,200.0,200.0,200.0,23.5,0.0,200.0,,,,
112/11/07,200.0,200.0,200.0,200.0,7.5,0.0,200.0,,,,
112/11/08,200.0,200.0,200.0,200.0,4.5,0.0,200.0,,,200.0,
112/11/09,300.0,300.0,300.0,300.0,10.0,0.0,200.0,,,200.0,
112/11/10,160.0,160.0,160.0,160.0,5.0,0.0,300.0,,,233.33333333333334,
112/11/11,200.0,200.0,200.0,200.0,7.5,0.0,160.0,,,220.0,
112/11/12,175.0,175.0,175.0,175.0,4.75,0.0,200.0,200.0,,220.0,208.57142857142858
112/11/14,188.7,216.6,192.25,150.3,38.0,66.29999999999998,175.0,200.0,,178.33333333333334,205.0
112/11/15,257.2333333333333,289.43333333333334,260.3666666666667,215.5666666666667,18.33333333333333,73.86666666666665,188.7,200.0,,187.9,203.3857142857143
112/11/17,225.55,267.5,219.275,187.025,42.25,80.475,257.2333333333333,200.0,,206.97777777777776,211.56190476190477
112/11/18,225.63333333333333,284.76666666666665,228.53333333333333,157.70000000000002,67.33333333333333,127.06666666666663,225.55,300.0,,223.82777777777778,215.21190476190478
112/11/19,219.7,289.6,219.5,142.23333333333332,219.0,147.36666666666665,225.63333333333333,160.0,,236.13888888888889,204.58809523809524
112/11/21,219.88,258.06,220.38,170.74,100.0,87.32,219.7,200.0,,223.62777777777777,213.11666666666665
112/11/22,226.95,266.025,235.9,154.525,147.0,111.49999999999996,219.88,175.0,200.0,221.73777777777778,215.95666666666668
112/11/23,230.56666666666663,285.8666666666667,220.9,168.23333333333332,271.0,117.63333333333335,226.95,188.7,200.0,222.17666666666665,223.37809523809523
112/11/24,247.575,324.1,249.25,158.925,505.5,165.175,230.56666666666663,257.2333333333333,200.0,225.79888888888888,229.35904761904757
112/11/25,242.675,298.825,244.95,170.775,343.625,128.04999999999998,247.575,225.55,200.0,235.03055555555554,227.97928571428568
112/11/26,221.7,271.82,221.4,164.06,445.7,107.76,242.675,225.63333333333333,300.0,240.2722222222222,230.42571428571426
112/11/28,224.65,285.6,223.725,154.05,304.0,131.55,221.7,219.7,160.0,237.3166666666667,229.86380952380952
112/11/29,224.36,269.6,219.48,170.32,512.9,99.28000000000004,224.65,219.88,200.0,229.67499999999998,230.57095238095238
112/11/30,226.85,272.675,224.45,180.3,310.125,92.375,224.36,226.95,175.0,223.57000000000002,231.2109523809524
112/12/01,227.2,271.28000000000003,228.72,189.0,360.4,82.28000000000003,226.85,230.56666666666663,188.7,225.28666666666666,231.1966666666667
112/12/02,230.475,295.825,231.9,156.025,423.25,139.79999999999998,227.2,247.575,257.2333333333333,226.13666666666666,230.71571428571428
112/12/03,236.64,296.14,238.44,182.22,537.8,113.92,230.475,242.675,225.55,228.17499999999998,228.27285714285716
112/12/05,237.45,290.7,236.85,177.72500000000002,639.0,112.97499999999997,236.64,221.7,225.63333333333333,231.4383333333333,227.41071428571428
112/12/06,250.86666666666667,292.21666666666664,257.15000000000003,200.1,540.25,92.11666666666665,237.45,224.65,219.7,234.85500000000002,229.66071428571428
112/12/08,245.2,291.18,244.7,199.1,661.4,92.08,250.86666666666667,224.36,219.88,241.65222222222224,233.40595238095239
112/12/09,242.24,285.0,246.0,201.34,570.0,83.66,245.2,226.85,226.95,244.50555555555556,236.38309523809522
112/12/10,246.7,281.84000000000003,246.16,201.32,942.5,80.52000000000004,242.24,227.2,230.56666666666663,246.1022222222222,238.58166666666665
