日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
107/11/01,15.577333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107/11/02,15.97,20.08,,,,,15.726666666666668,,,,,11.526666666666667,,,,,8.553333333333331,,,,,2614.333333333333,,,,,15.577333333333334,,
107/11/03,15.752,21.026666666666664,,,,,16.12,,,,,11.393333333333334,,,,,9.63333333333333,,,,,2344.8,,,,,15.97,,
107/11/04,16.588461538461537,20.933333333333334,,,20.679999999999996,,16.053333333333335,,,15.966666666666669,,10.986666666666668,,,11.302222222222222,,9.946666666666664,,,9.377777777777775,,2584.733333333333,,,2514.6222222222223,,15.752,,
107/11/05,15.6,24.284615384615385,,,22.08153846153846,,16.7,,,16.29111111111111,,9.307692307692308,,,10.562564102564103,,14.976923076923075,,,11.518974358974356,,1824.076923076923,,,2251.203418803419,,16.588461538461537,,
107/11/06,15.477333333333332,20.0,,,21.73931623931624,,16.2,,,16.317777777777778,,10.0,,,10.098119658119659,,10.0,,,11.64119658119658,,6520.5,,,3643.1034188034187,,15.6,,
107/11/07,14.375333333333334,21.326666666666664,,,21.87042735042735,,15.893333333333334,,,16.264444444444443,,8.82,,,9.375897435897436,,12.506666666666664,,,12.494529914529913,,3040.0,,,3794.858974358974,,15.477333333333332,,
107/11/08,14.071428571428571,19.746666666666663,20.08,,20.357777777777777,21.056849816849816,14.6,15.726666666666668,,15.564444444444446,15.89904761904762,9.16,11.526666666666667,,9.326666666666668,10.17062271062271,10.586666666666666,8.553333333333331,,11.03111111111111,10.886227106227105,2534.866666666667,2614.333333333333,,4031.7888888888897,3066.1871794871795,14.375333333333334,15.577333333333334,
107/11/09,15.11,18.61428571428572,21.026666666666664,,19.895873015873015,20.847462061747773,14.257142857142856,16.12,,14.916825396825395,15.689115646258502,9.114285714285714,11.393333333333334,,9.031428571428572,9.825996860282574,9.500000000000004,9.63333333333333,,10.864444444444445,11.021465201465201,2239.428571428572,2344.8,,2604.7650793650796,3012.629356357928,14.071428571428571,15.97,
107/11/10,15.70909090909091,20.457142857142856,20.933333333333334,,19.606031746031746,20.766101517530085,15.5,16.053333333333335,,14.785714285714285,15.600544217687075,10.44285714285714,10.986666666666668,,9.572380952380952,9.690214547357403,10.014285714285714,9.946666666666664,,10.033650793650795,11.075886970172684,2326.6428571428573,2584.733333333333,,2366.9793650793654,3010.0354788069076,15.11,15.752,
107/11/11,17.0,22.7,24.284615384615385,,20.590476190476192,21.018482469911042,15.681818181818182,16.7,,15.146320346320344,15.547470624613482,9.60909090909091,9.307692307692308,,9.72207792207792,9.493418010560868,13.09090909090909,14.976923076923075,,10.868398268398272,11.525064459350173,2383.181818181818,1824.076923076923,,2316.417748917749,2981.242405213834,15.70909090909091,16.588461538461537,
107/11/12,12.9,21.98333333333333,20.0,,21.713492063492065,20.68972789115646,16.966666666666665,16.2,,16.049494949494946,15.585565862708718,12.541666666666666,10.0,,10.86453823953824,9.955414347557204,9.441666666666668,10.0,,10.848953823953822,10.734313543599258,1603.5,6520.5,,2104.4415584415583,2949.7314162028447,17.0,15.6,
107/11/13,17.049285714285713,17.7,21.326666666666664,,20.79444444444444,20.361156462585033,12.95,15.893333333333334,,15.199494949494948,15.121280148423006,7.5,8.82,,9.883585858585858,9.598271490414346,10.2,12.506666666666664,,10.910858585858586,10.762884972170687,6080.0,3040.0,,3355.560606060606,2886.802844774273,12.9,15.477333333333332,
107/11/14,16.913571428571426,24.792857142857144,19.746666666666663,,21.49206349206349,20.856326530612247,16.714285714285715,14.6,,15.543650793650793,15.238559059987631,10.828571428571427,9.16,,10.290079365079364,9.88521026592455,13.964285714285715,10.586666666666666,,11.201984126984128,10.971116264687694,2188.0714285714284,2534.866666666667,,3290.523809523809,2765.09876314162,17.049285714285713,14.375333333333334,
107/11/15,16.005,22.085714285714285,18.61428571428572,20.08,21.526190476190475,21.190476190476193,17.235714285714288,14.257142857142856,15.726666666666668,15.633333333333333,15.615089672232529,10.885714285714286,9.114285714285714,11.526666666666667,9.738095238095239,10.131740878169449,11.2,9.500000000000004,8.553333333333331,11.788095238095238,11.058735312306741,2173.5714285714284,2239.428571428572,2614.333333333333,3480.547619047619,2713.485157699444,16.913571428571426,14.071428571428571,15.577333333333334
107/11/16,18.035714285714285,21.228571428571428,20.457142857142856,21.026666666666664,22.702380952380953,21.56394557823129,16.021428571428572,15.5,16.12,16.65714285714286,15.86713048855906,10.85,10.44285714285714,11.393333333333334,10.854761904761906,10.37970006184292,10.378571428571428,10.014285714285714,9.63333333333333,11.847619047619048,11.184245516388373,2197.1428571428573,2326.6428571428573,2344.8,2186.2619047619046,2707.4443413729127,16.005,15.11,15.97
107/11/17,18.06153846153846,22.978571428571428,22.7,20.933333333333334,22.097619047619048,21.924149659863946,18.07857142857143,15.681818181818182,16.053333333333335,17.11190476190476,16.235497835497835,12.978571428571428,9.60909090909091,10.986666666666668,11.57142857142857,10.741944959802101,10.0,13.09090909090909,9.946666666666664,10.526190476190477,11.182204700061844,2203.8571428571427,2383.181818181818,2584.733333333333,2191.5238095238096,2689.903525046382,18.035714285714285,15.70909090909091,15.752
107/11/18,18.031666666666663,24.29230769230769,21.98333333333333,24.284615384615385,22.83315018315018,22.15162218733647,17.56923076923077,16.966666666666665,16.7,17.22307692307692,16.505128205128205,12.115384615384617,12.541666666666666,9.307692307692308,11.981318681318681,11.09998691784406,12.17692307692308,9.441666666666668,14.976923076923075,10.851831501831503,11.051635269492412,2390.076923076923,1603.5,1824.076923076923,2263.6923076923076,2690.888540031397,18.06153846153846,17.0,16.588461538461537
107/11/19,16.55,25.48333333333333,17.7,20.0,24.25140415140415,22.651622187336475,17.858333333333334,12.95,16.2,17.835378510378508,16.63250915750916,12.066666666666668,7.5,10.0,12.386874236874236,11.032129774986918,13.416666666666666,10.2,10.0,11.864529914529916,11.619492412349556,2069.5,6080.0,6520.5,2221.1446886446884,2757.459968602826,18.031666666666663,12.9,15.6
107/11/20,17.357142857142858,21.9,24.792857142857144,21.326666666666664,23.89188034188034,23.251622187336473,16.75,16.714285714285715,15.893333333333334,17.39252136752137,17.175366300366303,10.25,10.828571428571427,8.82,11.477350427350428,11.42498691784406,11.65,13.964285714285715,12.506666666666664,12.414529914529915,11.826635269492414,5357.5,2188.0714285714284,3040.0,3272.358974358974,2654.24568288854,16.55,17.049285714285713,15.477333333333332
107/11/21,18.93076923076923,23.67142857142857,22.085714285714285,19.746666666666663,23.684920634920633,23.091418105703816,17.3,17.235714285714288,14.6,17.302777777777777,17.259039769754057,11.87142857142857,10.885714285714286,9.16,11.396031746031746,11.573966509680796,11.8,11.2,10.586666666666666,12.28888888888889,11.517451596023024,2634.928571428572,2173.5714285714284,2534.866666666667,3353.976190476191,2718.0824175824173,17.357142857142858,16.913571428571426,14.375333333333334
107/11/22,17.5,25.03076923076923,21.228571428571428,18.61428571428572,23.534065934065932,23.512140240711666,18.83076923076923,16.021428571428572,14.257142857142856,17.626923076923077,17.486904761904764,12.915384615384616,10.85,9.114285714285714,11.678937728937727,11.863919413919414,12.115384615384617,10.378571428571428,9.500000000000004,11.855128205128205,11.648220826792256,2216.769230769231,2197.1428571428573,2239.428571428572,3403.0659340659345,2724.2535321821038,18.93076923076923,16.005,14.071428571428571
107/11/23,16.242,22.65333333333333,22.978571428571428,20.457142857142856,23.78517704517704,23.715677655677656,17.6,18.07857142857143,15.5,17.910256410256412,17.712414965986394,12.193333333333332,12.978571428571428,10.44285714285714,12.326715506715507,12.055824175824176,10.46,10.0,10.014285714285714,11.45846153846154,11.659853479853481,2160.133333333333,2203.8571428571427,2326.6428571428573,2337.2770451770452,2718.9664573521723,17.5,18.035714285714285,15.11
107/11/24,16.964285714285715,22.19333333333333,24.29230769230769,22.7,23.29247863247863,23.603500784929356,16.293333333333333,17.56923076923077,15.681818181818182,17.574700854700854,17.45738095238095,10.393333333333334,12.115384615384617,9.60909090909091,11.834017094017094,11.68650444793302,11.799999999999995,12.17692307692308,13.09090909090909,11.458461538461536,11.916996336996338,2574.8,2390.076923076923,2383.181818181818,2317.234188034188,2771.9582940868654,16.242,18.06153846153846,15.70909090909091
107/11/25,18.99230769230769,22.75,25.48333333333333,21.98333333333333,22.53222222222222,23.383171114599687,17.164285714285715,17.858333333333334,16.966666666666665,17.019206349206346,17.399531658817374,10.814285714285717,12.066666666666668,12.541666666666666,11.133650793650794,11.500633176347463,11.935714285714283,13.416666666666666,9.441666666666668,11.398571428571428,11.882537938252224,2470.5,2069.5,1603.5,2401.811111111111,2783.4473050758766,16.964285714285715,18.031666666666663,17.0
107/11/26,14.75,24.661538461538463,21.9,17.7,23.20162393162393,23.26577184720042,18.915384615384617,16.75,12.95,17.45766788766789,17.5505389848247,14.061538461538465,10.25,7.5,11.756385836385839,11.785614861329147,10.6,11.65,10.2,11.445238095238095,11.480156985871272,1482.1538461538462,5357.5,6080.0,2175.817948717949,2699.540711669283,18.99230769230769,16.55,12.9
107/11/27,19.677142857142854,20.1,23.67142857142857,24.792857142857144,22.503846153846155,23.008628990057563,15.1,17.3,16.714285714285715,17.05989010989011,17.314824699110414,8.75,11.87142857142857,10.828571428571427,11.208608058608059,11.571329147043432,11.35,11.8,13.964285714285715,11.295238095238096,11.437299843014127,4669.5,2634.928571428572,2188.0714285714284,2874.0512820512827,2601.2549973835694,14.75,17.357142857142858,17.049285714285713
107/11/28,20.06,25.62142857142857,25.03076923076923,22.085714285714285,23.46098901098901,23.28720041862899,19.685714285714287,18.83076923076923,17.235714285714288,17.9003663003663,17.655641025641025,14.521428571428572,12.915384615384616,10.885714285714286,12.444322344322345,11.949900575614862,11.099999999999998,12.115384615384617,11.2,11.016666666666666,11.337299843014128,2503.1428571428573,2216.769230769231,2173.5714285714284,2884.932234432235,2582.428466771324,19.677142857142854,18.93076923076923,16.913571428571426
107/11/29,20.25857142857143,25.02142857142857,22.65333333333333,21.228571428571428,23.58095238095238,23.28586603872318,20.36428571428572,17.6,16.021428571428572,18.383333333333333,17.874714809000526,14.785714285714286,12.193333333333332,10.85,12.685714285714285,12.2170905285191,10.235714285714286,10.46,10.378571428571428,10.895238095238094,11.06877551020408,2218.285714285714,2160.133333333333,2197.1428571428573,3130.3095238095243,2582.6451072736786,20.06,17.5,16.005
107/11/30,19.342857142857145,24.914285714285715,22.19333333333333,22.978571428571428,25.185714285714283,23.608859236002093,20.235714285714288,16.293333333333333,18.07857142857143,20.0952380952381,18.25124542124542,15.671428571428573,10.393333333333334,12.978571428571428,14.992857142857142,12.71396127681842,9.242857142857142,11.799999999999995,10.0,10.192857142857141,10.894897959183671,2038.142857142857,2574.8,2203.8571428571427,2253.1904761904766,2565.217896389325,20.25857142857143,16.242,18.035714285714285
107/12/01,17.996,23.728571428571428,22.75,24.29230769230769,24.554761904761904,23.828178963893247,19.185714285714287,17.164285714285715,17.56923076923077,19.92857142857143,18.66444270015699,13.471428571428572,10.814285714285717,12.115384615384617,14.642857142857144,13.153689167974884,10.257142857142856,11.935714285714283,12.17692307692308,9.911904761904761,10.674489795918367,2052.714285714286,2470.5,2390.076923076923,2103.0476190476197,2490.634222919937,19.342857142857145,16.964285714285715,18.06153846153846
107/12/02,18.530833333333334,23.066666666666663,24.661538461538463,25.48333333333333,23.9031746031746,23.873417059131345,17.90666666666667,18.915384615384617,17.858333333333334,19.10936507936508,18.770497121925697,12.133333333333333,14.061538461538465,12.066666666666668,13.75873015873016,13.342124542124543,10.933333333333334,10.6,13.416666666666666,10.144444444444444,10.531292517006802,2200.6,1482.1538461538462,2069.5,2097.152380952381,2452.0770800627947,17.996,18.99230769230769,18.031666666666663
107/12/03,16.25,25.541666666666668,20.1,21.9,24.112301587301587,23.999149659863942,18.808333333333334,15.1,16.75,18.63357142857143,18.755204081632655,12.108333333333334,8.75,10.25,12.571031746031744,13.06309523809524,13.433333333333334,11.35,11.65,11.541269841269843,10.936054421768706,1701.25,4669.5,5357.5,1984.8547619047622,2483.376530612245,18.530833333333334,14.75,16.55
