日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
110/11/01,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110/11/02,54.5390909090909,83.0,,,,,64.25,,,,,40.0,,,,,43.0,,,,,3308.5,,,,,63.2,,
110/11/03,51.70333333333334,68.74545454545454,,,,,54.43636363636363,,,,,39.95454545454545,,,,,28.79090909090908,,,,,2177.0,,,,,54.5390909090909,,
110/11/04,48.04076923076923,68.13333333333334,,,73.29292929292929,,51.45,,,56.71212121212121,,35.5,,,38.484848484848484,,32.63333333333334,,,34.80808080808081,,2267.4166666666665,,,2584.305555555555,,51.70333333333334,,
110/11/05,51.43181818181818,65.91538461538461,,,67.59805749805749,,47.27692307692308,,,51.0544289044289,,33.23076923076923,,,36.22843822843823,,32.68461538461538,,,31.369619269619267,,2016.6153846153843,,,2153.67735042735,,48.04076923076923,,
110/11/06,49.74818181818182,67.54545454545455,,,67.1980574980575,,50.91818181818182,,,49.88170163170164,,35.31818181818182,,,34.68298368298368,,32.22727272727273,,,32.51507381507381,,2182.909090909091,,,2155.647047397047,,51.43181818181818,,
110/11/07,46.964,65.87272727272727,,,66.44452214452214,,49.118181818181824,,,49.104428904428914,,34.127272727272725,,,34.22540792540793,,31.74545454545455,,,32.21911421911422,,2439.818181818182,,,2213.114219114219,,49.74818181818182,,
110/11/08,55.35,64.28999999999999,83.0,,65.90272727272728,69.07176490176491,47.74,64.25,,49.25878787878789,52.16995004995005,29.67,40.0,,33.03848484848485,35.40010989010989,34.61999999999999,43.0,,32.86424242424243,33.671655011655005,2039.5,3308.5,,2220.7424242424245,2347.394189144189,46.964,63.2,
110/11/09,46.09,74.4,68.74545454545454,,68.18757575757576,67.84319347319347,56.0,54.43636363636363,,50.95272727272728,50.99137862137862,33.35,39.95454545454545,,32.38242424242424,34.45010989010989,41.05,28.79090909090908,,35.805151515151515,33.39308358308358,4827.0,2177.0,,3102.1060606060605,2564.32276057276,55.35,54.5390909090909,
110/11/10,44.32090909090909,65.38181818181819,68.13333333333334,,68.02393939393939,67.36267399267399,46.518181818181816,51.45,,50.086060606060606,49.860209790209794,29.4,35.5,,30.80666666666667,32.942317682317686,35.98181818181819,32.63333333333334,,37.21727272727273,34.42035631035631,2921.2727272727275,2267.4166666666665,,3262.5909090909095,2670.647435897436,46.09,51.70333333333334,
110/11/11,51.028,60.054545454545455,65.91538461538461,,66.61212121212121,66.20856143856143,44.6,47.27692307692308,,49.03939393939394,48.881638361638366,27.563636363636363,33.23076923076923,,30.104545454545455,31.808551448551448,32.49090909090909,32.68461538461538,,36.50757575757576,34.40000999000999,2902.2727272727275,2016.6153846153843,,3550.1818181818185,2761.3411588411586,44.32090909090909,48.04076923076923,
