日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
109/11/01,53.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109/11/02,53.0,69.02000000000001,,,,,53.17,,,,,37.24,,,,,31.780000000000012,,,,,1314.1,,,,,53.407,,
109/11/03,47.7,70.0,,,,,54.9,,,,,30.0,,,,,40.0,,,,,6559.0,,,,,53.0,,
109/11/04,49.440000000000005,64.75454545454545,,,67.92484848484848,,47.654545454545456,,,51.908181818181816,,31.08181818181818,,,32.77393939393939,,33.67272727272727,,,35.150909090909096,,2016.7272727272727,,,3296.609090909091,,47.7,,
109/11/05,51.29,62.81,,,65.85484848484849,,49.54,,,50.698181818181816,,35.4,,,32.16060606060606,,27.410000000000004,,,33.694242424242425,,1773.4,,,3449.709090909091,,49.440000000000005,,
109/11/06,57.18181818181818,65.34,,,64.30151515151515,,51.02,,,49.404848484848486,,38.15,,,34.877272727272725,,27.190000000000005,,,29.424242424242426,,1650.6,,,1813.5757575757577,,51.29,,
109/11/07,58.07545454545454,71.80909090909091,,,66.6530303030303,,56.46363636363637,,,52.34121212121212,,42.92727272727273,,,38.82575757575757,,28.881818181818183,,,27.82727272727273,,1628.3636363636365,,,1684.121212121212,,57.18181818181818,,
109/11/08,57.61111111111112,72.72727272727273,69.02000000000001,,69.95878787878787,68.06584415584416,57.90909090909091,53.17,,55.13090909090909,52.95103896103897,43.45454545454545,37.24,,41.51060606060606,36.893376623376625,29.27272727272728,31.780000000000012,,28.448181818181823,31.17246753246754,1818.909090909091,1314.1,,1699.290909090909,2394.4428571428575,58.07545454545454,53.407,
109/11/09,53.9,76.1,70.0,,73.54545454545455,69.07727272727273,56.91111111111112,54.9,,57.09461279461279,53.48548340548341,40.86666666666667,30.0,,42.41616161616162,37.41147186147186,35.23333333333333,40.0,,31.12929292929293,31.66580086580087,1662.5555555555557,6559.0,,1703.2760942760942,2444.222222222222,57.61111111111112,53.0,
109/11/10,61.41666666666666,75.0,64.75454545454545,,74.60909090909091,69.79155844155844,54.8,47.654545454545456,,56.54006734006734,53.471197691197695,30.0,31.08181818181818,,38.107070707070704,37.41147186147186,45.0,33.67272727272727,,36.5020202020202,32.380086580086584,7453.0,2016.7272727272727,,3644.8215488215487,2571.936507936508,53.9,47.7,
109/11/11,57.94166666666666,77.81666666666666,62.81,,76.30555555555554,71.65757575757576,61.95,49.54,,57.88703703703703,55.513405483405485,42.1,35.4,,37.65555555555556,38.98549783549783,35.71666666666666,27.410000000000004,,38.65,32.672077922077925,1708.1666666666667,1773.4,,3607.907407407407,2527.8564213564214,61.41666666666666,49.440000000000005,
109/11/12,65.55,75.33333333333333,65.34,,76.05,73.44662337662338,57.958333333333336,51.02,,58.236111111111114,56.71602453102453,39.641666666666666,38.15,,37.24722222222223,39.59145021645021,35.69166666666666,27.190000000000005,,38.80277777777778,33.85517316017316,1780.8333333333333,1650.6,,3647.3333333333335,2528.9183261183257,57.94166666666666,51.29,
109/11/13,62.2090909090909,85.65,71.80909090909091,,79.6,76.34805194805196,66.8,56.46363636363637,,62.23611111111111,58.970310245310245,41.55,42.92727272727273,,41.09722222222222,40.0771645021645,44.10000000000001,28.881818181818183,,38.50277777777777,36.270887445887446,3437.5,1628.3636363636365,,2308.8333333333335,2784.189754689755,65.55,57.18181818181818,
109/11/14,66.10909090909091,81.7909090909091,72.72727272727273,,80.92474747474749,77.77402597402597,62.23636363636364,57.90909090909091,,62.33156565656566,59.79498556998557,41.82727272727273,43.45454545454545,,41.006313131313135,39.92002164502164,39.96363636363637,29.27272727272728,,39.91843434343434,37.85400432900433,1972.1818181818185,1818.909090909091,,2396.838383838384,2833.3066378066383,62.2090909090909,58.07545454545454,
109/11/15,61.13333333333334,80.38181818181819,76.1,69.02000000000001,82.60757575757576,78.86753246753246,66.68181818181819,56.91111111111112,53.17,65.23939393939393,61.04823232323232,49.809090909090905,40.86666666666667,37.24,44.39545454545455,40.827813852813854,30.572727272727285,35.23333333333333,31.780000000000012,38.21212121212122,38.03971861471861,1321.0,1662.5555555555557,1314.1,2243.560606060606,2762.1767676767677,66.10909090909091,57.61111111111112,53.407
109/11/16,66.6,75.62222222222222,75.0,70.0,79.26498316498316,78.79927849927851,62.03333333333333,54.8,54.9,63.65050505050505,61.77997835497836,40.84444444444445,30.0,30.0,44.16026936026936,40.82463924963925,34.77777777777777,45.0,40.0,35.10471380471381,37.97463924963925,1435.4444444444443,7453.0,6559.0,1576.2087542087545,2729.732323232324,61.13333333333334,53.9,53.0
109/11/17,48.06,85.0,77.81666666666666,64.75454545454545,80.33468013468013,80.22784992784993,69.7,61.95,47.654545454545456,66.13838383838385,63.90854978354979,40.0,42.1,31.08181818181818,43.55117845117845,42.25321067821068,45.0,35.71666666666666,33.67272727272727,36.78350168350169,37.97463924963925,6667.0,1708.1666666666667,2016.7272727272727,3141.1481481481483,2617.4466089466086,66.6,61.41666666666666,47.7
109/11/18,40.064166666666665,67.13,75.33333333333333,62.81,75.9174074074074,78.70118326118326,47.87,57.958333333333336,49.54,59.867777777777775,61.89712121212121,30.58,39.641666666666666,35.4,37.141481481481485,40.607496392496394,36.55,35.69166666666666,27.410000000000004,38.775925925925925,38.093686868686866,2728.9,1780.8333333333333,1773.4,3610.4481481481484,2763.2656565656566,48.06,57.94166666666666,49.440000000000005
109/11/19,31.92727272727273,59.583333333333336,85.65,65.34,70.57111111111111,76.45118326118326,39.40833333333333,66.8,51.02,52.32611111111111,59.247121212121215,23.975,41.55,38.15,31.518333333333334,38.36940115440115,35.608333333333334,44.10000000000001,27.190000000000005,39.05277777777778,38.08178210678211,2534.25,3437.5,1650.6,3976.716666666667,2870.896608946609,40.064166666666665,65.55,51.29
109/11/20,28.019166666666667,50.90909090909091,81.7909090909091,71.80909090909091,59.20747474747475,71.48819624819625,31.245454545454542,62.23636363636364,56.46363636363637,39.50792929292929,54.16790043290043,17.19090909090909,41.82727272727273,42.92727272727273,23.915303030303033,34.889531024531024,33.71818181818182,39.96363636363637,28.881818181818183,35.29217171717172,36.59866522366523,2224.0,1972.1818181818185,1628.3636363636365,2495.716666666667,2697.5394660894663,31.92727272727273,62.2090909090909,57.18181818181818
109/11/21,33.17,45.63333333333333,80.38181818181819,72.72727272727273,52.04191919191919,66.32282828282828,28.008333333333336,66.68181818181819,57.90909090909091,32.88737373737374,49.278181818181814,12.783333333333331,49.809090909090905,43.45454545454545,17.98308080808081,30.740396825396825,32.85,30.572727272727285,29.27272727272728,34.058838383838385,35.58243145743146,2100.1666666666665,1321.0,1818.909090909091,2286.138888888889,2715.8230158730157,28.019166666666667,66.10909090909091,58.07545454545454
109/11/22,32.63,50.41818181818182,75.62222222222222,76.1,48.98686868686868,62.0423088023088,33.04545454545455,62.03333333333333,56.91111111111112,30.766414141414145,44.47298701298701,17.863636363636363,40.84444444444445,40.86666666666667,15.945959595959595,26.176760461760463,32.55454545454546,34.77777777777777,35.23333333333333,33.04090909090909,35.86554834054834,2265.454545454545,1435.4444444444443,1662.5555555555557,2196.540404040404,2850.7450937950935,33.17,61.13333333333334,57.61111111111112
