日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
113/11/01,62.77058823529411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113/11/02,80.7038888888889,88.3529411764706,,,,,61.26470588235294,,,,,44.95294117647059,,,,,43.400000000000006,,,,,652.0,,,,,62.77058823529411,,
113/11/03,82.41736842105263,101.36666666666666,,,,,82.26666666666667,,,,,57.48333333333333,,,,,43.883333333333326,,,,,552.5,,,,,80.7038888888889,,
113/11/04,87.1,106.6684210526316,,,98.79600963192296,,82.0421052631579,,,75.19115927072583,,60.1,,,54.17875816993464,,46.56842105263159,,,44.6172514619883,,586.3684210526316,,,596.9561403508773,,82.41736842105263,,
113/11/05,75.17,114.3,,,107.44502923976609,,90.0,,,84.76959064327485,,50.0,,,55.86111111111111,,64.3,,,51.58391812865497,,2988.0,,,1375.622807017544,,87.1,,
113/11/06,74.65761904761905,101.90434782608696,,,107.62425629290618,,74.97826086956522,,,82.34012204424103,,45.426086956521736,,,51.84202898550725,,56.478260869565226,,,55.782227307398934,,1018.2608695652174,,,1530.8764302059496,,75.17,,
113/11/07,75.55777777777777,105.87619047619047,,,107.36017943409247,,73.62857142857143,,,79.53561076604554,,46.614285714285714,,,47.34679089026915,,59.26190476190477,,,60.01338854382333,,884.0,,,1630.086956521739,,74.65761904761905,,
113/11/08,85.31555555555556,104.22222222222224,88.3529411764706,,104.00092017483321,103.24154134575265,74.75555555555555,61.26470588235294,,74.45412928456406,76.99083795226709,51.02222222222222,44.95294117647059,,47.68753163100988,50.799838486119086,53.20000000000001,43.400000000000006,,56.31338854382333,52.44170285963356,764.6111111111111,652.0,,888.9573268921094,1063.6772002469943,75.55777777777777,62.77058823529411,
113/11/09,83.4757894736842,117.63333333333334,101.36666666666666,,109.24391534391536,107.42445451101875,87.03333333333333,82.26666666666667,,78.47248677248676,80.67207044526431,61.6,57.48333333333333,,53.078835978835976,53.17798974662328,56.03333333333335,43.883333333333326,,56.16507936507938,54.24646476439546,940.2388888888888,552.5,,862.9499999999999,1104.8541843739783,85.31555555555556,80.7038888888889,
113/11/10,89.30764705882353,112.83157894736844,106.6684210526316,,111.56237816764134,109.06229912254757,83.24736842105263,82.0421052631579,,81.67875243664717,80.81217069589086,53.12105263157895,60.1,,55.247758284600394,52.5548067892298,59.71052631578948,46.56842105263159,,56.31461988304094,56.50749233331778,1062.421052631579,586.3684210526316,,922.4236842105262,1177.7000490356327,83.4757894736842,82.41736842105263,
113/11/11,76.1,116.38823529411764,114.3,,115.61771585827314,110.45084401418845,89.47058823529412,90.0,,86.58376332989336,81.87338254905319,68.34117647058824,50.0,,61.02074303405573,53.73211771359955,48.0470588235294,64.3,,54.59697282421741,56.7187263005889,951.3529411764706,2988.0,,984.6709608989795,1229.8406947676096,89.30764705882353,87.1,
113/11/12,88.68578947368421,100.0,101.90434782608696,,109.73993808049535,108.4079868713313,79.9,74.97826086956522,,84.20598555211558,80.43052540619604,40.0,45.426086956521736,,53.82074303405574,52.30354628502812,60.0,56.478260869565226,,55.919195046439626,56.10444058630318,7095.0,1018.2608695652174,,3036.257997936016,1816.5549804818952,76.1,75.17,
113/11/13,89.25777777777779,115.51578947368422,105.87619047619047,,110.63467492260061,110.35247853527378,89.47894736842105,73.62857142857143,,86.28317853457173,82.50205204888972,60.2,46.614285714285714,,56.18039215686275,54.4141052912393,55.31578947368423,59.26190476190477,,54.45428276573787,55.93837324403446,1373.2684210526315,884.0,,3139.873787409701,1867.2703449800972,88.68578947368421,74.65761904761905,
113/11/14,86.093125,119.14444444444445,104.22222222222224,,111.5534113060429,112.24794338788148,89.50555555555555,74.75555555555555,,86.29483430799219,84.77019263845888,61.39444444444444,51.02222222222222,,53.86481481481482,56.525556538404835,57.75000000000001,53.20000000000001,,57.688596491228076,55.72238684947664,1394.888888888889,764.6111111111111,,3287.7191033138406,1940.2544719642242,89.25777777777779,75.55777777777777,
113/11/15,78.32421052631578,116.69375,117.63333333333334,88.3529411764706,117.11799463937622,114.0295902132783,86.23125,87.03333333333333,61.26470588235294,88.40525097465887,86.4095775590938,59.71875,61.6,44.95294117647059,60.437731481481485,57.767917649515944,56.975,56.03333333333335,43.400000000000006,56.68026315789475,56.26167256376235,1581.625,940.2388888888888,652.0,1449.9274366471734,2056.970741805494,86.093125,85.31555555555556,62.77058823529411
113/11/16,70.35684210526315,104.1842105263158,112.83157894736844,101.36666666666666,113.34080165692008,112.10828695513294,78.63157894736842,83.24736842105263,82.26666666666667,84.78946150097465,85.20932693252739,52.98421052631579,53.12105263157895,57.48333333333333,58.03246832358675,56.537090581846776,51.2,59.71052631578948,43.883333333333326,55.30833333333334,55.57119637328616,1756.0,1062.421052631579,552.5,1577.5046296296296,2173.5080433927956,78.32421052631578,83.4757894736842,80.7038888888889
113/11/17,69.48823529411764,100.00526315789476,116.38823529411764,106.6684210526316,106.9610745614035,110.27595612806526,70.71052631578948,89.47058823529412,82.0421052631579,78.52445175438596,83.41834948891838,41.078947368421055,68.34117647058824,60.1,51.26063596491229,54.81678982996708,58.92631578947369,48.0470588235294,46.56842105263159,55.70043859649123,55.45916629809819,1883.0526315789475,951.3529411764706,586.3684210526316,1740.2258771929826,2290.7411260995627,70.35684210526315,89.30764705882353,82.41736842105263
113/11/18,84.1,97.8,100.0,114.3,100.66315789473686,107.6204939431913,68.8,79.9,90.0,72.71403508771931,80.46540831244779,43.04117647058824,40.0,50.0,45.7014447884417,51.20250411568136,54.75882352941176,60.0,64.3,54.96171310629515,56.41798982750995,1826.9411764705883,7095.0,2988.0,1821.9979360165119,2415.825159713008,69.48823529411764,76.1,87.1
113/11/19,74.58555555555556,109.8,115.51578947368422,101.90434782608696,102.53508771929826,109.02049394319131,90.0,89.47894736842105,74.97826086956522,76.50350877192983,81.90826545530493,40.0,60.2,45.426086956521736,41.3733746130031,51.20250411568136,69.8,55.31578947368423,56.478260869565226,61.161713106295146,57.817989827509955,9022.0,1373.2684210526315,1018.2608695652174,4243.997936016512,2691.110873998722,84.1,88.68578947368421,75.17
113/11/20,82.826,99.85555555555555,119.14444444444445,105.87619047619047,102.48518518518517,106.78331766917293,75.0,89.50555555555555,73.62857142857143,77.93333333333334,79.83984440267336,48.58888888888889,61.39444444444444,46.614285714285714,43.876688453159055,49.543773956951206,51.266666666666666,57.75000000000001,59.26190476190477,58.60849673202614,57.23954371222173,2197.277777777778,1394.888888888889,884.0,4348.739651416122,2808.8264963880288,74.58555555555556,89.25777777777779,74.65761904761905
113/11/21,79.80499999999999,101.215,116.69375,104.22222222222224,103.62351851851851,104.22196846282374,83.78999999999999,86.23125,74.75555555555555,82.92999999999999,79.02333646616542,60.155,59.71875,51.02222222222222,49.5812962962963,49.36671046488771,41.06000000000001,56.975,53.20000000000001,54.04222222222222,54.855257997936015,1811.525,1581.625,764.6111111111111,4343.600925925926,2868.3459408324734,82.826,86.093125,75.55777777777777
