日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
110/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/02,29.175,33.825,26.3,,0.5,,82.25,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.525000000000002,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
110/09/03,28.825,32.675,26.425,,0.0,,80.75,6.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2499999999999964,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/04,28.5,33.5,25.675,,0.0,,78.0,6.525,28.833333333333332,29.175,28.5,,,,,,,,,,33.333333333333336,33.825,32.675,,,,,,,,,,26.133333333333336,26.425,25.675,,,,,,,,,,,,,,,,,,,,,,80.33333333333333,82.25,78.0,,,,,,,,,,6.516666666666667,6.6000000000000005,6.425,,,,,,,,,,0.5,,,,,,,,7.824999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/05,28.05,33.8,24.525,,1.875,,80.0,7.15,28.458333333333332,28.825,28.05,,,,,,,,,,33.324999999999996,33.8,32.675,,,,,,,,,,25.541666666666668,26.425,24.525,,,,,,,,,,,,,,,,,,,,,,79.58333333333333,80.75,78.0,,,,,,,,,,6.7,7.15,6.425,,,,,,,,,,1.875,,,,,,,,9.274999999999999,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
110/09/06,28.225,32.825,24.725,,0.75,,82.5,7.675,28.258333333333336,28.5,28.05,,,,,,,,,,33.375,33.8,32.825,,,,,,,,,,24.974999999999998,25.675,24.525,,,,,,,,,,,,,,,,,,,,,,80.16666666666667,82.5,78.0,,,,,,,,,,7.116666666666667,7.675,6.525,,,,,,,,,,2.625,,,,,,,,8.100000000000001,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
110/09/07,29.0,33.9,24.475,,0.0,,75.75,7.45,28.425,29.0,28.05,,,,,,,,,,33.50833333333333,33.9,32.825,,,,,,,,,,24.575000000000003,24.725,24.475,,,,,,,,,,,,,,,,,,,,,,79.41666666666667,82.5,75.75,,,,,,,,,,7.425,7.675,7.15,,,,,,,,,,2.625,,,,,,,,9.424999999999997,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/08,29.8,34.1,25.975,,0.0,,76.25,7.1,29.008333333333336,29.8,28.225,28.79642857142857,29.8,28.05,,,,,,,33.608333333333334,34.1,32.825,33.517857142857146,34.1,32.675,,,,,,,25.058333333333334,25.975,24.475,25.442857142857143,26.425,24.475,,,,,,,,,,,,,,,,,,,78.16666666666667,82.5,75.75,79.35714285714286,82.5,75.75,,,,,,,7.408333333333334,7.675,7.1,6.989285714285714,7.675,6.425,,,,,,,0.75,3.125,,,,,,,8.125,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/09,29.575,33.425,26.375,,0.0,,80.5,6.85,29.458333333333332,29.8,29.0,28.853571428571428,29.8,28.05,,,,,,,33.80833333333333,34.1,33.425,33.46071428571429,34.1,32.675,,,,,,,25.608333333333334,26.375,24.475,25.453571428571426,26.425,24.475,,,,,,,,,,,,,,,,,,,77.5,80.5,75.75,79.10714285714286,82.5,75.75,,,,,,,7.133333333333333,7.45,6.85,7.0249999999999995,7.675,6.425,,,,,,,0.0,2.625,,,,,,,7.049999999999997,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/10,29.6,34.85,26.25,,0.0,,80.0,5.7,29.65833333333333,29.8,29.575,28.964285714285715,29.8,28.05,,,,,,,34.125,34.85,33.425,33.77142857142857,34.85,32.825,,,,,,,26.2,26.375,25.975,25.428571428571427,26.375,24.475,,,,,,,,,,,,,,,,,,,78.91666666666667,80.5,76.25,79.0,82.5,75.75,,,,,,,6.55,7.1,5.7,6.921428571428572,7.675,5.7,,,,,,,0.0,2.625,,,,,,,8.600000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
