日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
108/08/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
108/08/02,30.1,34.0,26.8,11.3,0.0,0.0,75.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.199999999999999,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
108/08/03,29.7,34.4,26.1,10.9,0.0,0.0,77.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.299999999999997,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
108/08/04,29.3,33.8,25.3,10.2,0.0,0.0,77.0,8.4,29.7,30.1,29.3,,,,,,,,,,34.06666666666666,34.4,33.8,,,,,,,,,,26.066666666666666,26.8,25.3,,,,,,,,,,10.799999999999999,11.3,10.2,,,,,,,,,,76.33333333333333,77.0,75.0,,,,,,,,,,9.833333333333334,12.5,8.4,,,,,,,,,,0.0,,,,0.0,,,,8.499999999999996,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
108/08/05,30.0,34.3,27.0,9.4,10.4,3.5,79.0,9.2,29.666666666666668,30.0,29.3,,,,,,,,,,34.166666666666664,34.4,33.8,,,,,,,,,,26.133333333333336,27.0,25.3,,,,,,,,,,10.166666666666666,10.9,9.4,,,,,,,,,,77.66666666666667,79.0,77.0,,,,,,,,,,8.733333333333333,9.2,8.4,,,,,,,,,,10.4,,,,3.5,,,,7.299999999999997,0,0,0,0,0,1,1,8,-0.8660254037844384,-0.5000000000000004,0
108/08/06,29.0,34.1,26.5,5.0,20.5,9.1,87.0,9.7,29.433333333333334,30.0,29.0,,,,,,,,,,34.06666666666666,34.3,33.8,,,,,,,,,,26.266666666666666,27.0,25.3,,,,,,,,,,8.200000000000001,10.2,5.0,,,,,,,,,,81.0,87.0,77.0,,,,,,,,,,9.1,9.7,8.4,,,,,,,,,,30.9,,,,12.6,,,,7.600000000000001,0,0,0,0,0,1,2,8,-0.8660254037844384,-0.5000000000000004,0
108/08/07,29.2,33.3,26.1,8.5,5.5,0.9,80.0,9.8,29.400000000000002,30.0,29.0,,,,,,,,,,33.9,34.3,33.3,,,,,,,,,,26.53333333333333,27.0,26.1,,,,,,,,,,7.633333333333333,9.4,5.0,,,,,,,,,,82.0,87.0,79.0,,,,,,,,,,9.566666666666666,9.8,9.2,,,,,,,,,,36.4,,,,13.5,,,,7.199999999999996,0,0,0,0,0,1,3,8,-0.8660254037844384,-0.5000000000000004,0
108/08/08,28.7,32.3,26.3,3.3,7.6,6.3,81.0,8.6,28.96666666666667,29.2,28.7,29.428571428571427,30.1,28.7,,,,,,,33.233333333333334,34.1,32.3,33.74285714285714,34.4,32.3,,,,,,,26.3,26.5,26.1,26.3,27.0,25.3,,,,,,,5.6000000000000005,8.5,3.3,8.371428571428572,11.3,3.3,,,,,,,82.66666666666667,87.0,80.0,79.42857142857143,87.0,75.0,,,,,,,9.366666666666667,9.8,8.6,9.542857142857143,12.5,8.4,,,,,,,33.6,44.0,,,16.3,19.8,,,5.9999999999999964,0,0,0,0,0,1,4,8,-0.8660254037844384,-0.5000000000000004,0
108/08/09,28.7,35.0,26.0,2.5,58.0,7.3,84.0,13.4,28.866666666666664,29.2,28.7,29.228571428571428,30.0,28.7,,,,,,,33.53333333333333,35.0,32.3,33.885714285714286,35.0,32.3,,,,,,,26.133333333333336,26.3,26.0,26.185714285714283,27.0,25.3,,,,,,,4.766666666666667,8.5,2.5,7.114285714285714,10.9,2.5,,,,,,,81.66666666666667,84.0,80.0,80.71428571428571,87.0,77.0,,,,,,,10.6,13.4,8.6,9.671428571428573,13.4,8.4,,,,,,,71.1,102.0,,,14.5,27.1,,,9.0,0,0,0,0,1,1,5,8,-0.8660254037844384,-0.5000000000000004,0
108/08/10,29.7,34.2,26.1,0.7,21.5,11.5,76.0,16.2,29.03333333333333,29.7,28.7,29.228571428571428,30.0,28.7,,,,,,,33.833333333333336,35.0,32.3,33.857142857142854,35.0,32.3,,,,,,,26.133333333333336,26.3,26.0,26.185714285714287,27.0,25.3,,,,,,,2.1666666666666665,3.3,0.7,5.657142857142857,10.2,0.7,,,,,,,80.33333333333333,84.0,76.0,80.57142857142857,87.0,76.0,,,,,,,12.733333333333334,16.2,8.6,10.757142857142856,16.2,8.4,,,,,,,87.1,123.5,,,25.1,38.6,,,8.100000000000001,0,0,0,1,0,1,6,8,-0.8660254037844384,-0.5000000000000004,0
