日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
111/08/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/02,29.6,34.4,25.7,6.0,0.0,0.0,80.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/03,27.3,31.2,24.7,0.6,33.0,3.2,91.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,0,0,0,0,1,1,8,-0.8660254037844384,-0.5000000000000004,0
111/08/04,28.5,32.9,24.2,10.4,0.0,0.0,86.0,10.7,28.46666666666667,29.6,27.3,,,,,,,,,,32.833333333333336,34.4,31.2,,,,,,,,,,24.866666666666664,25.7,24.2,,,,,,,,,,5.666666666666667,10.4,0.6,,,,,,,,,,85.66666666666667,91.0,80.0,,,,,,,,,,9.133333333333333,10.7,8.0,,,,,,,,,,33.0,,,,3.2,,,,8.7,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/05,29.5,33.8,25.4,10.9,0.0,0.0,79.0,8.4,28.433333333333334,29.5,27.3,,,,,,,,,,32.63333333333333,33.8,31.2,,,,,,,,,,24.766666666666666,25.4,24.2,,,,,,,,,,7.3,10.9,0.6,,,,,,,,,,85.33333333333333,91.0,79.0,,,,,,,,,,9.266666666666666,10.7,8.4,,,,,,,,,,33.0,,,,3.2,,,,8.399999999999999,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/06,29.1,33.1,25.8,9.2,0.0,0.0,81.0,7.3,29.033333333333335,29.5,28.5,,,,,,,,,,33.26666666666667,33.8,32.9,,,,,,,,,,25.133333333333336,25.8,24.2,,,,,,,,,,10.166666666666666,10.9,9.2,,,,,,,,,,82.0,86.0,79.0,,,,,,,,,,8.799999999999999,10.7,7.3,,,,,,,,,,0.0,,,,0.0,,,,7.300000000000001,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/07,29.9,34.8,25.8,10.7,0.0,0.0,78.0,7.4,29.5,29.9,29.1,,,,,,,,,,33.9,34.8,33.1,,,,,,,,,,25.666666666666668,25.8,25.4,,,,,,,,,,10.266666666666666,10.9,9.2,,,,,,,,,,79.33333333333333,81.0,78.0,,,,,,,,,,7.7,8.4,7.3,,,,,,,,,,0.0,,,,0.0,,,,8.999999999999996,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/08,29.6,33.1,25.7,11.4,0.0,0.0,80.0,14.0,29.533333333333335,29.9,29.1,29.071428571428573,29.9,27.3,,,,,,,33.666666666666664,34.8,33.1,33.32857142857143,34.8,31.2,,,,,,,25.76666666666667,25.8,25.7,25.32857142857143,25.8,24.2,,,,,,,10.433333333333334,11.4,9.2,8.457142857142857,11.4,0.6,,,,,,,79.66666666666667,81.0,78.0,82.14285714285714,91.0,78.0,,,,,,,9.566666666666668,14.0,7.3,9.214285714285714,14.0,7.3,,,,,,,0.0,33.0,,,0.0,3.2,,,7.400000000000002,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/09,29.8,34.5,25.7,8.7,0.0,0.0,77.0,9.5,29.766666666666666,29.9,29.6,29.1,29.9,27.3,,,,,,,34.13333333333333,34.8,33.1,33.34285714285714,34.8,31.2,,,,,,,25.733333333333334,25.8,25.7,25.32857142857143,25.8,24.2,,,,,,,10.266666666666667,11.4,8.7,8.842857142857143,11.4,0.6,,,,,,,78.33333333333333,80.0,77.0,81.71428571428571,91.0,77.0,,,,,,,10.299999999999999,14.0,7.4,9.428571428571429,14.0,7.3,,,,,,,0.0,33.0,,,0.0,3.2,,,8.8,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
111/08/10,29.5,33.3,25.6,11.5,0.0,0.0,77.0,13.4,29.633333333333336,29.8,29.5,29.414285714285715,29.9,28.5,,,,,,,33.63333333333333,34.5,33.1,33.642857142857146,34.8,32.9,,,,,,,25.666666666666668,25.7,25.6,25.457142857142856,25.8,24.2,,,,,,,10.533333333333333,11.5,8.7,10.4,11.5,8.7,,,,,,,78.0,80.0,77.0,79.71428571428571,86.0,77.0,,,,,,,12.300000000000002,14.0,9.5,10.1,14.0,7.3,,,,,,,0.0,0.0,,,0.0,0.0,,,7.699999999999996,0,0,0,0,0,0,0,8,-0.8660254037844384,-0.5000000000000004,0
