日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
109/09/01,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/02,28.18,32.739999999999995,24.14,10.7,0.0,0.0,79.0,8.9,,,,,,,,,,,8.599999999999994,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/03,29.08,33.7,25.64,9.4,3.4,0.0,75.0,8.559999999999999,,,,,,,,,,,8.060000000000002,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
109/09/04,27.44,34.46,23.26,4.8,46.3,1.7,82.0,10.88,28.233333333333334,33.63333333333333,24.346666666666668,8.299999999999999,78.66666666666667,9.446666666666667,49.699999999999996,,1.7,,11.2,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
109/09/05,28.26,33.44,24.26,11.2,3.3,0.0,78.0,6.48,28.26,33.86666666666667,24.386666666666667,8.466666666666667,78.33333333333333,8.639999999999999,52.99999999999999,,1.7,,9.179999999999996,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
109/09/06,27.9,32.68,24.52,5.3,0.1,0.0,76.0,6.5200000000000005,27.866666666666664,33.526666666666664,24.013333333333335,7.099999999999999,78.66666666666667,7.96,49.699999999999996,,1.7,,8.16,0,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
109/09/07,26.34,32.18,21.6,11.4,0.0,0.0,64.8,9.1,27.5,32.76666666666667,23.459999999999997,9.299999999999999,72.93333333333334,7.366666666666667,3.4,,0.0,,10.579999999999998,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/08,27.48,34.0,21.1,10.2,0.0,0.0,63.6,5.86,27.24,32.95333333333334,22.406666666666666,8.966666666666667,68.13333333333334,7.16,0.1,53.099999999999994,0.0,1.7,12.899999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/09,28.28,33.7,24.56,10.9,0.0,0.0,72.0,6.48,27.366666666666664,33.29333333333333,22.42,10.833333333333334,66.8,7.146666666666667,0.0,53.099999999999994,0.0,1.7,9.140000000000004,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/10,28.04,34.08,24.64,7.0,0.8,0.0,74.6,6.6,27.933333333333334,33.92666666666667,23.433333333333334,9.366666666666667,70.06666666666668,6.3133333333333335,0.8,50.5,0.0,1.7,9.439999999999998,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
