日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),日照時數(hour),降水量(mm),降水時數(hour),相對溼度(%),最大陣風(m/s),氣溫(℃)_rollmean_3d,氣溫(℃)_rollmax_3d,氣溫(℃)_rollmin_3d,氣溫(℃)_rollmean_7d,氣溫(℃)_rollmax_7d,氣溫(℃)_rollmin_7d,氣溫(℃)_rollmean_30d,氣溫(℃)_rollmax_30d,氣溫(℃)_rollmin_30d,最高氣溫(℃)_rollmean_3d,最高氣溫(℃)_rollmax_3d,最高氣溫(℃)_rollmin_3d,最高氣溫(℃)_rollmean_7d,最高氣溫(℃)_rollmax_7d,最高氣溫(℃)_rollmin_7d,最高氣溫(℃)_rollmean_30d,最高氣溫(℃)_rollmax_30d,最高氣溫(℃)_rollmin_30d,最低氣溫(℃)_rollmean_3d,最低氣溫(℃)_rollmax_3d,最低氣溫(℃)_rollmin_3d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmax_7d,最低氣溫(℃)_rollmin_7d,最低氣溫(℃)_rollmean_30d,最低氣溫(℃)_rollmax_30d,最低氣溫(℃)_rollmin_30d,日照時數(hour)_rollmean_3d,日照時數(hour)_rollmax_3d,日照時數(hour)_rollmin_3d,日照時數(hour)_rollmean_7d,日照時數(hour)_rollmax_7d,日照時數(hour)_rollmin_7d,日照時數(hour)_rollmean_30d,日照時數(hour)_rollmax_30d,日照時數(hour)_rollmin_30d,相對溼度(%)_rollmean_3d,相對溼度(%)_rollmax_3d,相對溼度(%)_rollmin_3d,相對溼度(%)_rollmean_7d,相對溼度(%)_rollmax_7d,相對溼度(%)_rollmin_7d,相對溼度(%)_rollmean_30d,相對溼度(%)_rollmax_30d,相對溼度(%)_rollmin_30d,最大陣風(m/s)_rollmean_3d,最大陣風(m/s)_rollmax_3d,最大陣風(m/s)_rollmin_3d,最大陣風(m/s)_rollmean_7d,最大陣風(m/s)_rollmax_7d,最大陣風(m/s)_rollmin_7d,最大陣風(m/s)_rollmean_30d,最大陣風(m/s)_rollmax_30d,最大陣風(m/s)_rollmin_30d,降水量(mm)_rollsum_3d,降水量(mm)_rollsum_7d,降水量(mm)_rollsum_30d,降水時數(hour)_rollsum_3d,降水時數(hour)_rollsum_7d,降水時數(hour)_rollsum_30d,daily_temp_range,is_cold_wave,is_strong_cold,is_frost_risk,is_strong_wind,is_heavy_rain,consecutive_rainy_days,month,month_sin,month_cos,is_winter
111/09/01,26.5,30.6,22.1,,2.75,,81.5,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,0,0,0,0,0,1,9,-1.0,-1.8369701987210297e-16,0
111/09/02,24.1,25.6,22.55,,81.375,,98.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0500000000000007,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
111/09/03,25.65,27.65,24.6,,96.375,,97.0,11.9,25.416666666666668,26.5,24.1,,,,,,,27.95,30.6,25.6,,,,,,,23.083333333333332,24.6,22.1,,,,,,,,,,,,,,,,92.16666666666667,98.0,81.5,,,,,,,10.916666666666666,11.9,10.1,,,,,,,180.5,,,,,,3.049999999999997,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
111/09/04,25.950000000000003,28.05,24.1,,53.25,,90.5,7.1,25.233333333333334,25.950000000000003,24.1,,,,,,,27.099999999999998,28.05,25.6,,,,,,,23.75,24.6,22.55,,,,,,,,,,,,,,,,95.16666666666667,98.0,90.5,,,,,,,9.700000000000001,11.9,7.1,,,,,,,231.0,,,,,,3.9499999999999993,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
111/09/05,28.35,32.95,25.700000000000003,,0.0,,78.5,9.6,26.650000000000002,28.35,25.65,,,,,,,29.55,32.95,27.65,,,,,,,24.8,25.700000000000003,24.1,,,,,,,,,,,,,,,,88.66666666666667,97.0,78.5,,,,,,,9.533333333333333,11.9,7.1,,,,,,,149.625,,,,,,7.25,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
111/09/06,26.6,29.9,23.950000000000003,,14.75,,87.5,4.35,26.96666666666667,28.35,25.950000000000003,,,,,,,30.3,32.95,28.05,,,,,,,24.583333333333332,25.700000000000003,23.950000000000003,,,,,,,,,,,,,,,,85.5,90.5,78.5,,,,,,,7.016666666666666,9.6,4.35,,,,,,,68.0,,,,,,5.949999999999996,0,0,0,0,0,1,9,-1.0,-1.8369701987210297e-16,0
111/09/07,26.15,31.200000000000003,23.65,,0.5,,86.0,4.45,27.03333333333333,28.35,26.15,26.185714285714287,28.35,24.1,,,,31.350000000000005,32.95,29.9,29.421428571428574,32.95,25.6,,,,24.433333333333337,25.700000000000003,23.65,23.807142857142857,25.700000000000003,22.1,,,,,,,,,,,,,84.0,87.5,78.5,88.42857142857143,98.0,78.5,,,,6.133333333333333,9.6,4.35,8.321428571428571,11.9,4.35,,,,15.25,249.0,,,,,7.550000000000004,0,0,0,0,0,2,9,-1.0,-1.8369701987210297e-16,0
111/09/08,26.15,32.3,21.7,,0.0,,72.0,7.1,26.3,26.6,26.15,26.135714285714283,28.35,24.1,,,,31.133333333333336,32.3,29.9,29.664285714285715,32.95,25.6,,,,23.100000000000005,23.950000000000003,21.7,23.75,25.700000000000003,21.7,,,,,,,,,,,,,81.83333333333333,87.5,72.0,87.07142857142857,98.0,72.0,,,,5.3,7.1,4.35,7.8,11.9,4.35,,,,15.25,246.25,,,,,10.599999999999998,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
111/09/09,25.55,31.8,20.55,,0.0,,71.0,7.25,25.95,26.15,25.55,26.342857142857145,28.35,25.55,,,,31.766666666666666,32.3,31.200000000000003,30.550000000000004,32.95,27.65,,,,21.96666666666667,23.65,20.55,23.464285714285715,25.700000000000003,20.55,,,,,,,,,,,,,76.33333333333333,86.0,71.0,83.21428571428571,97.0,71.0,,,,6.266666666666667,7.25,4.45,7.392857142857143,11.9,4.35,,,,0.5,164.875,,,,,11.25,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
111/09/10,24.6,30.75,20.4,,0.0,,77.0,6.1,25.433333333333334,26.15,24.6,26.192857142857143,28.35,24.6,,,,31.616666666666664,32.3,30.75,30.992857142857144,32.95,28.05,,,,20.88333333333333,21.7,20.4,22.864285714285717,25.700000000000003,20.4,,,,,,,,,,,,,73.33333333333333,77.0,71.0,80.35714285714286,90.5,71.0,,,,6.816666666666666,7.25,6.1,6.564285714285714,9.6,4.35,,,,0.0,68.5,,,,,10.350000000000001,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
