日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
112/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/02,28.4,32.0,26.05,,1.0,,85.5,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.949999999999999,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
112/09/03,29.05,33.5,26.25,,0.0,,81.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/04,27.65,29.25,25.85,,3.25,,88.0,14.3,28.366666666666664,29.05,27.65,,,,,,,,,,31.583333333333332,33.5,29.25,,,,,,,,,,26.05,26.25,25.85,,,,,,,,,,,,,,,,,,,,,,84.83333333333333,88.0,81.0,,,,,,,,,,9.316666666666668,14.3,6.25,,,,,,,,,,4.25,,,,,,,,3.3999999999999986,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
112/09/05,26.9,29.35,25.25,,10.75,,89.5,11.1,27.866666666666664,29.05,26.9,,,,,,,,,,30.7,33.5,29.25,,,,,,,,,,25.783333333333335,26.25,25.25,,,,,,,,,,,,,,,,,,,,,,86.16666666666667,89.5,81.0,,,,,,,,,,10.55,14.3,6.25,,,,,,,,,,14.0,,,,,,,,4.100000000000001,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
112/09/06,28.15,34.2,25.45,,1.5,,82.5,8.75,27.566666666666666,28.15,26.9,,,,,,,,,,30.933333333333337,34.2,29.25,,,,,,,,,,25.51666666666667,25.85,25.25,,,,,,,,,,,,,,,,,,,,,,86.66666666666667,89.5,82.5,,,,,,,,,,11.383333333333333,14.3,8.75,,,,,,,,,,15.5,,,,,,,,8.750000000000004,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
112/09/07,27.1,34.0,24.55,,28.25,,87.0,7.65,27.38333333333333,28.15,26.9,,,,,,,,,,32.51666666666667,34.2,29.35,,,,,,,,,,25.083333333333332,25.45,24.55,,,,,,,,,,,,,,,,,,,,,,86.33333333333333,89.5,82.5,,,,,,,,,,9.166666666666666,11.1,7.65,,,,,,,,,,40.5,,,,,,,,9.45,0,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
112/09/08,27.4,32.55,24.75,,2.5,,87.5,6.550000000000001,27.55,28.15,27.1,27.807142857142857,29.05,26.9,,,,,,,33.583333333333336,34.2,32.55,32.121428571428574,34.2,29.25,,,,,,,24.916666666666668,25.45,24.55,25.45,26.25,24.55,,,,,,,,,,,,,,,,,,,85.66666666666667,87.5,82.5,85.85714285714286,89.5,81.0,,,,,,,7.650000000000001,8.75,6.550000000000001,8.857142857142858,14.3,6.25,,,,,,,32.25,47.25,,,,,,,7.799999999999997,0,0,0,0,0,1,5,9,-1.0,-1.8369701987210297e-16,0
112/09/09,26.65,32.25,24.25,,23.75,,89.5,9.2,27.049999999999997,27.4,26.65,27.557142857142853,29.05,26.65,,,,,,,32.93333333333333,34.0,32.25,32.15714285714286,34.2,29.25,,,,,,,24.516666666666666,24.75,24.25,25.192857142857143,26.25,24.25,,,,,,,,,,,,,,,,,,,88.0,89.5,87.0,86.42857142857143,89.5,81.0,,,,,,,7.8,9.2,6.550000000000001,9.114285714285716,14.3,6.25,,,,,,,54.5,70.0,,,,,,,8.0,0,0,0,0,0,1,6,9,-1.0,-1.8369701987210297e-16,0
112/09/10,26.65,31.45,24.05,,18.25,,87.0,8.6,26.900000000000002,27.4,26.65,27.214285714285715,28.15,26.65,,,,,,,32.08333333333333,32.55,31.45,31.864285714285717,34.2,29.25,,,,,,,24.350000000000005,24.75,24.05,24.878571428571426,25.85,24.05,,,,,,,,,,,,,,,,,,,88.0,89.5,87.0,87.28571428571429,89.5,82.5,,,,,,,8.116666666666667,9.2,6.550000000000001,9.450000000000001,14.3,6.550000000000001,,,,,,,44.5,88.25,,,,,,,7.399999999999999,0,0,0,0,0,1,7,9,-1.0,-1.8369701987210297e-16,0
112/09/11,26.15,30.65,24.0,,11.75,,89.5,5.7,26.48333333333333,26.65,26.15,27.0,28.15,26.15,,,,,,,31.45,32.25,30.65,32.06428571428571,34.2,29.35,,,,,,,24.100000000000005,24.25,24.0,24.614285714285717,25.45,24.0,,,,,,,,,,,,,,,,,,,88.66666666666667,89.5,87.0,87.5,89.5,82.5,,,,,,,7.833333333333333,9.2,5.7,8.221428571428572,11.1,5.7,,,,,,,53.75,96.75,,,,,,,6.649999999999999,0,0,0,0,0,1,8,9,-1.0,-1.8369701987210297e-16,0
112/09/12,27.1,30.75,24.25,,0.0,,83.5,6.2,26.633333333333336,27.1,26.15,27.02857142857143,28.15,26.15,,,,,,,30.95,31.45,30.65,32.26428571428571,34.2,30.65,,,,,,,24.100000000000005,24.25,24.0,24.47142857142857,25.45,24.0,,,,,,,,,,,,,,,,,,,86.66666666666667,89.5,83.5,86.64285714285714,89.5,82.5,,,,,,,6.833333333333333,8.6,5.7,7.521428571428572,9.2,5.7,,,,,,,30.0,86.0,,,,,,,6.5,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
