日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
110/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/02,29.1,33.63333333333333,26.2,,0.0,,82.0,6.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.433333333333334,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/03,28.766666666666666,32.46666666666666,26.33333333333333,,0.0,,80.66666666666667,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.133333333333333,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/04,28.4,33.300000000000004,25.433333333333334,,0.0,,78.0,6.466666666666666,28.755555555555556,29.1,28.4,,,,,,,,,,33.13333333333333,33.63333333333333,32.46666666666666,,,,,,,,,,25.98888888888889,26.33333333333333,25.433333333333334,,,,,,,,,,,,,,,,,,,,,,80.22222222222223,82.0,78.0,,,,,,,,,,6.444444444444444,6.666666666666667,6.2,,,,,,,,,,0.0,,,,,,,,7.866666666666671,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/05,27.933333333333334,33.5,24.4,,1.1666666666666667,,80.0,7.1000000000000005,28.366666666666664,28.766666666666666,27.933333333333334,,,,,,,,,,33.088888888888896,33.5,32.46666666666666,,,,,,,,,,25.388888888888886,26.33333333333333,24.4,,,,,,,,,,,,,,,,,,,,,,79.55555555555556,80.66666666666667,78.0,,,,,,,,,,6.588888888888889,7.1000000000000005,6.2,,,,,,,,,,1.1666666666666667,,,,,,,,9.100000000000001,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
110/09/06,28.133333333333336,32.7,24.633333333333336,,0.1666666666666666,,82.33333333333333,8.166666666666666,28.155555555555555,28.4,27.933333333333334,,,,,,,,,,33.166666666666664,33.5,32.7,,,,,,,,,,24.822222222222223,25.433333333333334,24.4,,,,,,,,,,,,,,,,,,,,,,80.1111111111111,82.33333333333333,78.0,,,,,,,,,,7.2444444444444445,8.166666666666666,6.466666666666666,,,,,,,,,,1.3333333333333333,,,,,,,,8.066666666666666,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
110/09/07,28.9,33.93333333333333,24.266666666666666,,0.0,,75.66666666666667,7.399999999999999,28.322222222222223,28.9,27.933333333333334,,,,,,,,,,33.37777777777777,33.93333333333333,32.7,,,,,,,,,,24.433333333333334,24.633333333333336,24.266666666666666,,,,,,,,,,,,,,,,,,,,,,79.33333333333333,82.33333333333333,75.66666666666667,,,,,,,,,,7.5555555555555545,8.166666666666666,7.1000000000000005,,,,,,,,,,1.3333333333333333,,,,,,,,9.666666666666664,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/08,29.633333333333336,33.800000000000004,25.8,,0.0,,76.66666666666667,7.066666666666666,28.88888888888889,29.633333333333336,28.133333333333336,28.695238095238096,29.633333333333336,27.933333333333334,,,,,,,33.47777777777778,33.93333333333333,32.7,33.333333333333336,33.93333333333333,32.46666666666666,,,,,,,24.900000000000002,25.8,24.266666666666666,25.295238095238094,26.33333333333333,24.266666666666666,,,,,,,,,,,,,,,,,,,78.22222222222221,82.33333333333333,75.66666666666667,79.33333333333334,82.33333333333333,75.66666666666667,,,,,,,7.544444444444444,8.166666666666666,7.066666666666666,7.009523809523809,8.166666666666666,6.2,,,,,,,0.1666666666666666,1.3333333333333333,,,,,,,8.000000000000004,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/09,29.433333333333334,33.2,26.133333333333336,,0.0,,81.0,6.8,29.322222222222223,29.633333333333336,28.9,28.742857142857144,29.633333333333336,27.933333333333334,,,,,,,33.644444444444446,33.93333333333333,33.2,33.27142857142857,33.93333333333333,32.46666666666666,,,,,,,25.400000000000002,26.133333333333336,24.266666666666666,25.285714285714285,26.33333333333333,24.266666666666666,,,,,,,,,,,,,,,,,,,77.77777777777779,81.0,75.66666666666667,79.19047619047619,82.33333333333333,75.66666666666667,,,,,,,7.088888888888889,7.399999999999999,6.8,7.028571428571429,8.166666666666666,6.2,,,,,,,0.0,1.3333333333333333,,,,,,,7.066666666666666,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
110/09/10,29.433333333333334,34.63333333333333,26.066666666666663,,0.0,,80.33333333333333,5.866666666666667,29.5,29.633333333333336,29.433333333333334,28.83809523809524,29.633333333333336,27.933333333333334,,,,,,,33.87777777777778,34.63333333333333,33.2,33.58095238095238,34.63333333333333,32.7,,,,,,,26.0,26.133333333333336,25.8,25.247619047619047,26.133333333333336,24.266666666666666,,,,,,,,,,,,,,,,,,,79.33333333333333,81.0,76.66666666666667,79.14285714285714,82.33333333333333,75.66666666666667,,,,,,,6.577777777777778,7.066666666666666,5.866666666666667,6.980952380952381,8.166666666666666,5.866666666666667,,,,,,,0.0,1.3333333333333333,,,,,,,8.56666666666667,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
