日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
107/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/02,28.025,32.35,25.275,,0.0,,82.25,5.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.075000000000003,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/03,28.1,32.05,24.85,,0.125,,82.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.199999999999996,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
107/09/04,28.125,32.35,24.325,,0.0,,79.5,6.575,28.083333333333332,28.125,28.025,,,,,,,,,,32.25,32.35,32.05,,,,,,,,,,24.816666666666666,25.275,24.325,,,,,,,,,,,,,,,,,,,,,,81.25,82.25,79.5,,,,,,,,,,6.466666666666666,7.2,5.625,,,,,,,,,,0.125,,,,,,,,8.025000000000002,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/05,28.725,33.025,25.075,,0.0,,81.25,7.7,28.316666666666666,28.725,28.1,,,,,,,,,,32.475,33.025,32.05,,,,,,,,,,24.75,25.075,24.325,,,,,,,,,,,,,,,,,,,,,,80.91666666666667,82.0,79.5,,,,,,,,,,7.158333333333334,7.7,6.575,,,,,,,,,,0.125,,,,,,,,7.949999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/06,28.825,33.025,26.825,,0.0,,86.0,5.725,28.558333333333334,28.825,28.125,,,,,,,,,,32.8,33.025,32.35,,,,,,,,,,25.40833333333333,26.825,24.325,,,,,,,,,,,,,,,,,,,,,,82.25,86.0,79.5,,,,,,,,,,6.666666666666667,7.7,5.725,,,,,,,,,,0.0,,,,,,,,6.199999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/07,27.975,32.4,25.175,,3.25,,85.5,6.65,28.508333333333336,28.825,27.975,,,,,,,,,,32.81666666666666,33.025,32.4,,,,,,,,,,25.691666666666663,26.825,25.075,,,,,,,,,,,,,,,,,,,,,,84.25,86.0,81.25,,,,,,,,,,6.691666666666666,7.7,5.725,,,,,,,,,,3.25,,,,,,,,7.224999999999998,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
107/09/08,28.1,32.425,24.075,,23.375,,84.0,7.199999999999999,28.3,28.825,27.975,28.267857142857142,28.825,27.975,,,,,,,32.61666666666667,33.025,32.4,32.517857142857146,33.025,32.05,,,,,,,25.358333333333334,26.825,24.075,25.085714285714285,26.825,24.075,,,,,,,,,,,,,,,,,,,85.16666666666667,86.0,84.0,82.92857142857143,86.0,79.5,,,,,,,6.5249999999999995,7.199999999999999,5.725,6.667857142857143,7.7,5.625,,,,,,,26.625,26.75,,,,,,,8.349999999999998,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
107/09/09,27.25,31.225,24.6,,0.0,,86.75,7.2,27.775000000000002,28.1,27.25,28.157142857142855,28.825,27.25,,,,,,,32.016666666666666,32.425,31.225,32.357142857142854,33.025,31.225,,,,,,,24.616666666666664,25.175,24.075,24.98928571428571,26.825,24.075,,,,,,,,,,,,,,,,,,,85.41666666666667,86.75,84.0,83.57142857142857,86.75,79.5,,,,,,,7.016666666666666,7.2,6.65,6.892857142857143,7.7,5.725,,,,,,,26.625,26.75,,,,,,,6.625,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/10,26.175,29.175,24.125,,0.0,,85.0,13.2,27.175,28.1,26.175,27.88214285714286,28.825,26.175,,,,,,,30.941666666666666,32.425,29.175,31.946428571428573,33.025,29.175,,,,,,,24.266666666666666,24.6,24.075,24.885714285714283,26.825,24.075,,,,,,,,,,,,,,,,,,,85.25,86.75,84.0,84.0,86.75,79.5,,,,,,,9.200000000000001,13.2,7.199999999999999,7.75,13.2,5.725,,,,,,,23.375,26.625,,,,,,,5.050000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
