日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
113/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/02,29.3,33.75,26.4,,0.0,,77.5,7.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.350000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/03,29.95,33.7,26.45,,0.0,,78.5,6.550000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2500000000000036,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/04,30.35,34.05,28.0,,0.0,,79.0,8.9,29.866666666666664,30.35,29.3,,,,,,,,,,33.833333333333336,34.05,33.7,,,,,,,,,,26.95,28.0,26.4,,,,,,,,,,,,,,,,,,,,,,78.33333333333333,79.0,77.5,,,,,,,,,,7.583333333333333,8.9,6.550000000000001,,,,,,,,,,0.0,,,,,,,,6.049999999999997,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/05,30.35,33.75,27.6,,0.0,,76.5,6.55,30.21666666666667,30.35,29.95,,,,,,,,,,33.833333333333336,34.05,33.7,,,,,,,,,,27.349999999999998,28.0,26.45,,,,,,,,,,,,,,,,,,,,,,78.0,79.0,76.5,,,,,,,,,,7.333333333333333,8.9,6.55,,,,,,,,,,0.0,,,,,,,,6.149999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/06,28.75,34.6,25.0,,7.75,,84.0,15.6,29.816666666666666,30.35,28.75,,,,,,,,,,34.13333333333333,34.6,33.75,,,,,,,,,,26.866666666666664,28.0,25.0,,,,,,,,,,,,,,,,,,,,,,79.83333333333333,84.0,76.5,,,,,,,,,,10.35,15.6,6.55,,,,,,,,,,7.75,,,,,,,,9.600000000000001,0,0,0,1,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/07,29.15,34.400000000000006,26.0,,0.0,,81.5,6.9,29.416666666666668,30.35,28.75,,,,,,,,,,34.25,34.6,33.75,,,,,,,,,,26.2,27.6,25.0,,,,,,,,,,,,,,,,,,,,,,80.66666666666667,84.0,76.5,,,,,,,,,,9.683333333333332,15.6,6.55,,,,,,,,,,7.75,,,,,,,,8.400000000000006,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/08,28.6,32.95,26.25,,6.5,,83.5,8.149999999999999,28.833333333333332,29.15,28.6,29.49285714285714,30.35,28.6,,,,,,,33.98333333333334,34.6,32.95,33.885714285714286,34.6,32.95,,,,,,,25.75,26.25,25.0,26.52857142857143,28.0,25.0,,,,,,,,,,,,,,,,,,,83.0,84.0,81.5,80.07142857142857,84.0,76.5,,,,,,,10.216666666666667,15.6,6.9,8.564285714285715,15.6,6.55,,,,,,,14.25,14.25,,,,,,,6.700000000000003,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/09,27.15,31.85,23.35,,43.0,,89.0,10.2,28.3,29.15,27.15,29.185714285714283,30.35,27.15,,,,,,,33.06666666666667,34.400000000000006,31.85,33.614285714285714,34.6,31.85,,,,,,,25.200000000000003,26.25,23.35,26.092857142857145,28.0,23.35,,,,,,,,,,,,,,,,,,,84.66666666666667,89.0,81.5,81.71428571428571,89.0,76.5,,,,,,,8.416666666666666,10.2,6.9,8.97857142857143,15.6,6.55,,,,,,,49.5,57.25,,,,,,,8.5,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
113/09/10,26.75,32.650000000000006,22.6,,16.75,,88.0,12.65,27.5,28.6,26.75,28.728571428571428,30.35,26.75,,,,,,,32.48333333333334,32.95,31.85,33.464285714285715,34.6,31.85,,,,,,,24.066666666666666,26.25,22.6,25.542857142857144,28.0,22.6,,,,,,,,,,,,,,,,,,,86.83333333333333,89.0,83.5,83.07142857142857,89.0,76.5,,,,,,,10.333333333333334,12.65,8.149999999999999,9.85,15.6,6.55,,,,,,,66.25,74.0,,,,,,,10.050000000000004,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
