日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
107/11/01,14.554285714285712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.55,26.475,19.275,,0.125,,82.5,10.1,21.33333333333333,22.1,20.35,22.214285714285715,24.35,20.35,22.931666666666665,24.35,20.35,23.6975,25.75,20.35,27.850000000000005,29.35,26.475,28.189285714285717,30.525,26.3,28.381666666666668,30.525,25.95,28.824166666666667,31.5,25.475,16.333333333333332,19.275,14.2,17.707142857142856,20.925,14.2,18.97833333333333,21.425,14.2,20.054166666666664,23.1,14.2,,,,,,,,,,,,,69.58333333333333,82.5,58.5,70.78571428571429,83.25,54.5,76.33333333333333,85.0,54.5,77.59166666666667,86.25,54.5,9.091666666666669,10.1,7.15,9.217857142857142,13.15,6.225,8.303333333333333,13.15,6.225,8.508333333333333,15.7,6.1,0.125,0.125,1.0,1.125,,,,,7.200000000000003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/02,17.332857142857144,20.75714285714286,,,,,14.62857142857143,,,,,8.657142857142857,,,,,12.100000000000003,,,,,2311.428571428572,,,,,14.554285714285712,,,20.1,22.125,18.775,,0.75,,85.0,10.4,21.25,22.1,20.1,21.617857142857144,24.35,20.1,22.735000000000003,24.35,20.1,23.566666666666663,25.75,20.1,25.98333333333333,29.35,22.125,26.98928571428572,29.700000000000003,22.125,28.12666666666667,30.525,22.125,28.5775,31.5,22.125,17.85833333333333,19.275,15.525,17.517857142857142,20.925,14.2,18.841666666666665,21.425,14.2,20.004166666666663,23.1,14.2,,,,,,,,,,,,,78.41666666666667,85.0,67.75,71.07142857142857,85.0,54.5,76.33333333333333,85.0,54.5,78.11666666666666,86.25,54.5,9.216666666666669,10.4,7.15,9.814285714285717,13.15,7.15,8.345,13.15,6.225,8.514166666666666,15.7,6.1,0.875,0.875,1.625,1.875,,,,,3.3500000000000014,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/03,19.85384615384616,24.25714285714286,,,,,17.37857142857143,,,,,11.385714285714286,,,,,12.871428571428574,,,,,2030.357142857143,,,,,17.332857142857144,,,21.625,25.1,19.55,,0.25,,90.25,7.275,21.09166666666667,21.625,20.1,21.228571428571428,22.525,20.1,22.591666666666665,24.35,20.1,23.488333333333333,25.75,20.1,24.566666666666677,26.475,22.125,26.33214285714286,29.35,22.125,28.00333333333333,30.525,22.125,28.425833333333333,31.5,22.125,19.2,19.55,18.775,17.32142857142857,19.55,14.2,18.77,21.425,14.2,20.006666666666664,23.1,14.2,,,,,,,,,,,,,85.91666666666667,90.25,82.5,72.07142857142857,90.25,54.5,77.16666666666667,90.25,54.5,78.925,90.25,54.5,9.258333333333333,10.4,7.275,9.821428571428571,13.15,7.15,8.4,13.15,6.225,8.354166666666666,15.7,6.1,1.125,1.125,1.875,2.125,,,,,5.550000000000001,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
107/11/04,19.545,26.307692307692307,,,23.77399267399268,,20.12307692307693,,,17.37673992673993,,13.615384615384617,,,11.21941391941392,,12.692307692307692,,,12.554578754578756,,1710.6923076923076,,,2017.492673992674,,19.85384615384616,,,23.7,29.425,19.575,,0.0,,87.5,7.75,21.808333333333334,23.7,20.1,21.39642857142857,23.7,20.1,22.61,24.35,20.1,23.5,25.75,20.1,25.55,29.425,22.125,26.642857142857142,29.425,22.125,28.021666666666665,30.525,22.125,28.50583333333333,31.5,22.125,19.3,19.575,18.775,17.607142857142854,19.575,14.2,18.761666666666663,21.425,14.2,19.95833333333333,23.1,14.2,,,,,,,,,,,,,87.58333333333333,90.25,85.0,75.14285714285714,90.25,54.5,77.73333333333333,90.25,54.5,79.4,90.25,54.5,8.475,10.4,7.275,9.05,10.65,7.15,8.371666666666666,13.15,6.225,8.089166666666667,13.15,6.1,1.0,1.125,1.125,2.125,,,,,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,6,1,0,0
107/11/05,16.5,25.308333333333334,,,25.291056166056165,,19.58333333333333,,,19.02832722832723,,14.083333333333334,,,13.02814407814408,,11.225,,,12.26291208791209,,1437.4166666666667,,,1726.1553724053726,,19.545,,,24.275,29.65,21.725,,0.0,,86.25,6.975,23.2,24.275,21.625,21.95714285714286,24.275,20.1,22.706666666666663,24.35,20.1,23.500833333333333,25.75,20.1,28.058333333333337,29.65,25.1,27.12142857142857,29.65,22.125,28.076666666666664,30.525,22.125,28.542500000000004,31.5,22.125,20.28333333333333,21.725,19.55,18.375,21.725,14.2,18.935,21.725,14.2,20.006666666666664,23.1,14.2,,,,,,,,,,,,,88.0,90.25,86.25,79.67857142857143,90.25,58.5,78.2,90.25,54.5,79.94166666666666,90.25,54.5,7.333333333333333,7.75,6.975,8.525,10.4,6.975,8.343333333333334,13.15,6.225,7.988333333333333,13.15,6.1,0.25,1.125,1.125,2.125,,,,,7.924999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,0,0,1,0
107/11/06,18.446,21.85,,,24.48867521367521,,16.450000000000003,,,18.71880341880342,,10.0,,,12.566239316239315,,11.85,,,11.922435897435898,,5239.0,,,2795.702991452992,,16.5,,,24.225,29.7,20.575,,0.0,,86.75,6.45,24.066666666666663,24.275,23.7,22.510714285714283,24.275,20.1,22.77,24.35,20.1,23.451666666666664,25.75,20.1,29.59166666666667,29.7,29.425,27.40357142857143,29.7,22.125,28.05,30.525,22.125,28.504166666666663,31.5,22.125,20.625,21.725,19.575,19.285714285714285,21.725,15.525,19.06,21.725,14.2,19.97083333333333,23.1,14.2,,,,,,,,,,,,,86.83333333333333,87.5,86.25,83.71428571428571,90.25,67.75,78.73333333333333,90.25,54.5,80.26666666666667,90.25,54.5,7.058333333333334,7.75,6.45,8.014285714285714,10.4,6.45,8.306666666666667,13.15,6.225,7.9875,13.15,6.1,0.0,1.125,1.125,2.125,,,,,9.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,1,0,0,0
107/11/07,18.57857142857143,24.866666666666667,,,24.008333333333336,,18.48,,,18.171111111111117,,12.666666666666666,,,12.25,,12.2,,,11.758333333333333,,2072.333333333333,,,2916.25,,18.446,,,24.625,29.8,21.65,,0.0,,88.0,4.35,24.375,24.625,24.225,22.87142857142857,24.625,20.1,22.80666666666667,24.625,20.1,23.4375,25.75,20.1,29.71666666666667,29.8,29.65,27.467857142857145,29.8,22.125,28.07166666666667,30.525,22.125,28.506666666666668,31.5,22.125,21.316666666666663,21.725,20.575,20.160714285714285,21.725,18.775,19.161666666666665,21.725,14.2,19.953333333333333,23.1,14.2,,,,,,,,,,,,,87.0,88.0,86.25,86.60714285714286,90.25,82.5,79.06666666666666,90.25,54.5,80.54166666666667,90.25,54.5,5.925,6.975,4.35,7.614285714285714,10.4,4.35,8.155,13.15,4.35,7.868333333333333,13.15,4.35,0.0,1.125,1.125,2.125,,,,,8.150000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,2,0,0,0
107/11/08,16.876923076923077,24.857142857142858,20.75714285714286,,23.85793650793651,24.0291601255887,18.835714285714285,14.62857142857143,,17.921904761904763,17.92560962846677,12.242857142857144,8.657142857142857,,11.636507936507938,11.80729984301413,12.614285714285714,12.100000000000003,,12.22142857142857,12.221860282574568,1781.857142857143,2311.428571428572,,3031.0634920634925,2369.0121664050234,18.57857142857143,14.554285714285712,,23.95,28.55,21.425,,0.0,,90.0,5.325,24.26666666666667,24.625,23.95,23.214285714285715,24.625,20.1,22.78666666666667,24.625,20.1,23.394166666666667,25.75,20.1,29.350000000000005,29.8,28.55,27.76428571428572,29.8,22.125,28.046666666666667,30.525,22.125,28.425833333333333,31.5,22.125,21.216666666666665,21.65,20.575,20.467857142857135,21.725,18.775,19.161666666666665,21.725,14.2,19.960833333333333,23.1,14.2,,,,,,,,,,,,,88.25,90.0,86.75,87.67857142857143,90.25,85.0,79.48333333333333,90.25,54.5,80.8,90.25,54.5,5.375,6.45,4.35,6.932142857142857,10.4,4.35,7.978333333333334,13.15,4.35,7.786666666666666,13.15,4.35,0.0,1.0,1.125,2.125,,,,,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/09,18.37,23.71538461538461,24.25714285714286,,24.47973137973138,24.451766091051805,16.838461538461537,17.37857142857143,,18.05139194139194,18.24130821559393,10.96923076923077,11.385714285714286,,11.95958485958486,12.137598116169544,12.746153846153844,12.871428571428574,,12.520146520146518,12.314167974882258,1817.5384615384608,2030.357142857143,,1890.5763125763128,2298.456436420722,16.876923076923077,17.332857142857144,,24.75,30.15,21.6,,0.0,,84.25,4.65,24.441666666666663,24.75,23.95,23.878571428571423,24.75,21.625,22.85,24.75,20.1,23.365,25.75,20.1,29.5,30.15,28.55,28.910714285714285,30.15,25.1,28.12166666666667,30.525,22.125,28.425,31.5,22.125,21.558333333333334,21.65,21.425,20.87142857142857,21.725,19.55,19.255,21.725,14.2,19.951666666666664,23.1,14.2,,,,,,,,,,,,,87.41666666666667,90.0,84.25,87.57142857142857,90.25,84.25,79.56666666666666,90.25,54.5,80.825,90.25,54.5,4.775,5.325,4.35,6.110714285714286,7.75,4.35,7.846666666666667,13.15,4.35,7.731666666666667,13.15,4.35,0.0,0.25,1.125,2.125,,,,,8.549999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/10,19.30538461538461,25.36428571428572,26.307692307692307,,24.645604395604398,24.60992935635793,18.81428571428572,20.12307692307693,,18.162820512820517,18.446410256410257,12.107142857142858,13.615384615384617,,11.773076923076925,12.24065934065934,13.25714285714286,12.692307692307692,,12.872527472527471,12.369270015698588,1772.142857142857,1710.6923076923076,,1790.5128205128206,2261.568681318681,18.37,19.85384615384616,,24.0,29.625,20.975,,0.0,,85.5,7.125,24.23333333333333,24.75,23.95,24.217857142857135,24.75,23.7,22.831666666666663,24.75,20.1,23.30666666666667,25.45,20.1,29.441666666666663,30.15,28.55,29.557142857142853,30.15,28.55,28.061666666666667,30.15,22.125,28.4175,31.5,22.125,21.33333333333333,21.6,20.975,21.075,21.725,19.575,19.313333333333336,21.725,14.2,19.88083333333333,22.7,14.2,,,,,,,,,,,,,86.58333333333333,90.0,84.25,86.89285714285714,90.0,84.25,79.73333333333333,90.25,54.5,80.96666666666667,90.25,54.5,5.7,7.125,4.65,6.089285714285714,7.75,4.35,7.906666666666666,13.15,4.35,7.705833333333333,13.15,4.35,0.0,0.0,1.125,2.125,,,,,8.649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
