日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
107/11/01,19.379375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,21.3,18.3,0.0,46.0,24.0,93.0,10.9,20.6,21.2,20.0,21.95714285714286,25.3,20.0,22.2,25.3,20.0,22.756666666666664,26.6,19.9,24.5,27.1,21.3,26.857142857142858,31.2,21.3,26.160000000000004,31.2,20.8,26.426666666666662,31.3,20.8,16.7,18.3,14.4,18.04285714285714,21.9,14.4,19.25333333333333,21.9,14.4,20.08333333333333,22.6,14.4,3.5000000000000004,10.4,0.0,5.085714285714286,10.4,0.0,2.986666666666667,10.4,0.0,2.523333333333333,10.8,0.0,74.66666666666667,93.0,56.0,72.57142857142857,93.0,56.0,76.53333333333333,93.0,56.0,77.1,93.0,56.0,10.3,10.9,9.9,9.357142857142858,11.3,5.6,7.546666666666667,11.3,4.2,7.853333333333333,12.9,4.2,69.8,71.0,109.8,,30.9,32.89999999999999,84.3,229.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/02,18.33294117647059,27.49375,,,,,19.625,,,,,12.9125,,,,,14.58125,,,,,24606.25,,,,,19.379375,,,18.9,19.4,18.4,0.0,76.7,24.0,96.0,6.2,20.03333333333333,21.2,18.9,21.128571428571423,25.3,18.9,21.986666666666668,25.3,18.9,22.563333333333336,26.6,18.9,21.933333333333334,25.1,19.4,25.47142857142857,31.2,19.4,25.77333333333333,31.2,19.4,26.04666666666667,31.3,19.4,18.03333333333333,18.4,17.4,17.54285714285714,21.2,14.4,19.086666666666662,21.9,14.4,20.043333333333337,22.6,14.4,0.0333333333333339,0.1,0.0,4.814285714285715,10.4,0.0,2.986666666666667,10.4,0.0,2.1633333333333336,10.4,0.0,88.0,96.0,75.0,75.14285714285714,96.0,56.0,77.26666666666667,96.0,56.0,78.26666666666667,96.0,56.0,9.0,10.9,6.2,9.442857142857145,11.3,6.2,7.6,11.3,4.2,7.836666666666667,12.9,4.2,146.5,147.7,168.2,,54.9,56.89999999999999,92.2,251.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/03,17.125882352941176,27.188235294117646,,,,,18.61764705882353,,,,,11.117647058823527,,,,,16.070588235294117,,,,,26107.941176470587,,,,,18.33294117647059,,,21.0,22.4,19.0,0.0,170.6,23.4,98.0,9.7,19.966666666666665,21.0,18.9,20.514285714285712,21.6,18.9,21.94,25.3,18.9,22.493333333333336,26.6,18.9,21.03333333333333,22.4,19.4,24.214285714285715,27.3,19.4,25.660000000000004,31.2,19.4,25.85333333333333,31.3,19.4,18.566666666666663,19.0,18.3,17.228571428571428,19.0,14.4,19.02,21.9,14.4,20.02,22.6,14.4,0.0,0.0,0.0,3.557142857142857,10.4,0.0,2.986666666666667,10.4,0.0,1.94,10.4,0.0,95.66666666666669,98.0,93.0,78.0,98.0,56.0,78.33333333333333,98.0,56.0,79.3,98.0,56.0,8.933333333333334,10.9,6.2,9.714285714285714,11.3,6.2,7.793333333333334,11.3,4.2,7.806666666666667,12.9,4.2,293.3,317.70000000000005,333.20000000000005,,71.4,79.79999999999998,106.4,274.9,3.3999999999999986,0.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
107/11/04,15.093846153846156,25.688235294117646,,,26.790073529411767,,17.22941176470588,,,18.4906862745098,,10.13529411764706,,,11.388480392156865,,15.552941176470586,,,15.4015931372549,,32023.20588235294,,,27579.13235294117,,17.125882352941176,,,23.8,27.8,21.2,2.0,24.9,8.5,93.0,5.1,21.23333333333333,23.8,18.9,20.82857142857143,23.8,18.9,22.18,25.3,18.9,22.496666666666663,26.6,18.9,23.2,27.8,19.4,24.285714285714285,27.8,19.4,26.126666666666665,31.2,19.4,25.836666666666662,31.3,19.4,19.53333333333333,21.2,18.4,17.82857142857143,21.2,14.4,19.14,21.9,14.4,20.066666666666663,22.6,14.4,0.6666666666666673,2.0,0.0,3.242857142857143,10.4,0.0,3.12,10.4,0.0,1.8866666666666667,10.4,0.0,95.66666666666669,98.0,93.0,81.57142857142857,98.0,56.0,78.86666666666666,98.0,56.0,80.2,98.0,56.0,7.0,9.7,5.1,9.028571428571428,11.3,5.1,7.606666666666667,11.3,4.2,7.606666666666666,12.9,4.2,272.2,342.0,344.8,743.0,55.9,86.79999999999998,96.9,283.0,6.600000000000001,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,6,1,0,0
107/11/05,15.225,23.4,,,25.42549019607843,,15.33846153846154,,,17.06184012066365,,9.807692307692308,,,10.353544494720964,,13.59230769230769,,,15.071945701357464,,25780.46153846154,,,27970.536199095022,,15.093846153846156,,,24.0,27.0,21.7,0.1,0.0,0.0,88.0,5.4,22.933333333333334,24.0,21.0,21.357142857142858,24.0,18.9,22.38,25.3,18.9,22.486666666666668,26.6,18.9,25.73333333333333,27.8,22.4,24.3,27.8,19.4,26.426666666666662,31.2,19.4,25.81,31.3,19.4,20.633333333333333,21.7,19.0,18.62857142857143,21.7,14.4,19.3,21.9,14.4,20.05333333333333,22.6,14.4,0.7000000000000006,2.0,0.0,1.8,10.4,0.0,3.1266666666666665,10.4,0.0,1.85,10.4,0.0,93.0,98.0,88.0,85.57142857142857,98.0,56.0,79.46666666666667,98.0,56.0,80.9,98.0,56.0,6.733333333333334,9.7,5.1,8.185714285714287,10.9,5.1,7.613333333333332,11.3,4.2,7.356666666666666,11.8,4.2,195.5,342.0,344.3,742.9,31.9,86.79999999999998,92.7,277.0,5.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,0,0,1,0
107/11/06,12.324117647058824,22.8,,,23.962745098039218,,14.95,,,15.839291101055808,,9.05,,,9.664328808446456,,13.75,,,14.298416289592758,,64033.375,,,40612.34747360483,,15.225,,,22.9,24.4,21.9,0.0,56.0,21.0,94.0,5.3,23.566666666666663,24.0,22.9,21.685714285714287,24.0,18.9,22.4,25.3,18.9,22.363333333333333,25.3,18.9,26.4,27.8,24.4,23.914285714285715,27.8,19.4,26.22666666666667,31.2,19.4,25.58,31.2,19.4,21.600000000000005,21.9,21.2,19.7,21.9,17.4,19.466666666666665,21.9,14.4,20.03333333333333,22.6,14.4,0.7000000000000006,2.0,0.0,0.3142857142857143,2.0,0.0,3.04,10.4,0.0,1.6733333333333331,10.4,0.0,91.66666666666669,94.0,88.0,91.0,98.0,75.0,80.86666666666666,98.0,56.0,81.96666666666667,98.0,56.0,5.266666666666667,5.4,5.1,7.5,10.9,5.1,7.686666666666667,11.3,4.7,7.140000000000001,11.3,4.2,80.89999999999998,398.0,400.3,798.8,29.5,107.79999999999998,113.7,297.29999999999995,2.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,1,0,0,0
107/11/07,11.712352941176473,19.552941176470583,,,21.91764705882353,,12.08235294117647,,,14.123604826546003,,6.823529411764706,,,8.560407239819005,,12.72941176470588,,,13.357239819004525,,41106.470588235294,,,43640.10237556561,,12.324117647058824,,,23.6,27.1,21.6,0.3,16.3,11.0,93.0,6.4,23.5,24.0,22.9,22.02857142857143,24.0,18.9,22.366666666666667,25.3,18.9,22.33,25.3,18.9,26.166666666666668,27.1,24.4,24.2,27.8,19.4,26.06,31.2,19.4,25.546666666666667,31.2,19.4,21.73333333333333,21.9,21.6,20.3,21.9,18.3,19.58,21.9,14.4,20.02,22.6,14.4,0.1333333333333339,0.3,0.0,0.3428571428571428,2.0,0.0,2.64,10.4,0.0,1.6833333333333331,10.4,0.0,91.66666666666669,94.0,88.0,93.57142857142856,98.0,88.0,81.93333333333334,98.0,56.0,82.7,98.0,56.0,5.7,6.4,5.3,7.0,10.9,5.1,7.680000000000001,11.3,4.7,7.113333333333333,11.3,4.2,72.29999999999997,390.50000000000006,415.6,807.8000000000001,32.0,111.89999999999998,123.0,305.2,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,2,0,0,0
107/11/08,10.16875,18.74705882352941,27.49375,,20.366666666666664,23.55288865546218,11.376470588235296,19.625,,12.802941176470588,15.60276341305753,6.4,12.9125,,7.424509803921569,9.463808985132514,12.347058823529412,14.58125,,12.942156862745096,14.089079670329667,38244.882352941175,24606.25,,47794.90931372549,35986.08379120879,11.712352941176473,19.379375,,25.3,29.0,23.0,6.4,0.1,1.0,89.0,5.3,23.933333333333334,25.3,22.9,22.785714285714285,25.3,18.9,22.46,25.3,18.9,22.363333333333333,25.3,18.9,26.83333333333333,29.0,24.4,25.3,29.0,19.4,26.113333333333337,31.2,19.4,25.58,31.2,19.4,22.166666666666668,23.0,21.6,20.971428571428568,23.0,18.4,19.666666666666668,23.0,14.4,20.05,23.0,14.4,2.233333333333334,6.4,0.0,1.2571428571428571,6.4,0.0,2.96,10.4,0.0,1.87,10.4,0.0,92.0,94.0,89.0,93.0,98.0,88.0,82.6,98.0,56.0,83.0,98.0,56.0,5.666666666666667,6.4,5.3,6.2,9.7,5.1,7.573333333333333,11.3,4.7,7.13,11.3,4.2,72.39999999999998,344.6,415.6,797.6,33.0,88.89999999999998,121.8,302.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/09,8.307647058823528,15.775,27.188235294117646,,18.025,21.87878151260504,10.2375,18.61764705882353,,11.232107843137255,14.261691984486102,5.54375,11.117647058823527,,6.255759803921568,8.411130413703942,10.23125,16.070588235294117,,11.76924019607843,13.4676510989011,44776.8125,26107.941176470587,,41376.055147058825,38867.59271978022,10.16875,18.33294117647059,,25.5,29.7,22.4,8.0,0.0,0.0,87.0,6.2,24.8,25.5,23.6,23.72857142857143,25.5,21.0,22.58,25.5,18.9,22.433333333333334,25.5,18.9,28.6,29.7,27.1,26.77142857142857,29.7,22.4,26.32,31.2,19.4,25.7,31.2,19.4,22.33333333333333,23.0,21.6,21.54285714285714,23.0,19.0,19.7,23.0,14.4,20.043333333333333,23.0,14.4,4.900000000000001,8.0,0.3,2.4,8.0,0.0,3.493333333333333,10.4,0.0,2.1333333333333333,10.4,0.0,89.66666666666667,93.0,87.0,91.71428571428572,98.0,87.0,83.06666666666666,98.0,56.0,83.0,98.0,56.0,5.966666666666668,6.4,5.3,6.200000000000001,9.7,5.1,7.673333333333333,11.3,5.1,7.070000000000001,11.3,4.2,16.399999999999974,267.9,415.6,622.0999999999999,12.0,64.89999999999998,121.8,281.79999999999995,7.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/10,7.091875,14.258823529411766,25.688235294117646,,16.26029411764706,20.03172268907563,8.011764705882353,17.22941176470588,,9.875245098039215,12.746565934065933,4.488235294117647,10.13529411764706,,5.477328431372548,7.464071590174531,9.770588235294118,15.552941176470586,,10.782965686274508,12.567651098901097,43606.05882352941,32023.20588235294,,42209.25122549019,41367.3238122172,8.307647058823528,17.125882352941176,,23.1,25.7,21.8,0.1,22.5,10.3,90.0,11.7,24.633333333333336,25.5,23.1,24.028571428571432,25.5,22.9,22.473333333333333,25.5,18.9,22.47,25.5,18.9,28.133333333333336,29.7,25.7,27.242857142857144,29.7,24.4,26.093333333333337,31.2,19.4,25.77333333333333,31.2,19.4,22.4,23.0,21.8,21.942857142857143,23.0,21.2,19.69333333333333,23.0,14.4,20.076666666666664,23.0,14.4,4.833333333333334,8.0,0.1,2.4142857142857146,8.0,0.0,3.373333333333333,10.4,0.0,2.1366666666666663,10.4,0.0,88.66666666666667,90.0,87.0,90.57142857142856,94.0,87.0,83.86666666666666,98.0,56.0,83.1,98.0,56.0,7.733333333333334,11.7,5.3,6.485714285714286,11.7,5.1,8.08,11.7,5.1,7.166666666666667,11.7,4.2,22.599999999999973,119.80000000000004,438.1,587.3,11.3,51.8,132.1,273.4,3.899999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
