日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
107/11/01,22.573636363636364,,,,,,,,,,,,,,,,,,,21.380000000000003,25.92,19.0,0.6,0.96,4.2,84.4,5.82,21.55333333333333,27.493333333333336,17.12,6.433333333333335,74.60000000000001,5.733333333333334,0.96,0.9600000000000004,4.2,4.2,6.920000000000002,0,0,0,0,0,1,1,11,-0.5000000000000004,0.8660254037844384,1,3,0,0,0
107/11/02,21.57,33.800000000000004,,,22.163636363636364,,,14.02727272727273,,,19.77272727272728,,,28189.49090909091,,,22.573636363636364,,,20.28,23.06,18.8,0.3,0.6,1.9,86.8,6.44,21.366666666666664,26.05333333333333,18.2,3.200000000000001,80.66666666666667,5.773333333333333,1.56,1.5600000000000005,6.1,6.1,4.259999999999998,0,0,0,0,0,1,2,11,-0.5000000000000004,0.8660254037844384,1,4,0,0,1
107/11/03,21.798181818181817,33.38181818181818,,,20.87272727272727,,,12.88181818181818,,,20.5,,,23824.12727272728,,,21.57,,,21.7,26.380000000000003,18.76,0.6,0.0,2.7,86.2,6.74,21.12,25.120000000000005,18.85333333333333,0.5000000000000012,85.8,6.333333333333333,1.56,1.5600000000000005,8.8,8.8,7.620000000000001,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,5,1,0,0
107/11/04,22.002222222222223,33.945454545454545,,,21.263636363636365,,,12.609090909090908,,,21.33636363636364,,,28378.14545454545,,,21.798181818181817,,,24.08,30.62,19.82,7.6,0.0,0.0,82.8,5.88,22.02,26.686666666666667,19.12666666666667,2.8333333333333344,85.26666666666667,6.353333333333333,0.6,1.5600000000000005,4.6,8.8,10.8,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,6,1,0,0
107/11/05,23.21,35.47777777777778,,,21.066666666666663,,,13.444444444444445,,,22.03333333333334,,,36548.88888888889,,,22.002222222222223,,,24.04,29.26,21.54,5.2,0.0,0.0,85.6,5.36,23.27333333333333,28.75333333333333,20.04,4.466666666666668,84.86666666666666,5.993333333333333,0.0,1.5600000000000005,2.7,8.8,7.720000000000002,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,0
107/11/06,22.6,36.65,,,23.75,,,12.65,,,24.0,,,9194.4,,,23.21,,,24.58,30.2,20.74,8.3,0.0,0.0,83.0,6.26,24.23333333333333,30.026666666666667,20.7,7.033333333333334,83.8,5.833333333333333,0.0,1.5600000000000005,0.0,8.8,9.46,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,1,0,0,0
107/11/07,22.685454545454544,35.0,,,22.063636363636363,,,13.872727272727271,,,21.127272727272725,,,54994.76363636364,,,22.6,,,24.74,29.7,21.62,5.7,0.0,0.0,84.0,4.359999999999999,24.45333333333333,29.72,21.3,6.400000000000001,84.2,5.326666666666667,0.0,1.5600000000000005,0.0,8.8,8.079999999999998,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,2,0,0,0
107/11/08,21.29272727272728,34.91818181818182,33.800000000000004,,22.009090909090908,22.163636363636364,,13.454545454545457,14.02727272727273,,21.46363636363637,19.77272727272728,,48728.92727272727,28189.49090909091,,22.685454545454544,22.573636363636364,,23.8,28.82,21.04,4.6,0.0,0.0,87.6,4.96,24.37333333333333,29.57333333333333,21.133333333333333,6.200000000000002,84.86666666666666,5.1933333333333325,0.0,0.6000000000000004,0.0,4.6,7.780000000000001,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,3,0,0,0
107/11/09,21.264,33.10909090909091,33.38181818181818,,20.75454545454545,20.87272727272727,,13.090909090909092,12.88181818181818,,20.018181818181816,20.5,,41783.92727272728,23824.12727272728,,21.29272727272728,21.57,,24.78,30.4,21.18,8.6,0.0,0.0,79.2,6.14,24.44,29.64,21.28,6.300000000000001,83.60000000000001,5.153333333333333,0.0,0.0,0.0,2.7,9.22,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,4,0,0,1
107/11/10,21.23,32.61,33.945454545454545,,20.630000000000003,21.263636363636365,,13.169999999999998,12.609090909090908,,19.44,21.33636363636364,,33590.62,28378.14545454545,,21.264,21.798181818181817,,23.96,30.02,20.36,7.9,0.0,0.0,81.6,6.14,24.180000000000003,29.746666666666663,20.86,7.033333333333334,82.8,5.746666666666666,0.0,0.0,0.0,0.0,9.66,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,5,1,0,0
