日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
107/11/01,31.051666666666662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.46666666666667,26.266666666666666,19.2,,0.0,,83.66666666666667,10.666666666666666,21.211111111111112,21.96666666666667,20.2,22.09047619047619,24.2,20.2,22.79555555555556,24.2,20.2,23.55444444444445,25.6,20.2,27.71111111111111,29.3,26.266666666666666,27.985714285714288,30.266666666666666,26.0,28.137777777777774,30.266666666666666,25.433333333333334,28.594444444444445,31.3,25.433333333333334,16.01111111111111,19.2,13.8,17.466666666666665,20.666666666666668,13.8,18.793333333333333,21.266666666666666,13.8,19.892222222222223,23.0,13.8,,,,,,,,,,,,,70.22222222222223,83.66666666666667,58.333333333333336,71.61904761904762,85.0,54.66666666666666,77.6,86.66666666666667,54.66666666666666,79.1,88.0,54.66666666666666,9.633333333333333,10.666666666666666,7.666666666666667,9.714285714285714,14.066666666666668,6.133333333333333,8.617777777777778,14.066666666666668,6.133333333333333,8.857777777777779,16.466666666666665,5.933333333333334,0.0,0.0,0.6666666666666666,0.8333333333333333,,,,,7.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/02,28.93,44.5,,,,,31.53333333333333,,,,,15.158333333333331,,,,,29.34166666666667,,,,,2983.4166666666665,,,,,31.051666666666662,,,20.066666666666663,21.96666666666667,18.73333333333333,,0.6666666666666666,,86.0,11.466666666666669,21.166666666666668,21.96666666666667,20.066666666666663,21.50952380952381,24.2,20.066666666666663,22.60666666666667,24.2,20.066666666666663,23.43,25.6,20.066666666666663,25.844444444444445,29.3,21.96666666666667,26.8,29.5,21.96666666666667,27.906666666666663,30.266666666666666,21.96666666666667,28.35111111111111,31.3,21.96666666666667,17.655555555555555,19.2,15.033333333333331,17.295238095238094,20.666666666666668,13.8,18.655555555555555,21.266666666666666,13.8,19.85,23.0,13.8,,,,,,,,,,,,,79.44444444444444,86.0,68.66666666666667,71.80952380952381,86.0,54.66666666666666,77.55555555555557,86.0,54.66666666666666,79.61111111111111,88.0,54.66666666666666,9.933333333333334,11.466666666666669,7.666666666666667,10.476190476190478,14.066666666666668,7.433333333333334,8.693333333333333,14.066666666666668,6.133333333333333,8.873333333333333,16.466666666666665,5.933333333333334,0.6666666666666666,0.6666666666666667,1.1666666666666663,1.5,,,,,3.233333333333338,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/03,29.35909090909091,42.875,,,,,29.21666666666667,,,,,14.258333333333333,,,,,28.616666666666667,,,,,3089.4166666666665,,,,,28.93,,,21.6,25.0,19.6,,0.1666666666666666,,91.66666666666669,8.033333333333333,21.044444444444444,21.6,20.066666666666663,21.13809523809524,22.4,20.066666666666663,22.47111111111111,24.2,20.066666666666663,23.354444444444447,25.6,20.066666666666663,24.41111111111111,26.266666666666666,21.96666666666667,26.15714285714285,29.3,21.96666666666667,27.83111111111111,30.266666666666666,21.96666666666667,28.20555555555556,31.3,21.96666666666667,19.177777777777777,19.6,18.73333333333333,17.142857142857142,19.6,13.8,18.586666666666662,21.266666666666666,13.8,19.85666666666667,23.0,13.8,,,,,,,,,,,,,87.11111111111113,91.66666666666669,83.66666666666667,72.76190476190476,91.66666666666669,54.66666666666666,78.40000000000002,91.66666666666669,54.66666666666666,80.42222222222222,91.66666666666669,54.66666666666666,10.055555555555555,11.466666666666669,8.033333333333333,10.561904761904762,14.066666666666668,7.666666666666667,8.804444444444444,14.066666666666668,6.133333333333333,8.708888888888888,16.466666666666665,5.933333333333334,0.8333333333333333,0.8333333333333333,1.3333333333333333,1.6666666666666663,,,,,5.399999999999999,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
107/11/04,28.843,43.77272727272727,,,43.71590909090909,,29.318181818181817,,,30.02272727272727,,16.036363636363635,,,15.1510101010101,,27.73636363636364,,,28.564898989898992,,3430.7272727272725,,,3167.853535353536,,29.35909090909091,,,23.6,29.2,19.466666666666665,,0.0,,88.66666666666667,8.233333333333333,21.75555555555556,23.6,20.066666666666663,21.309523809523814,23.6,20.066666666666663,22.493333333333336,24.2,20.066666666666663,23.365555555555552,25.6,20.066666666666663,25.38888888888889,29.2,21.96666666666667,26.471428571428568,29.3,21.96666666666667,27.84,30.266666666666666,21.96666666666667,28.287777777777777,31.3,21.96666666666667,19.266666666666666,19.6,18.73333333333333,17.428571428571427,19.6,13.8,18.582222222222224,21.266666666666666,13.8,19.80333333333333,23.0,13.8,,,,,,,,,,,,,88.77777777777779,91.66666666666669,86.0,75.95238095238096,91.66666666666669,54.66666666666666,78.95555555555555,91.66666666666669,54.66666666666666,80.8888888888889,91.66666666666669,54.66666666666666,9.244444444444444,11.466666666666669,8.033333333333333,9.728571428571428,11.466666666666669,7.666666666666667,8.804444444444444,14.066666666666668,6.133333333333333,8.434444444444445,14.066666666666668,5.933333333333334,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.6666666666666663,,,,,9.733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,6,1,0,0
107/11/05,36.2,42.27,,,42.97257575757576,,29.380000000000003,,,29.304949494949497,,14.720000000000002,,,15.00489898989899,,27.55,,,27.967676767676767,,2841.5,,,3120.54797979798,,28.843,,,24.166666666666668,29.2,21.6,,0.0,,87.66666666666667,7.166666666666667,23.122222222222224,24.166666666666668,21.6,21.866666666666667,24.166666666666668,20.066666666666663,22.59333333333333,24.2,20.066666666666663,23.367777777777786,25.6,20.066666666666663,27.8,29.2,25.0,26.928571428571427,29.3,21.96666666666667,27.871111111111112,30.266666666666666,21.96666666666667,28.317777777777778,31.3,21.96666666666667,20.22222222222222,21.6,19.466666666666665,18.204761904761902,21.6,13.8,18.757777777777772,21.6,13.8,19.854444444444443,23.0,13.8,,,,,,,,,,,,,89.33333333333333,91.66666666666669,87.66666666666667,80.66666666666667,91.66666666666669,58.333333333333336,79.4,91.66666666666669,54.66666666666666,81.42222222222222,91.66666666666669,54.66666666666666,7.811111111111111,8.233333333333333,7.166666666666667,9.114285714285714,11.466666666666669,7.166666666666667,8.786666666666667,14.066666666666668,6.133333333333333,8.323333333333332,14.066666666666668,5.933333333333334,0.1666666666666666,0.8333333333333333,0.8333333333333333,1.6666666666666663,,,,,7.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,0,0,1,0
107/11/06,30.19333333333333,50.0,,,45.34757575757576,,39.8,,,32.83272727272728,,20.0,,,16.918787878787878,,30.0,,,28.42878787878788,,12172.0,,,6148.075757575757,,36.2,,,24.1,29.4,20.433333333333334,,0.0,,88.33333333333333,6.466666666666666,23.95555555555556,24.166666666666668,23.6,22.423809523809524,24.166666666666668,20.066666666666663,22.657777777777778,24.2,20.066666666666663,23.32,25.6,20.066666666666663,29.266666666666666,29.4,29.2,27.190476190476183,29.4,21.96666666666667,27.83333333333333,30.266666666666666,21.96666666666667,28.27111111111111,31.3,21.96666666666667,20.5,21.6,19.466666666666665,19.152380952380952,21.6,15.033333333333331,18.886666666666663,21.6,13.8,19.82111111111111,23.0,13.8,,,,,,,,,,,,,88.22222222222223,88.66666666666667,87.66666666666667,84.95238095238096,91.66666666666669,68.66666666666667,79.93333333333334,91.66666666666669,54.66666666666666,81.73333333333333,91.66666666666669,54.66666666666666,7.288888888888889,8.233333333333333,6.466666666666666,8.528571428571428,11.466666666666669,6.466666666666666,8.735555555555555,14.066666666666668,6.133333333333333,8.325555555555557,14.066666666666668,5.933333333333334,0.0,0.8333333333333333,0.8333333333333333,1.6666666666666663,,,,,8.966666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,1,0,0,0
107/11/07,25.586666666666662,43.31666666666666,,,45.19555555555555,,30.816666666666663,,,33.33222222222222,,16.116666666666667,,,16.945555555555554,,27.2,,,28.25,,3670.8333333333335,,,6228.11111111111,,30.19333333333333,,,24.46666666666667,29.6,21.4,,0.0,,89.66666666666667,4.366666666666666,24.244444444444444,24.46666666666667,24.1,22.78095238095238,24.46666666666667,20.066666666666663,22.69333333333333,24.46666666666667,20.066666666666663,23.306666666666665,25.6,20.066666666666663,29.399999999999995,29.6,29.2,27.23333333333333,29.6,21.96666666666667,27.866666666666667,30.266666666666666,21.96666666666667,28.276666666666664,31.3,21.96666666666667,21.14444444444445,21.6,20.433333333333334,20.061904761904763,21.6,18.73333333333333,18.988888888888887,21.6,13.8,19.8,23.0,13.8,,,,,,,,,,,,,88.55555555555556,89.66666666666667,87.66666666666667,87.95238095238096,91.66666666666669,83.66666666666667,80.24444444444445,91.66666666666669,54.66666666666666,82.01111111111112,91.66666666666669,54.66666666666666,6.0,7.166666666666667,4.366666666666666,8.057142857142857,11.466666666666669,4.366666666666666,8.575555555555555,14.066666666666668,4.366666666666666,8.2,14.066666666666668,4.366666666666666,0.0,0.8333333333333333,0.8333333333333333,1.6666666666666663,,,,,8.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,2,0,0,0
107/11/08,24.154545454545453,40.73333333333333,44.5,,44.68333333333333,43.92396103896103,25.375,31.53333333333333,,31.99722222222222,30.77712121212121,10.633333333333333,15.158333333333331,,15.583333333333334,15.274718614718614,30.1,29.34166666666667,,29.1,28.649242424242427,3973.75,2983.4166666666665,,6605.527777777777,4594.520562770563,25.586666666666662,31.051666666666662,,23.866666666666664,28.366666666666664,21.266666666666666,,0.0,,91.33333333333331,5.466666666666666,24.14444444444445,24.46666666666667,23.866666666666664,23.123809523809523,24.46666666666667,20.066666666666663,22.677777777777774,24.46666666666667,20.066666666666663,23.266666666666666,25.6,20.066666666666663,29.12222222222222,29.6,28.366666666666664,27.53333333333333,29.6,21.96666666666667,27.844444444444445,30.266666666666666,21.96666666666667,28.196666666666665,31.3,21.96666666666667,21.03333333333333,21.4,20.433333333333334,20.357142857142858,21.6,18.73333333333333,18.988888888888887,21.6,13.8,19.808888888888887,23.0,13.8,,,,,,,,,,,,,89.77777777777777,91.33333333333331,88.33333333333333,89.04761904761904,91.66666666666669,86.0,80.62222222222222,91.66666666666669,54.66666666666666,82.24444444444445,91.66666666666669,54.66666666666666,5.433333333333333,6.466666666666666,4.366666666666666,7.314285714285715,11.466666666666669,4.366666666666666,8.4,14.066666666666668,4.366666666666666,8.115555555555556,14.066666666666668,4.366666666666666,0.0,0.8333333333333333,0.8333333333333333,1.6666666666666663,,,,,7.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/09,20.765833333333333,38.63636363636363,42.875,,40.89545454545454,43.0862987012987,23.80909090909091,29.21666666666667,,26.66691919191919,29.67365800865801,10.663636363636364,14.258333333333333,,12.47121212121212,14.632619047619048,27.97272727272727,28.616666666666667,,28.424242424242426,28.453679653679654,3763.818181818182,3089.4166666666665,,3802.800505050505,4706.006493506494,24.154545454545453,28.93,,24.53333333333333,30.0,21.23333333333333,,0.0,,86.0,4.5,24.28888888888889,24.53333333333333,23.866666666666664,23.761904761904763,24.53333333333333,21.6,22.73555555555556,24.53333333333333,20.066666666666663,23.235555555555557,25.6,20.066666666666663,29.322222222222223,30.0,28.366666666666664,28.68095238095238,30.0,25.0,27.90888888888889,30.266666666666666,21.96666666666667,28.195555555555558,31.3,21.96666666666667,21.3,21.4,21.23333333333333,20.714285714285715,21.6,19.466666666666665,19.066666666666663,21.6,13.8,19.793333333333333,23.0,13.8,,,,,,,,,,,,,89.0,91.33333333333331,86.0,89.04761904761904,91.66666666666669,86.0,80.7111111111111,91.66666666666669,54.66666666666666,82.26666666666667,91.66666666666669,54.66666666666666,4.777777777777778,5.466666666666666,4.366666666666666,6.319047619047619,8.233333333333333,4.366666666666666,8.246666666666666,14.066666666666668,4.366666666666666,8.053333333333335,14.066666666666668,4.366666666666666,0.0,0.1666666666666666,0.8333333333333333,1.6666666666666663,,,,,8.76666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/10,22.762727272727272,34.266666666666666,43.77272727272727,,37.87878787878788,41.8565367965368,20.766666666666666,29.318181818181817,,23.316919191919197,28.46651515151515,8.674999999999999,16.036363636363635,,9.990656565656565,13.835000000000004,25.59166666666667,27.73636363636364,,27.88813131313131,28.0215367965368,3943.6666666666665,3430.7272727272725,,3893.744949494949,4828.042207792208,20.765833333333333,29.35909090909091,,23.866666666666664,29.433333333333334,20.8,,0.0,,87.0,7.333333333333333,24.08888888888889,24.53333333333333,23.866666666666664,24.085714285714285,24.53333333333333,23.6,22.717777777777776,24.53333333333333,20.066666666666663,23.177777777777774,25.3,20.066666666666663,29.266666666666666,30.0,28.366666666666664,29.314285714285717,30.0,28.366666666666664,27.85333333333333,30.0,21.96666666666667,28.188888888888886,31.3,21.96666666666667,21.1,21.266666666666666,20.8,20.885714285714283,21.6,19.466666666666665,19.124444444444443,21.6,13.8,19.719999999999995,22.6,13.8,,,,,,,,,,,,,88.1111111111111,91.33333333333331,86.0,88.38095238095238,91.33333333333331,86.0,80.86666666666666,91.66666666666669,54.66666666666666,82.4,91.66666666666669,54.66666666666666,5.766666666666666,7.333333333333333,4.5,6.219047619047619,8.233333333333333,4.366666666666666,8.326666666666666,14.066666666666668,4.366666666666666,8.018888888888888,14.066666666666668,4.366666666666666,0.0,0.0,0.8333333333333333,1.6666666666666663,,,,,8.633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
