日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
107/11/01,43.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.475,26.225,19.125,,0.125,,82.75,10.1,21.241666666666664,22.0,20.25,22.089285714285715,24.2,20.2,22.796666666666667,24.2,20.2,23.56,25.6,20.2,27.60833333333333,29.1,26.225,27.910714285714285,30.175,25.95,28.10333333333333,30.175,25.775,28.54583333333333,31.2,25.3,16.2,19.125,14.125,17.607142857142858,20.875,14.125,18.868333333333336,21.325,14.125,19.953333333333333,23.0,14.125,,,,,,,,,,,,,70.25,82.75,59.5,71.53571428571429,84.0,55.25,77.08333333333333,85.75,55.25,78.325,87.0,55.25,9.266666666666667,10.425,7.275,9.525,13.575,6.375,8.515,13.575,6.375,8.721666666666666,16.675,6.1,0.125,0.125,0.75,0.875,,,,,7.100000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/02,47.39,61.17,,,,,43.760000000000005,,,,,27.18,,,,,33.99,,,,,1206.6,,,,,43.62,,,20.05,22.1,18.725,,0.625,,85.5,10.675,21.175,22.0,20.05,21.50357142857143,24.2,20.05,22.60666666666667,24.2,20.05,23.4325,25.6,20.05,25.808333333333334,29.1,22.1,26.75714285714286,29.375,22.1,27.85833333333333,30.175,22.1,28.308333333333334,31.2,22.1,17.733333333333334,19.125,15.35,17.425,20.875,14.125,18.736666666666668,21.325,14.125,19.905000000000005,23.0,14.125,,,,,,,,,,,,,78.91666666666667,85.5,68.5,71.78571428571429,85.5,55.25,77.06666666666666,85.5,55.25,78.83333333333333,87.0,55.25,9.35,10.675,7.275,10.139285714285714,13.575,7.275,8.553333333333333,13.575,6.375,8.7225,16.675,6.1,0.75,0.75,1.25,1.5,,,,,3.375,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/03,48.98,61.53,,,,,48.94,,,,,31.43,,,,,30.099999999999994,,,,,1138.3,,,,,47.39,,,21.55,25.0,19.5,,0.25,,90.5,7.8,21.025,21.55,20.05,21.125,22.35,20.05,22.46833333333333,24.2,20.05,23.356666666666666,25.6,20.05,24.441666666666663,26.225,22.1,26.13214285714286,29.1,22.1,27.75,30.175,22.1,28.155,31.2,22.1,19.116666666666667,19.5,18.725,17.228571428571428,19.5,14.125,18.668333333333333,21.325,14.125,19.90833333333333,23.0,14.125,,,,,,,,,,,,,86.25,90.5,82.75,72.71428571428571,90.5,55.25,77.86666666666666,90.5,55.25,79.63333333333334,90.5,55.25,9.525,10.675,7.8,10.153571428571428,13.575,7.275,8.638333333333334,13.575,6.375,8.560833333333333,16.675,6.1,1.0,1.0,1.5,1.75,,,,,5.5,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
107/11/04,46.96666666666667,69.66,,,64.12,,49.88,,,47.52666666666667,,29.880000000000003,,,29.49666666666667,,39.78,,,34.623333333333335,,1222.3,,,1189.0666666666666,,48.98,,,23.6,29.2,19.5,,0.0,,88.0,7.925,21.73333333333333,23.6,20.05,21.303571428571427,23.6,20.05,22.488333333333333,24.2,20.05,23.36833333333333,25.6,20.05,25.433333333333334,29.2,22.1,26.439285714285717,29.2,22.1,27.78166666666667,30.175,22.1,28.235833333333336,31.2,22.1,19.241666666666667,19.5,18.725,17.517857142857142,19.5,14.125,18.665,21.325,14.125,19.860000000000003,23.0,14.125,,,,,,,,,,,,,88.0,90.5,85.5,75.71428571428571,90.5,55.25,78.41666666666667,90.5,55.25,80.10833333333333,90.5,55.25,8.799999999999999,10.675,7.8,9.346428571428572,11.225,7.275,8.636666666666667,13.575,6.375,8.269166666666667,13.575,6.1,0.875,1.0,1.0,1.75,,,,,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,6,1,0,0
107/11/05,52.4,69.85555555555555,,,67.01518518518519,,46.84444444444445,,,48.55481481481482,,24.700000000000003,,,28.67,,45.15555555555555,,,38.34518518518518,,1285.6666666666667,,,1215.4222222222222,,46.96666666666667,,,24.15,29.2,21.65,,0.0,,86.75,7.075,23.1,24.15,21.55,21.86785714285714,24.15,20.05,22.58833333333333,24.2,20.05,23.37,25.6,20.05,27.8,29.2,25.0,26.90357142857143,29.2,22.1,27.82,30.175,22.1,28.27083333333333,31.2,22.1,20.216666666666665,21.65,19.5,18.28214285714285,21.65,14.125,18.841666666666665,21.65,14.125,19.90833333333333,23.0,14.125,,,,,,,,,,,,,88.41666666666667,90.5,86.75,80.21428571428571,90.5,59.5,78.85,90.5,55.25,80.64166666666667,90.5,55.25,7.6,7.925,7.075,8.753571428571428,10.675,7.075,8.606666666666666,13.575,6.375,8.169166666666666,13.575,6.1,0.25,1.0,1.0,1.75,,,,,7.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,0,0,1,0
107/11/06,45.77,69.9,,,69.80518518518518,,53.9,,,50.20814814814816,,30.0,,,28.19333333333334,,39.900000000000006,,,41.611851851851846,,5257.0,,,2588.322222222222,,52.4,,,24.125,29.4,20.5,,0.0,,87.25,6.575,23.95833333333333,24.15,23.6,22.42142857142857,24.15,20.05,22.65333333333333,24.2,20.05,23.3225,25.6,20.05,29.266666666666666,29.4,29.2,27.175,29.4,22.1,27.795,30.175,22.1,28.230833333333337,31.2,22.1,20.55,21.65,19.5,19.192857142857143,21.65,15.35,18.97,21.65,14.125,19.871666666666663,23.0,14.125,,,,,,,,,,,,,87.33333333333333,88.0,86.75,84.17857142857143,90.5,68.5,79.38333333333334,90.5,55.25,80.95833333333333,90.5,55.25,7.191666666666667,7.925,6.575,8.20357142857143,10.675,6.575,8.565,13.575,6.375,8.1725,13.575,6.1,0.0,1.0,1.0,1.75,,,,,8.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,1,0,0,0
107/11/07,42.7,67.39,,,69.04851851851852,,47.62,,,49.45481481481482,,23.29,,,25.99666666666667,,44.1,,,43.05185185185186,,1905.9,,,2816.1888888888884,,45.77,,,24.525,29.625,21.575,,0.0,,88.5,4.4,24.266666666666666,24.525,24.125,22.78214285714285,24.525,20.05,22.691666666666663,24.525,20.05,23.31,25.6,20.05,29.40833333333333,29.625,29.2,27.25,29.625,22.1,27.82333333333333,30.175,22.1,28.238333333333337,31.2,22.1,21.241666666666664,21.65,20.5,20.08214285714286,21.65,18.725,19.076666666666668,21.65,14.125,19.855833333333333,23.0,14.125,,,,,,,,,,,,,87.5,88.5,86.75,87.03571428571429,90.5,82.75,79.7,90.5,55.25,81.225,90.5,55.25,6.016666666666668,7.075,4.4,7.792857142857144,10.675,4.4,8.401666666666667,13.575,4.4,8.0525,13.575,4.4,0.0,1.0,1.0,1.75,,,,,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,2,0,0,0
107/11/08,44.12,62.42999999999999,61.17,,66.57333333333334,65.99079365079365,44.28,43.760000000000005,,48.6,47.88920634920635,23.31,27.18,,25.53333333333333,27.11285714285714,39.11999999999999,33.99,,41.04,38.87793650793651,1623.5,1206.6,,2928.8,1948.4666666666667,42.7,43.62,,23.85,28.25,21.275,,0.0,,90.5,5.45,24.166666666666668,24.525,23.85,23.12142857142857,24.525,20.05,22.676666666666662,24.525,20.05,23.269166666666663,25.6,20.05,29.091666666666665,29.625,28.25,27.539285714285715,29.625,22.1,27.798333333333336,30.175,22.1,28.1575,31.2,22.1,21.116666666666664,21.575,20.5,20.389285714285712,21.65,18.725,19.07333333333333,21.65,14.125,19.861666666666668,23.0,14.125,,,,,,,,,,,,,88.75,90.5,87.25,88.14285714285714,90.5,85.5,80.1,90.5,55.25,81.475,90.5,55.25,5.475000000000001,6.575,4.4,7.128571428571429,10.675,4.4,8.225,13.575,4.4,7.973333333333334,13.575,4.4,0.0,0.875,1.0,1.75,,,,,6.975000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/09,40.57,59.48,61.53,,63.1,65.74936507936508,44.96,48.94,,45.620000000000005,48.060634920634925,26.87,31.43,,24.49,27.068571428571428,32.61,30.099999999999994,,38.61,38.680793650793646,1562.7,1138.3,,1697.3666666666668,1999.3380952380955,44.12,47.39,,24.625,29.975,21.525,,0.0,,84.75,4.675,24.33333333333333,24.625,23.85,23.775,24.625,21.55,22.74,24.625,20.05,23.24,25.6,20.05,29.28333333333333,29.975,28.25,28.66428571428571,29.975,25.0,27.875,30.175,22.1,28.161666666666665,31.2,22.1,21.45833333333333,21.575,21.275,20.789285714285715,21.65,19.5,19.166666666666668,21.65,14.125,19.85333333333333,23.0,14.125,,,,,,,,,,,,,87.91666666666667,90.5,84.75,88.03571428571429,90.5,84.75,80.16666666666667,90.5,55.25,81.49166666666666,90.5,55.25,4.841666666666668,5.45,4.4,6.271428571428571,7.925,4.4,8.083333333333334,13.575,4.4,7.918333333333333,13.575,4.4,0.0,0.25,1.0,1.75,,,,,8.450000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/10,45.62222222222223,59.32000000000001,69.66,,60.41,65.4336507936508,41.35,49.88,,43.53,46.976349206349205,21.06,29.880000000000003,,23.746666666666663,25.587142857142855,38.260000000000005,39.78,,36.66333333333333,39.84650793650793,1662.5,1222.3,,1616.2333333333331,2074.223809523809,40.57,48.98,,23.85,29.5,20.8,,0.0,,86.0,7.324999999999999,24.10833333333333,24.625,23.85,24.103571428571428,24.625,23.6,22.72,24.625,20.05,23.18166666666667,25.325,20.05,29.24166666666667,29.975,28.25,29.307142857142853,29.975,28.25,27.83,29.975,22.1,28.159166666666668,31.2,22.1,21.2,21.525,20.8,20.975,21.65,19.5,19.219999999999995,21.65,14.125,19.78,22.55,14.125,,,,,,,,,,,,,87.08333333333333,90.5,84.75,87.39285714285714,90.5,84.75,80.31666666666666,90.5,55.25,81.625,90.5,55.25,5.816666666666667,7.324999999999999,4.675,6.203571428571428,7.925,4.4,8.146666666666667,13.575,4.4,7.889166666666667,13.575,4.4,0.0,0.0,1.0,1.75,,,,,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
