日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
111/11/01,31.114285714285717,40.92142857142857,31.0,23.0,1345.7857142857142,17.92142857142857
111/11/02,31.361538461538462,41.16153846153846,31.423076923076923,22.684615384615384,1175.3076923076924,18.47692307692308
111/11/03,29.76153846153846,39.215384615384615,29.553846153846152,21.715384615384615,1153.076923076923,17.5
111/11/04,27.715384615384615,39.607692307692304,27.66923076923077,18.0,1286.5384615384614,21.607692307692304
111/11/05,29.715384615384615,38.746153846153845,29.53846153846154,22.423076923076923,1009.3076923076923,16.323076923076922
111/11/06,34.97,44.92,34.339999999999996,27.130000000000003,639.4,17.79
111/11/07,32.05,45.0,33.0,20.0,3147.5,25.0
111/11/08,34.292857142857144,45.535714285714285,34.364285714285714,23.07857142857143,938.9285714285714,22.457142857142856
111/11/09,37.31818181818182,48.60909090909092,38.018181818181816,23.863636363636363,1076.0,24.745454545454553
111/11/10,35.019999999999996,47.38,34.8,24.04,1130.5,23.340000000000003
111/11/11,30.99090909090909,45.5,31.218181818181815,18.963636363636365,971.6363636363636,26.536363636363635
111/11/12,29.942857142857143,41.17857142857143,30.178571428571427,20.264285714285712,978.7142857142857,20.914285714285718
111/11/13,25.900000000000002,38.4,26.183333333333334,11.833333333333334,761.8333333333334,26.566666666666663
111/11/14,32.85,46.25,34.65,20.0,3055.0,26.25
111/11/15,26.457142857142856,37.271428571428565,26.77857142857143,14.950000000000001,1108.0714285714287,22.321428571428562
111/11/16,25.835714285714285,37.771428571428565,25.321428571428573,15.785714285714286,1214.357142857143,21.98571428571428
111/11/17,24.933333333333334,34.233333333333334,25.45,14.6,1738.1666666666667,19.633333333333333
111/11/18,22.00769230769231,36.05384615384615,20.984615384615385,10.546153846153846,1403.2307692307693,25.507692307692306
111/11/19,23.323076923076922,37.86153846153846,22.299999999999997,11.307692307692308,1083.6153846153845,26.553846153846152
111/11/20,24.608333333333334,37.59166666666666,23.549999999999997,13.566666666666668,692.5833333333334,24.02499999999999
111/11/21,26.9,38.0,26.1,17.5,3068.0,20.5
111/11/22,25.12142857142857,36.628571428571426,24.8,14.285714285714286,1132.4285714285713,22.34285714285714
111/11/23,25.115384615384617,35.03846153846154,24.907692307692308,15.423076923076923,1281.8461538461538,19.615384615384617
111/11/24,22.057142857142857,32.09285714285714,21.5,13.957142857142857,2366.4285714285716,18.135714285714286
111/11/25,21.676923076923078,32.80769230769231,20.907692307692308,12.915384615384616,1198.0,19.89230769230769
111/11/26,23.984615384615385,37.13076923076923,23.346153846153847,12.5,1103.6153846153845,24.630769230769232
111/11/27,25.308333333333334,39.78333333333333,23.808333333333334,14.741666666666667,633.5833333333334,25.041666666666664
111/11/28,28.25,40.0,27.8,17.5,3173.0,22.5
111/11/29,27.67142857142857,42.16428571428571,26.92142857142857,16.092857142857145,1052.2142857142858,26.071428571428566
111/11/30,27.33076923076923,40.15384615384615,26.215384615384615,18.33076923076923,1147.923076923077,21.823076923076922
111/12/01,29.50769230769231,45.05384615384616,27.73846153846154,19.1,1094.3846153846155,25.953846153846158
111/12/02,29.638461538461538,44.94615384615384,28.646153846153844,17.215384615384615,1158.076923076923,27.730769230769226
111/12/03,30.615384615384617,43.37692307692308,29.6,22.207692307692305,1159.7692307692307,21.169230769230772
111/12/04,34.56666666666667,44.958333333333336,34.85,24.3,705.5833333333334,20.658333333333335
111/12/05,28.05,40.0,27.65,17.5,3551.5,22.5
111/12/06,33.96923076923077,42.4076923076923,34.56153846153846,25.753846153846155,1331.3846153846155,16.653846153846146
111/12/07,33.5,43.925000000000004,33.06666666666667,24.391666666666666,939.6666666666666,19.53333333333334
111/12/08,35.55833333333333,49.46666666666667,34.15833333333333,25.708333333333332,1075.5833333333333,23.758333333333336
111/12/09,36.73846153846154,53.784615384615385,35.09230769230769,24.96153846153846,1049.6923076923076,28.823076923076925
111/12/10,39.15833333333333,55.85,37.35,28.375,1135.1666666666667,27.475
111/12/11,40.23636363636364,57.03636363636363,38.39090909090909,29.327272727272728,656.0909090909091,27.709090909090904
111/12/12,30.65,41.7,31.35,20.0,3270.0,21.700000000000003
111/12/13,44.33076923076923,57.48461538461538,43.4076923076923,35.26153846153846,847.0,22.223076923076924
111/12/14,49.68,64.77000000000001,48.35,37.64,1024.9,27.13000000000001
111/12/15,44.300000000000004,56.48333333333333,44.31666666666666,32.166666666666664,1186.3333333333333,24.316666666666663
111/12/16,54.90833333333333,64.58333333333333,55.666666666666664,43.24166666666667,846.6666666666666,21.34166666666666
111/12/17,59.75,71.92,59.8,47.480000000000004,811.5,24.439999999999998
111/12/18,58.75,68.5,59.14,47.209999999999994,439.1,21.290000000000006
111/12/19,47.05,65.0,47.05,30.0,2189.0,35.0
111/12/20,59.42307692307692,77.0,58.69230769230769,43.93846153846154,690.3076923076923,33.06153846153846
111/12/21,57.81666666666666,74.91666666666667,56.708333333333336,43.15,712.25,31.766666666666673
111/12/22,52.16923076923077,72.11538461538461,50.276923076923076,36.892307692307696,866.8461538461538,35.22307692307692
111/12/23,49.96153846153846,69.42307692307692,48.95384615384615,34.246153846153845,806.4615384615385,35.176923076923075
111/12/24,43.54615384615385,59.0923076923077,42.70769230769231,30.015384615384615,1620.076923076923,29.076923076923084
111/12/25,44.1,62.425000000000004,43.5,28.116666666666664,641.8333333333334,34.30833333333334
111/12/26,43.4,57.5,43.85,27.5,2801.5,30.0
111/12/27,45.06923076923077,62.03076923076923,44.57692307692308,30.23076923076923,892.0769230769231,31.8
111/12/28,47.50833333333333,64.79166666666667,47.01666666666667,33.233333333333334,982.25,31.558333333333337
111/12/29,49.43846153846154,66.58461538461539,48.684615384615384,34.50769230769231,751.6923076923077,32.07692307692308
111/12/30,45.82307692307692,61.49230769230769,45.93076923076923,32.00769230769231,1051.5384615384614,29.48461538461538
111/12/31,46.71666666666667,60.21666666666667,46.199999999999996,33.65833333333333,1093.6666666666667,26.558333333333337
112/01/01,39.81666666666667,53.99166666666667,40.55833333333333,25.724999999999998,782.5833333333334,28.26666666666667
112/01/02,41.2,55.0,43.25,25.0,2790.0,30.0
112/01/03,38.90769230769231,50.55384615384616,39.02307692307692,28.092307692307692,1275.5384615384614,22.461538461538467
112/01/04,33.32857142857143,45.9,33.135714285714286,21.592857142857145,1115.357142857143,24.307142857142853
112/01/05,24.515384615384615,38.62307692307692,23.95384615384615,15.03076923076923,1592.8461538461538,23.592307692307692
112/01/06,23.849999999999998,32.57857142857143,24.42142857142857,15.578571428571427,1475.5,17.0
112/01/07,23.715384615384615,33.23076923076923,24.069230769230767,15.553846153846154,1498.2307692307693,17.67692307692308
112/01/08,22.083333333333332,30.583333333333332,22.46666666666667,15.058333333333332,891.3333333333334,15.525
112/01/09,23.733333333333334,29.599999999999998,23.7,17.0,2443.3333333333335,12.599999999999998
112/01/10,26.53076923076923,33.93076923076923,26.838461538461537,19.5,1085.0,14.43076923076923
112/01/11,26.815384615384612,34.1,26.93846153846154,19.946153846153848,1088.8461538461538,14.153846153846153
112/01/12,24.27692307692308,32.06923076923077,24.846153846153847,15.946153846153846,1209.1538461538462,16.123076923076923
112/01/13,22.6,33.42307692307692,22.715384615384615,13.407692307692308,1372.076923076923,20.015384615384612
112/01/14,22.253846153846155,34.246153846153845,21.707692307692305,14.46923076923077,1201.923076923077,19.776923076923076
112/01/15,24.3,35.06363636363636,24.327272727272728,14.372727272727273,659.0909090909091,20.690909090909088
112/01/16,24.6,34.25,25.4,15.0,3673.5,19.25
112/01/17,22.23076923076923,33.707692307692305,21.346153846153847,14.353846153846153,1450.5384615384614,19.353846153846153
112/01/18,23.823076923076922,34.184615384615384,23.515384615384615,14.953846153846154,1404.6153846153845,19.23076923076923
112/01/19,23.041666666666668,34.7,22.266666666666666,14.225,1775.1666666666667,20.475
112/01/20,24.0,35.375,23.21666666666667,14.933333333333332,1781.0833333333333,20.44166666666667
112/01/21,16.358333333333334,27.38333333333333,15.108333333333334,8.083333333333334,947.1666666666666,19.299999999999997
112/01/23,24.0,35.0,23.3,15.0,200.0,20.0
112/01/24,25.3,37.3,25.0,17.5,200.0,19.799999999999997
112/01/25,24.8,35.0,23.8,17.5,200.0,17.5
112/01/26,25.85,35.35,25.05,17.5,3301.0,17.85
112/01/27,19.058333333333334,31.3,17.808333333333334,10.975,1368.8333333333333,20.325000000000003
112/01/28,21.485714285714288,30.22142857142857,21.228571428571428,14.185714285714285,1448.7142857142858,16.035714285714285
112/01/29,20.641666666666666,29.974999999999998,20.591666666666665,12.033333333333333,1649.75,17.941666666666663
112/01/30,26.1,36.05,25.450000000000003,17.5,3708.5,18.549999999999997
112/01/31,28.472727272727273,36.91818181818182,28.60909090909091,20.672727272727272,1126.8181818181818,16.24545454545455
