日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
111/11/01,28.64916666666667,45.53333333333333,28.558333333333334,18.099999999999998,20886.600000000002,27.433333333333334
111/11/02,28.495,44.666666666666664,28.3,17.900000000000002,14517.958333333334,26.766666666666662
111/11/03,28.805000000000003,45.36666666666667,28.474999999999998,17.833333333333332,18314.125,27.533333333333335
111/11/04,28.4725,44.49166666666667,28.116666666666664,18.150000000000002,22420.016666666666,26.341666666666665
111/11/05,28.709999999999997,46.4,28.425,18.066666666666666,27458.108333333334,28.333333333333332
111/11/06,30.281818181818185,49.027272727272724,29.49090909090909,18.827272727272728,30776.072727272727,30.199999999999996
111/11/07,29.88,52.1,29.55,18.4,5655.3,33.7
111/11/08,30.22666666666667,47.31666666666666,29.833333333333332,18.95,35996.4,28.366666666666664
111/11/09,29.029090909090908,47.1,28.272727272727273,17.69090909090909,18726.263636363637,29.40909090909091
111/11/10,27.61,46.48333333333333,26.7,17.041666666666668,17893.649999999998,29.44166666666666
111/11/11,29.365,48.09166666666667,28.650000000000002,17.816666666666666,22871.600000000002,30.275000000000002
111/11/12,29.63,47.25833333333333,29.28333333333333,18.125,26665.600000000002,29.133333333333333
111/11/13,28.245454545454546,43.10909090909091,28.463636363636365,17.3,23377.145454545454,25.80909090909091
111/11/14,27.53,47.5,27.35,16.5,6739.3,31.0
111/11/15,28.375833333333333,44.36666666666667,28.008333333333336,17.508333333333333,33529.674999999996,26.858333333333334
111/11/16,28.469166666666666,43.975,27.916666666666668,18.175,25182.458333333332,25.8
111/11/17,24.735,42.85,25.650000000000002,15.216666666666667,10475.85,27.633333333333333
111/11/18,28.871666666666666,45.25,28.46666666666667,16.599999999999998,34771.316666666666,28.650000000000002
111/11/19,28.159166666666668,94.20833333333333,27.59166666666667,15.808333333333332,29908.691666666666,78.39999999999999
111/11/20,29.063636363636363,44.85454545454545,28.9,16.963636363636365,29339.79090909091,27.890909090909087
111/11/21,27.985,46.3,28.1,13.2,5400.1,33.099999999999994
111/11/22,29.852500000000003,45.4,29.766666666666666,18.566666666666666,43204.933333333334,26.833333333333332
111/11/23,29.165000000000003,45.00833333333333,29.09166666666667,17.708333333333332,37915.025,27.3
111/11/24,29.104166666666668,43.85833333333333,29.150000000000002,17.441666666666666,28972.341666666664,26.41666666666666
111/11/25,27.654545454545453,44.22727272727273,27.19090909090909,17.063636363636363,20776.754545454543,27.163636363636364
111/11/26,28.44545454545454,46.445454545454545,27.854545454545452,17.163636363636364,21378.772727272728,29.28181818181818
111/11/27,29.454545454545453,46.49090909090909,29.018181818181816,16.918181818181818,17458.427272727273,29.572727272727274
111/11/28,26.009999999999998,45.5,26.7,11.55,8741.7,33.95
111/11/29,29.02,44.208333333333336,28.583333333333332,17.216666666666665,35518.075000000004,26.99166666666667
111/11/30,29.349999999999998,44.46666666666667,28.8,17.383333333333333,27062.658333333336,27.083333333333336
111/12/01,28.588333333333335,44.34166666666667,28.025000000000002,16.866666666666667,26840.45,27.475
111/12/02,28.425,236.85,28.03333333333333,17.483333333333334,24571.291666666668,219.36666666666667
111/12/03,28.659999999999997,45.475,28.108333333333334,17.625,26977.5,27.85
111/12/04,29.20909090909091,45.945454545454545,28.772727272727273,16.754545454545454,28436.945454545457,29.19090909090909
111/12/05,31.915,51.45,32.05,17.2,3364.0,34.25
111/12/06,30.528333333333332,49.03333333333333,30.166666666666668,18.108333333333334,40419.933333333334,30.924999999999997
111/12/07,30.668333333333333,49.324999999999996,30.0,17.525000000000002,35082.6,31.799999999999994
111/12/08,30.420833333333334,47.01666666666667,29.61666666666667,16.675,30137.74166666667,30.341666666666672
111/12/09,29.895454545454548,45.4,29.40909090909091,18.30909090909091,26154.20909090909,27.09090909090909
111/12/10,28.036363636363635,45.93636363636364,27.481818181818184,17.5,25065.727272727272,28.436363636363637
111/12/11,28.4,45.199999999999996,28.49090909090909,17.072727272727274,21706.890909090907,28.12727272727272
111/12/12,35.21,55.5,35.6,16.75,11799.1,38.75
111/12/13,28.756666666666664,45.93333333333334,27.775000000000002,15.549999999999999,31008.649999999998,30.38333333333334
111/12/14,28.96166666666667,46.050000000000004,28.441666666666666,16.308333333333334,24624.74166666667,29.74166666666667
111/12/15,25.540000000000003,44.56666666666666,25.849999999999998,16.966666666666665,8482.65,27.599999999999998
111/12/16,27.995833333333334,45.69166666666666,27.766666666666666,15.883333333333333,28310.375,29.80833333333333
111/12/17,29.820000000000004,46.550000000000004,29.441666666666666,17.5,20428.091666666667,29.050000000000004
111/12/18,31.318181818181817,46.4,30.845454545454547,18.181818181818183,13690.109090909093,28.218181818181815
111/12/19,30.0,55.0,30.0,16.0,3500.0,39.0
111/12/20,31.085833333333337,50.43333333333334,30.283333333333335,17.483333333333334,25757.149999999998,32.95
111/12/21,32.205,51.00833333333333,31.358333333333334,18.833333333333332,22740.166666666668,32.175
111/12/22,32.9,50.68333333333334,32.449999999999996,19.183333333333334,22037.841666666664,31.500000000000004
111/12/23,34.34916666666667,51.99166666666667,34.125,19.208333333333332,17904.183333333334,32.78333333333333
111/12/24,33.11727272727273,51.554545454545455,32.845454545454544,20.345454545454547,17644.763636363637,31.209090909090907
111/12/25,33.163636363636364,50.51818181818182,33.71818181818182,18.900000000000002,14646.327272727272,31.61818181818182
111/12/26,39.085,55.8,38.2,22.1,2446.2,33.699999999999996
111/12/27,32.964999999999996,50.36666666666667,32.791666666666664,19.591666666666665,21209.733333333334,30.775000000000002
111/12/28,33.69833333333333,51.85,33.641666666666666,19.658333333333335,13293.383333333333,32.19166666666666
111/12/29,34.87833333333334,51.00833333333333,34.583333333333336,20.433333333333334,12704.366666666667,30.575
111/12/30,33.565,50.53333333333333,33.18333333333333,20.375,13143.375,30.15833333333333
111/12/31,31.527272727272727,48.49090909090909,31.436363636363637,18.327272727272728,13732.727272727272,30.163636363636364
112/01/01,30.00909090909091,48.75454545454545,29.7,18.70909090909091,13661.181818181818,30.04545454545454
112/01/02,37.39,56.55,37.45,24.65,1796.6,31.9
112/01/03,32.884166666666665,48.449999999999996,33.00833333333333,20.658333333333335,31100.68333333333,27.79166666666666
112/01/04,33.049166666666665,48.64166666666667,32.641666666666666,20.708333333333332,13913.933333333334,27.93333333333334
112/01/05,32.887499999999996,47.9,32.708333333333336,22.133333333333336,18513.466666666667,25.766666666666662
112/01/06,31.995833333333334,47.76666666666667,31.974999999999998,21.091666666666665,17614.850000000002,26.675000000000008
112/01/07,30.372727272727275,46.60909090909092,30.436363636363637,19.71818181818182,13565.890909090907,26.890909090909098
112/01/08,31.763636363636362,49.1,32.22727272727273,19.545454545454547,7690.436363636364,29.554545454545455
112/01/09,38.64,61.5,39.1,24.65,7593.9,36.85
112/01/10,32.38636363636363,50.054545454545455,32.14545454545455,20.400000000000002,14999.29090909091,29.654545454545453
112/01/11,29.953636363636363,49.56363636363637,29.572727272727274,18.772727272727273,8353.354545454546,30.790909090909096
112/01/12,34.28818181818182,50.35454545454545,34.88181818181818,22.654545454545453,7852.9,27.7
112/01/13,30.744444444444444,51.18888888888889,30.055555555555557,16.38888888888889,8008.666666666667,34.8
112/01/14,31.718181818181815,46.28181818181818,32.21818181818182,22.145454545454545,6980.118181818182,24.136363636363637
112/01/15,27.99,46.04,27.919999999999998,18.8,5373.219999999999,27.24
112/01/16,26.04,51.65,25.7,16.1,2819.0,35.55
112/01/17,30.504545454545454,49.17272727272727,30.60909090909091,18.527272727272727,7413.881818181818,30.645454545454545
112/01/18,33.301818181818184,49.4,34.03636363636363,19.272727272727273,5634.818181818182,30.127272727272725
112/01/19,30.782,48.04,30.089999999999996,18.740000000000002,5748.87,29.299999999999997
112/01/20,33.06090909090909,50.33636363636364,32.77272727272727,21.772727272727273,4898.809090909091,28.56363636363637
112/01/21,40.98888888888889,53.65555555555555,41.75555555555556,29.166666666666668,2665.0,24.488888888888884
112/01/27,39.4,54.375,39.0,28.05,2875.475,26.325
112/01/28,33.325,49.5375,33.55,21.675,3027.375,27.8625
112/01/29,34.266666666666666,51.71111111111111,34.47777777777778,21.62222222222222,2548.5555555555557,30.08888888888889
112/01/30,40.0,65.0,40.0,18.0,2000.0,47.0
