日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
113/11/03,184.55,212.5,184.1,157.95,9.5,54.55000000000001
113/11/05,200.0,200.0,200.0,200.0,8.0,0.0
113/11/06,235.0,290.0,231.7,190.0,6.0,100.0
113/11/07,202.0,250.0,193.3,180.0,5.0,70.0
113/11/09,159.5,178.6,158.4,143.55,17.5,35.04999999999998
113/11/10,245.4,299.2,242.6,200.0,12.0,99.19999999999999
113/11/12,200.0,200.0,200.0,200.0,42.0,0.0
113/11/13,216.20000000000002,263.3333333333333,207.5666666666667,195.0,15.0,68.33333333333331
113/11/14,232.8,330.0,239.6,115.0,9.0,215.0
113/11/15,250.0,250.0,250.0,250.0,5.25,0.0
113/11/16,195.86666666666667,212.16666666666666,195.73333333333335,180.0,20.333333333333332,32.16666666666666
113/11/17,197.85,250.3,193.25,159.2,20.0,91.10000000000002
113/11/19,223.2125,242.5,224.85,199.05,29.75,43.44999999999999
113/11/20,188.44,223.74,182.14000000000001,172.0,11.2,51.74000000000001
113/11/21,159.61,186.0,158.7,140.0,1018.0,46.0
113/11/22,265.0,276.0,267.0,248.0,28.9,28.0
113/11/23,237.18,281.35,232.425,207.35,47.5,74.00000000000003
113/11/24,200.315,225.0,197.0,175.0,47.0,50.0
113/11/26,218.89000000000001,254.01999999999998,214.98000000000002,180.62,120.1,73.39999999999998
113/11/27,235.9375,288.95,238.3,168.35,94.75,120.6
113/11/28,255.95999999999998,283.24,260.88,200.26,56.0,82.98000000000002
113/11/29,250.23333333333335,292.0833333333333,254.6833333333333,202.91666666666666,55.666666666666664,89.16666666666666
113/11/30,264.86,314.36,270.28000000000003,192.0,87.2,122.36000000000001
113/12/01,314.34000000000003,391.35,321.325,213.275,128.25,178.07500000000002
113/12/03,296.05,357.5,299.09999999999997,221.85,158.0,135.65
113/12/04,321.904,403.34000000000003,329.7,212.68,169.0,190.66000000000003
113/12/05,337.394,411.91999999999996,339.41999999999996,245.84,197.6,166.07999999999996
113/12/06,325.1,408.2,316.625,219.3,246.5,188.89999999999998
113/12/07,312.79,404.68,307.04,211.56,345.4,193.12
113/12/08,283.0,345.68333333333334,283.25,206.61666666666667,323.75,139.06666666666666
113/12/10,248.38333333333333,320.8666666666666,244.5,180.63333333333333,348.5833333333333,140.2333333333333
113/12/11,213.75,288.625,213.025,137.425,677.125,151.2
113/12/12,219.47500000000002,306.425,214.85,124.65,327.375,181.775
113/12/13,251.4366666666667,332.56666666666666,244.5,177.8166666666667,268.5833333333333,154.74999999999997
113/12/14,245.76000000000005,334.7,242.58,166.16,592.1,168.54
