日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
112/11/01,54.17857142857143,67.48571428571428,54.75,37.58571428571429,2195.4285714285716,29.89999999999999
112/11/02,48.913333333333334,59.906666666666666,49.56666666666667,34.2,1930.6,25.706666666666663
112/11/03,46.361538461538466,58.01538461538462,46.646153846153844,34.184615384615384,2275.230769230769,23.830769230769235
112/11/04,47.266666666666666,58.32666666666667,47.36666666666667,35.56666666666667,2098.8,22.759999999999998
112/11/05,45.315384615384616,56.91538461538461,45.65384615384615,32.823076923076925,1915.3846153846155,24.092307692307685
112/11/06,62.15,82.9,64.5,40.0,4449.5,42.900000000000006
112/11/07,47.00714285714286,59.73571428571428,46.80714285714286,35.7,2436.285714285714,24.035714285714278
112/11/08,45.885714285714286,58.542857142857144,46.25,33.392857142857146,2339.9285714285716,25.15
112/11/09,41.23571428571428,54.82857142857143,41.17142857142857,28.207142857142856,2296.1285714285714,26.621428571428574
112/11/10,40.464285714285715,56.449999999999996,40.90714285714286,26.342857142857145,2329.1428571428573,30.10714285714285
112/11/11,38.838461538461544,51.792307692307695,39.58461538461539,23.930769230769233,2530.7846153846153,27.861538461538462
112/11/12,38.39166666666667,51.76666666666667,38.449999999999996,25.633333333333336,1989.5,26.133333333333336
112/11/13,50.9,70.0,51.45,30.0,5308.5,40.0
112/11/14,43.642857142857146,56.93571428571429,43.42142857142857,30.650000000000002,2643.3571428571427,26.28571428571429
112/11/15,41.49285714285714,54.23571428571428,40.957142857142856,29.271428571428572,2664.9857142857145,24.964285714285708
112/11/16,48.42,62.52,48.660000000000004,33.980000000000004,2685.4,28.54
112/11/17,40.65,55.25714285714286,41.15714285714286,24.657142857142855,2765.6428571428573,30.600000000000005
112/11/18,41.021428571428565,53.75,40.957142857142856,28.785714285714285,2714.3571428571427,24.964285714285715
112/11/19,43.50769230769231,54.599999999999994,43.52307692307692,31.5,1689.3846153846155,23.099999999999994
112/11/20,47.35,66.65,46.65,30.0,5366.5,36.650000000000006
112/11/21,46.83571428571429,59.25714285714286,46.478571428571435,35.02142857142857,2099.5,24.235714285714288
112/11/22,44.75714285714286,59.08571428571429,43.82142857142857,32.778571428571425,2442.3571428571427,26.307142857142864
112/11/23,46.542857142857144,59.15714285714286,45.99285714285714,35.72857142857143,2090.3571428571427,23.42857142857143
112/11/24,47.58571428571429,59.74285714285714,46.949999999999996,37.25714285714286,2088.3571428571427,22.48571428571428
112/11/25,47.824999999999996,61.975,46.975,35.800000000000004,2418.8333333333335,26.174999999999997
112/11/26,43.050000000000004,53.18333333333334,42.699999999999996,34.68333333333333,1766.1666666666667,18.500000000000007
112/11/27,47.45,66.7,46.8,30.0,4970.0,36.7
