日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
111/11/01,73.28181818181818,93.31818181818181,72.92727272727274,54.60909090909092,1376.8181818181818,38.7090909090909
111/11/02,69.78181818181818,88.45454545454545,70.28181818181818,50.63636363636363,1158.0,37.81818181818182
111/11/03,67.93636363636364,86.66363636363636,69.35454545454546,44.82727272727272,1038.6363636363637,41.836363636363636
111/11/04,64.57272727272726,81.35454545454546,66.58181818181818,42.127272727272725,1129.8181818181818,39.227272727272734
111/11/05,73.72,94.94,74.72999999999999,50.79,1084.2,44.15
111/11/06,83.58,105.89000000000001,84.03,59.7,967.1,46.19000000000001
111/11/07,76.0,100.0,80.0,40.0,3840.0,60.0
111/11/08,77.78181818181818,101.68181818181819,80.15454545454546,46.13636363636363,1368.0,55.545454545454554
111/11/09,75.21818181818182,100.05454545454545,76.41818181818182,48.61818181818182,1127.0,51.43636363636363
111/11/10,54.56363636363637,82.5909090909091,54.25454545454545,30.8,1423.7272727272727,51.790909090909096
111/11/11,42.800000000000004,66.67272727272727,42.6,20.154545454545453,1618.6363636363637,46.518181818181816
111/11/12,39.78181818181818,63.43636363636363,39.018181818181816,21.681818181818183,2006.5454545454545,41.75454545454545
111/11/13,31.22222222222222,52.34444444444445,29.555555555555557,16.37777777777778,2339.222222222222,35.96666666666667
111/11/14,43.0,60.0,44.9,20.0,6313.0,40.0
111/11/15,31.03333333333333,50.24166666666667,30.425,14.466666666666667,2204.5,35.775
111/11/16,28.166666666666668,44.550000000000004,27.59166666666667,14.083333333333334,2678.3333333333335,30.46666666666667
111/11/17,32.2,42.35,33.025,19.4,2771.0,22.950000000000003
111/11/18,26.008333333333336,41.63333333333333,26.5,10.058333333333334,2556.3333333333335,31.575
111/11/19,28.84166666666667,44.93333333333334,28.599999999999998,13.458333333333334,2545.4166666666665,31.475
111/11/20,31.52,48.63,31.99,13.48,1746.3,35.150000000000006
111/11/21,33.0,45.0,35.0,15.0,9470.0,30.0
111/11/22,32.84166666666666,46.09166666666667,32.8,19.858333333333334,1929.1666666666667,26.233333333333334
111/11/23,38.64545454545455,55.73636363636364,38.97272727272727,20.245454545454546,1884.6363636363637,35.4909090909091
111/11/24,39.76666666666667,58.15,39.391666666666666,22.741666666666664,1542.5833333333333,35.40833333333333
111/11/25,42.78333333333333,60.28333333333333,42.725,26.783333333333335,1485.1666666666667,33.5
111/11/26,48.449999999999996,66.95833333333333,48.5,30.641666666666666,1756.8333333333333,36.31666666666666
