日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
107/09/01,28.05,32.375,25.25,0.0,,,82.5,5.275
107/09/02,28.2,32.55,24.85,0.125,,,82.25,7.275
107/09/03,28.2,32.625,24.4,0.0,,,79.75,6.5
107/09/04,28.8,33.2,25.299999999999997,0.0,,,81.25,7.575
107/09/05,28.925,33.075,26.875,0.0,,,85.75,5.6
107/09/06,28.175,32.85,25.3,0.625,,,85.0,6.325
107/09/07,28.2,32.625,24.125,12.0,,,83.5,7.2749999999999995
107/09/08,27.4,31.55,24.65,0.0,,,86.25,7.0
107/09/09,26.35,29.5,24.25,0.0,,,84.0,12.95
107/09/10,26.5,31.0,23.0,0.0,,,80.5,9.675
107/09/11,27.625,31.5,24.8,0.125,,,87.0,5.05
107/09/12,27.95,31.05,25.775,0.0,,,88.5,6.95
107/09/13,28.5,32.25,26.075,0.0,,,86.5,5.35
107/09/14,28.8,32.6,26.2,0.0,,,84.5,6.05
107/09/15,26.85,29.125,25.175,0.25,,,91.0,3.925
107/09/16,28.075,32.1,24.900000000000002,0.0,,,85.0,5.5
107/09/17,28.55,33.525,25.425,0.0,,,83.75,6.3
107/09/18,28.325,31.75,26.2,0.0,,,87.0,8.425
107/09/19,28.3,32.75,25.325,0.0,,,85.5,6.0
107/09/20,28.5,32.9,25.9,0.0,,,82.75,5.625
107/09/21,28.475,33.45,24.825,0.0,,,77.25,6.075
107/09/22,28.425,32.25,25.025,0.0,,,78.25,7.425
107/09/23,28.4,32.375,25.7,0.0,,,83.25,6.5249999999999995
107/09/24,27.5,31.424999999999997,24.975,0.0,,,78.5,12.275
107/09/25,27.375,32.8,23.975,0.0,,,75.25,10.75
107/09/26,26.1,29.45,23.75,0.0,,,78.5,13.9
107/09/27,26.275,30.675,23.4,0.0,,,78.5,14.0
107/09/28,25.95,29.0,24.1,0.0,,,80.75,14.8
107/09/29,25.15,28.325,21.95,0.0,,,65.0,14.775
107/09/30,24.925,30.175,20.825,0.0,,,66.0,8.775
107/10/01,25.3,31.225,20.9,0.0,,,69.5,8.2
107/10/02,24.025,29.525,20.275000000000002,0.0,,,69.25,10.225000000000001
107/10/03,23.975,29.65,19.475,0.0,,,66.0,12.075
107/10/04,23.35,27.025,21.025,0.0,,,73.25,15.7
107/10/05,24.25,28.55,20.275,0.0,,,70.0,10.0
107/10/06,25.7,30.85,21.65,0.0,,,77.0,6.475
107/10/07,25.05,29.725,22.175,0.0,,,79.75,7.925
107/10/08,25.25,30.975,21.2,0.0,,,82.25,7.775
