日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
110/08/01,27.2,30.4,24.7,0.5,0.2,0.9,92.0,5.2
110/08/02,28.6,33.2,25.9,,0.4,3.9,85.0,5.7
110/08/03,27.7,32.1,25.7,49.5,7.0,2.6,90.0,9.0
110/08/04,27.3,30.8,25.5,12.0,5.1,0.3,94.0,7.2
110/08/05,27.7,31.4,24.9,,0.9,2.3,91.0,4.8
110/08/06,26.9,28.3,25.4,6.0,10.7,0.0,96.0,3.8
110/08/07,25.6,27.9,24.2,30.5,10.8,0.0,96.0,10.3
110/08/08,27.9,32.7,25.0,1.5,1.9,4.4,87.0,7.7
110/08/09,28.3,32.0,25.4,0.0,0.0,4.6,88.0,5.3
110/08/10,28.9,33.5,25.3,0.0,0.0,9.4,85.0,7.9
110/08/11,28.6,31.9,26.4,0.0,0.0,6.3,86.0,6.8
110/08/12,28.7,32.6,25.5,0.0,0.0,7.4,82.0,5.3
110/08/13,28.5,33.0,25.8,,1.4,7.8,85.0,7.2
110/08/14,28.3,33.1,25.4,,0.3,7.0,86.0,7.8
110/08/15,28.5,32.1,25.8,0.0,0.0,7.0,87.0,8.4
110/08/16,28.7,32.9,25.7,0.0,0.0,8.7,85.0,8.1
110/08/17,28.1,32.3,25.4,3.5,1.8,7.9,85.0,7.3
110/08/18,26.6,31.8,24.5,8.5,4.2,2.4,91.0,5.8
110/08/19,26.9,32.6,24.3,,1.3,6.7,87.0,6.3
110/08/20,27.6,32.0,23.9,0.0,0.0,8.0,83.0,5.9
110/08/21,28.1,32.5,24.9,0.0,0.0,8.6,84.0,6.8
110/08/22,28.4,32.4,25.5,,1.0,7.0,85.0,7.1
110/08/23,28.5,31.5,25.6,0.0,0.0,1.1,85.0,6.9
110/08/24,28.5,33.3,25.7,0.0,0.0,6.1,84.0,6.9
110/08/25,28.8,33.4,25.2,0.0,0.0,9.0,83.0,7.4
110/08/26,28.8,32.1,25.7,0.0,0.0,11.5,81.0,14.2
110/08/27,29.0,33.0,25.3,0.0,0.0,11.8,78.0,10.1
110/08/28,28.8,32.3,25.2,0.0,0.0,11.9,80.0,12.6
110/08/29,28.8,32.1,26.6,0.0,0.0,8.7,83.0,9.1
110/08/30,28.5,32.4,25.4,4.0,0.5,10.4,85.0,11.6
110/08/31,28.6,32.9,25.5,0.0,0.0,8.7,85.0,11.5
110/09/01,28.6,32.2,25.3,0.0,0.0,10.1,84.0,9.9
110/09/02,28.4,32.1,25.3,0.0,0.0,7.4,84.0,7.1
110/09/03,28.2,32.7,25.0,0.0,0.0,8.4,80.0,7.6
110/09/04,28.1,32.3,24.8,1.5,0.2,8.7,82.0,9.1
110/09/05,28.6,32.4,25.6,0.0,0.0,9.9,82.0,12.2
110/09/06,29.3,33.4,25.9,0.0,0.0,8.7,82.0,9.0
110/09/07,29.1,33.0,25.7,0.0,0.0,10.8,81.0,8.8
110/09/08,28.9,32.1,25.8,0.0,0.0,10.9,79.0,7.1
110/09/09,28.3,32.5,24.7,,0.1,10.1,82.0,10.1
110/09/10,29.0,32.7,25.5,0.0,0.0,11.6,84.0,10.9
110/09/11,27.2,32.3,25.0,27.5,11.7,2.5,90.0,16.0
110/09/12,26.3,29.9,24.2,69.0,18.0,0.0,89.0,14.4
110/09/13,29.0,33.3,24.7,0.0,0.0,8.2,80.0,10.3
110/09/14,28.5,33.2,25.8,5.5,1.1,6.2,86.0,6.4
110/09/15,27.5,32.4,24.9,67.0,2.4,5.9,89.0,7.5
110/09/16,27.2,31.6,23.9,0.0,0.0,6.9,85.0,6.9
110/09/17,27.2,31.0,24.5,23.0,2.7,5.0,88.0,8.3
110/09/18,27.5,31.2,24.1,0.5,0.8,7.4,90.0,7.3
110/09/19,28.2,32.1,25.0,0.0,0.0,9.7,86.0,7.6
110/09/20,28.6,32.5,25.0,0.0,0.0,8.1,84.0,7.8
110/09/21,27.3,32.1,24.7,1.0,2.9,7.0,87.0,7.2
110/09/22,27.7,32.0,23.9,0.0,0.0,7.6,83.0,6.7
110/09/23,28.2,31.8,25.3,0.0,0.0,8.2,84.0,7.5
110/09/24,27.0,31.7,25.1,4.5,3.2,4.1,90.0,8.6
110/09/25,26.5,29.5,24.4,2.0,3.9,0.1,89.0,7.3
110/09/26,27.2,31.0,23.6,0.0,0.0,7.8,85.0,8.1
110/09/27,27.4,30.8,24.9,20.5,4.5,7.0,88.0,8.4
110/09/28,26.9,31.0,23.1,0.0,0.0,10.0,80.0,9.9
110/09/29,27.2,31.9,22.6,0.0,0.0,11.1,78.0,7.2
110/09/30,27.6,31.9,23.2,,0.4,8.9,81.0,7.7
110/10/01,26.4,31.2,24.7,48.5,3.7,3.1,93.0,8.5
110/10/02,27.0,30.6,24.4,0.0,0.0,5.3,85.0,8.1
110/10/03,26.9,30.1,23.2,,0.1,7.5,81.0,7.8
110/10/04,27.7,31.4,24.3,6.0,1.5,10.4,83.0,10.9
110/10/05,26.4,30.5,23.5,18.0,2.7,7.4,86.0,13.9
110/10/06,26.4,30.1,23.4,5.5,3.3,3.6,89.0,10.6
110/10/07,27.4,30.6,24.0,,0.2,9.3,85.0,10.7
110/10/08,27.9,30.7,25.2,,0.6,6.0,84.0,12.0
110/10/09,27.0,30.3,25.0,1.5,1.6,3.3,88.0,9.6
110/10/10,27.4,30.9,24.9,1.5,1.3,7.2,87.0,7.2
110/10/11,26.4,28.2,24.2,147.0,15.1,0.0,96.0,21.2
110/10/12,27.8,29.6,24.7,54.5,5.6,0.7,93.0,22.6
