日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
113/09/01,28.18,34.18,24.580000000000002,17.8,1.6,6.2,81.8,9.14
113/09/02,29.139999999999997,34.5,25.06,1.5,0.0,8.6,81.0,6.04
113/09/03,29.9,34.44,27.32,0.0,0.0,6.7,78.8,6.82
113/09/04,29.160000000000004,34.3,26.74,8.1,1.2,4.6,81.8,7.18
113/09/05,27.96,33.760000000000005,24.6,12.1,1.8,3.6,86.6,11.2
113/09/06,28.119999999999997,34.32,24.740000000000002,5.2,0.6,7.3,82.8,7.5
113/09/07,27.74,32.12,25.4,3.1,0.0,2.8,85.4,6.9
113/09/08,26.380000000000003,32.04,23.6,44.4,4.4,1.8,90.4,7.779999999999999
113/09/09,26.339999999999996,33.260000000000005,22.86,44.7,1.6,8.5,86.2,10.9
113/09/10,27.9,32.62,23.92,3.218,0.1,9.5,81.6,6.2
113/09/11,28.1,33.980000000000004,25.2,24.618000000000002,0.1,8.9,82.4,9.32
113/09/12,27.74,31.119999999999997,25.5,0.9,0.0,2.5,87.4,5.720000000000001
113/09/13,27.48,33.519999999999996,23.52,21.718,0.7,6.9,81.6,10.459999999999999
113/09/14,25.34,30.619999999999997,22.380000000000003,32.7,2.0,2.6,88.0,11.02
113/09/15,27.78,33.68,22.580000000000002,0.7,0.0,9.7,77.4,5.4799999999999995
113/09/16,28.52,33.0,24.7,0.0,0.0,7.4,81.0,4.659999999999999
113/09/17,29.439999999999998,34.54,25.54,1.0,0.2,10.8,80.4,6.38
113/09/18,28.639999999999997,33.075,25.6,0.2,0.0,5.1,81.4,5.425
113/09/19,28.380000000000003,33.92,25.18,27.9,1.2,9.2,82.8,8.08
113/09/20,26.78,32.56,24.78,82.4,4.7,3.4,91.4,7.340000000000001
113/09/21,26.919999999999998,30.28,24.8,3.7,0.4,0.6,90.4,5.5600000000000005
113/09/22,25.34,28.24,24.04,61.1,11.3,0.0,92.2,10.3
113/09/23,28.02,32.94,24.48,0.9,0.7,7.2,81.2,9.1
113/09/24,28.3,33.28,24.68,0.1,0.0,10.6,81.8,6.0600000000000005
113/09/25,28.2,32.660000000000004,25.4,0.7,0.0,7.9,81.6,6.36
113/09/26,28.339999999999996,32.739999999999995,25.5,0.1,0.0,10.0,83.4,7.3
113/09/27,27.619999999999997,31.580000000000002,25.259999999999998,1.7,0.0,5.0,86.6,7.18
113/09/28,27.76,32.04,24.4,0.1,0.0,5.3,82.8,5.66
113/09/29,28.48,33.65,24.6,0.618,0.2,6.4,82.4,4.925
113/09/30,28.380000000000003,32.519999999999996,25.72,0.018,0.2,1.9,85.0,5.26
113/10/01,27.9,30.880000000000003,25.240000000000002,6.3,1.6,0.1,88.4,6.279999999999999
113/10/02,25.36,27.439999999999998,23.5,2.7,2.7,0.0,91.8,7.82
113/10/03,24.259999999999998,25.880000000000003,22.78,0.7,1.8,0.0,91.0,8.32
113/10/04,25.1,28.639999999999997,22.7,0.0,0.0,1.5,88.0,6.74
113/10/05,26.22,30.939999999999998,23.52,0.1,0.0,5.1,89.0,7.2
113/10/06,26.96,32.54,24.3,5.718,0.3,6.8,85.6,6.44
113/10/07,26.939999999999998,33.160000000000004,23.68,43.8,1.3,7.1,85.0,8.18
113/10/08,26.380000000000003,31.96,23.7,0.2,0.0,8.2,85.4,6.9
113/10/09,25.880000000000003,31.060000000000002,22.64,0.1,0.0,8.2,83.0,5.9
113/10/10,24.56,29.68,21.52,0.0,0.0,7.4,81.0,7.5
113/10/11,24.68,30.04,20.759999999999998,0.2,0.0,5.5,80.8,5.0600000000000005
113/10/12,26.24,31.4,22.06,0.0,0.0,10.4,80.4,4.779999999999999
113/10/13,26.54,32.2,22.9,0.2,0.0,8.8,83.2,5.62
113/10/14,26.7,32.0,23.18,0.21800000000000003,0.2,7.2,84.0,5.36
113/10/15,26.860000000000003,31.880000000000003,23.48,0.3,0.0,3.5,85.0,4.92
113/10/16,27.160000000000004,31.419999999999998,24.84,0.0,0.0,1.6,86.2,5.42
113/10/17,27.78,32.54,24.66,0.0,0.0,6.3,82.0,4.6
113/10/18,27.46,32.739999999999995,24.66,0.0,0.0,7.4,84.0,5.68
113/10/19,26.9,31.559999999999995,24.14,0.1,0.0,5.9,86.8,5.76
113/10/20,26.68,31.26,23.619999999999997,0.0,0.0,7.9,83.0,5.04
113/10/21,26.360000000000003,31.580000000000002,22.84,0.1,0.0,8.5,84.8,5.46
113/10/22,26.04,30.85,23.075,0.1,0.0,3.5,85.6,7.9
113/10/23,24.2,29.4,21.075,0.0,0.0,8.8,81.0,7.75
113/10/24,23.98,29.0,20.419999999999998,0.0,0.0,3.9,80.0,7.4
113/10/25,26.160000000000004,31.379999999999995,22.2,0.1,0.0,5.7,84.4,5.24
113/10/26,26.68,30.7,24.9,0.018,0.5,2.8,91.2,5.74
113/10/27,26.28,29.22,24.759999999999998,0.418,0.3,0.6,92.8,4.9399999999999995
113/10/28,24.6,26.78,22.9,1.2,0.0,0.8,91.4,6.7
113/10/29,23.939999999999998,29.3,21.439999999999998,1.2,0.5,4.6,86.6,6.88
113/10/30,24.54,29.8,20.72,0.0,0.0,8.0,82.0,6.44
113/10/31,24.8,27.360000000000003,22.56,71.3,12.2,0.0,92.2,19.740000000000002
113/11/01,25.1,28.939999999999998,22.240000000000002,62.3,5.8,0.2,87.4,17.02
113/11/02,25.36,30.060000000000002,21.78,0.0,0.0,10.5,85.4,4.220000000000001
113/11/03,25.0,30.02,22.259999999999998,0.0,0.0,8.1,86.8,5.38
113/11/04,24.96,29.160000000000004,22.380000000000003,0.0,0.0,3.7,86.4,4.94
113/11/05,23.36,26.339999999999996,21.5,0.0,0.0,0.0,85.4,4.76
113/11/06,22.240000000000002,27.48,19.64,0.1,0.0,7.3,74.0,5.9399999999999995
113/11/07,22.0,27.52,18.18,0.2,0.0,9.5,76.0,5.58
113/11/08,22.080000000000002,26.439999999999998,19.240000000000002,0.018,0.2,1.1,87.0,5.16
113/11/09,24.3,30.32,19.8,0.1,0.0,9.3,85.6,4.779999999999999
113/11/10,24.22,28.54,21.56,0.0,0.0,0.6,88.4,6.26
113/11/11,24.0,29.080000000000002,20.5,0.0,0.0,8.3,87.6,4.5
113/11/12,24.34,26.860000000000003,22.380000000000003,0.7,2.1,0.0,93.6,5.0
113/11/13,25.58,29.9,22.72,0.0,0.0,4.3,87.4,4.5200000000000005
113/11/14,25.119999999999997,28.72,22.9,0.018,0.2,2.1,91.2,4.42
113/11/15,24.439999999999998,27.74,21.78,0.0,0.0,1.2,93.2,5.0200000000000005
113/11/16,24.18,28.6,22.28,21.9,5.8,2.4,93.6,7.540000000000001
113/11/17,24.84,30.060000000000002,21.919999999999998,0.718,0.6,8.2,86.6,5.76
113/11/18,22.0,24.759999999999998,19.419999999999998,0.118,1.4,0.3,86.6,8.2
113/11/19,21.02,24.2,19.04,0.118,0.2,0.0,87.4,5.279999999999999
