日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
111/09/01,26.5,30.6,22.1,2.75,,,81.5,10.75
111/09/02,24.1,25.6,22.55,81.375,,,98.0,10.1
111/09/03,25.65,27.65,24.6,96.375,,,97.0,11.9
111/09/04,25.950000000000003,28.05,24.1,53.25,,,90.5,7.1
111/09/05,28.35,32.95,25.700000000000003,0.0,,,78.5,9.6
111/09/06,26.6,29.9,23.950000000000003,14.75,,,87.5,4.35
111/09/07,26.15,31.200000000000003,23.65,0.5,,,86.0,4.45
111/09/08,26.15,32.3,21.7,0.0,,,72.0,7.1
111/09/09,25.549999999999997,31.8,20.549999999999997,0.0,,,71.0,7.25
111/09/10,24.6,30.75,20.4,0.0,,,77.0,6.1
111/09/11,23.65,27.15,21.05,43.5,,,92.0,7.300000000000001
111/09/12,24.35,26.25,22.75,61.5,,,96.5,9.2
111/09/13,24.9,28.85,22.75,29.25,,,90.5,7.0
111/09/14,26.35,31.4,22.8,0.0,,,78.5,7.3
111/09/15,26.700000000000003,32.6,22.15,0.0,,,79.5,4.25
111/09/16,25.75,31.85,22.0,6.25,,,83.0,4.1
111/09/17,25.35,31.6,20.299999999999997,0.0,,,80.0,4.4
111/09/18,25.85,32.4,21.35,0.0,,,78.5,3.9
111/09/19,26.2,32.05,20.85,0.125,,,75.0,5.35
111/09/20,24.833333333333332,30.099999999999998,19.7,0.0,,,68.0,7.666666666666667
111/09/21,23.733333333333334,30.433333333333334,17.633333333333336,0.0,,,68.33333333333333,6.933333333333334
111/09/22,24.5,30.8,20.2,0.0,,,71.66666666666667,5.966666666666666
111/09/23,24.433333333333334,30.8,18.766666666666666,0.0,,,68.0,9.200000000000001
111/09/24,23.666666666666668,27.666666666666668,20.933333333333334,0.0,,,80.0,8.366666666666667
111/09/25,24.366666666666664,28.5,21.066666666666666,0.0,,,88.33333333333333,6.2
111/09/26,26.7,31.866666666666664,22.53333333333333,0.0,,,85.0,3.7999999999999994
111/09/27,26.933333333333334,31.900000000000002,22.8,0.0,,,82.66666666666667,4.866666666666666
111/09/28,26.96666666666667,32.0,23.433333333333334,0.0,,,81.66666666666667,5.1000000000000005
111/09/29,26.8,31.833333333333332,22.46666666666667,0.0,,,80.66666666666667,4.8999999999999995
111/09/30,27.03333333333333,32.0,23.53333333333333,0.0,,,79.66666666666667,4.866666666666666
111/10/01,26.633333333333336,32.0,22.666666666666668,0.0,,,81.66666666666667,5.3
111/10/02,26.8,31.766666666666666,22.333333333333332,0.0,,,80.66666666666667,4.8999999999999995
111/10/03,26.666666666666668,31.599999999999998,23.03333333333333,0.0,,,83.33333333333333,4.3
111/10/04,27.0,32.03333333333333,23.46666666666667,0.0,,,78.66666666666667,4.6000000000000005
111/10/05,26.766666666666666,32.76666666666667,22.566666666666666,0.0,,,77.66666666666667,4.966666666666667
111/10/06,25.933333333333334,31.133333333333336,22.400000000000002,0.0,,,82.33333333333333,4.933333333333334
111/10/07,25.0,29.866666666666664,22.366666666666664,0.0,,,83.33333333333333,7.5
111/10/08,23.666666666666668,26.633333333333336,21.599999999999998,0.0,,,85.0,6.433333333333334
111/10/09,23.866666666666664,28.233333333333334,21.733333333333334,0.4,,,84.33333333333333,8.633333333333335
111/10/10,20.400000000000002,23.03333333333333,18.46666666666667,0.1,,,74.66666666666667,12.366666666666667
111/10/11,21.03333333333333,25.633333333333336,18.633333333333333,0.0,,,66.0,8.733333333333334
111/10/12,22.333333333333332,28.066666666666666,17.666666666666668,0.0,,,75.0,7.133333333333333
111/10/13,23.166666666666668,28.7,18.8,0.0,,,77.66666666666667,8.733333333333333
111/10/14,23.366666666666664,27.5,21.45,0.0,,,82.33333333333333,7.25
111/10/15,23.4,26.05,22.0,3.125,,,93.5,10.1
111/10/16,24.65,25.85,23.3,6.375,,,95.0,8.55
111/10/17,22.9,26.1,19.35,0.0,,,86.0,14.0
111/10/18,19.900000000000002,22.53333333333333,18.2,2.9,,,74.33333333333333,14.6
111/10/19,20.633333333333333,25.3,17.333333333333332,0.0,,,71.0,8.4
111/10/20,21.2,26.366666666666664,17.433333333333334,0.0,,,80.0,5.333333333333333
111/10/21,22.900000000000002,30.0,17.5,0.0,,,81.33333333333333,5.3
111/10/22,24.900000000000002,31.433333333333334,19.933333333333334,0.0,,,85.33333333333333,4.8999999999999995
111/10/23,21.900000000000002,24.566666666666666,20.066666666666666,2.5,,,89.0,9.333333333333334
111/10/24,20.733333333333334,25.5,16.766666666666666,0.0,,,68.33333333333333,8.633333333333333
111/10/25,20.066666666666666,25.433333333333334,16.533333333333335,0.0,,,70.66666666666667,5.566666666666666
111/10/26,22.233333333333334,28.53333333333333,17.633333333333336,0.0,,,75.66666666666667,4.6000000000000005
111/10/27,22.266666666666666,27.599999999999998,18.400000000000002,0.0,,,78.66666666666667,4.4
111/10/28,22.933333333333334,28.666666666666668,18.233333333333334,0.0,,,77.33333333333333,6.5
111/10/29,22.900000000000002,28.96666666666667,19.233333333333334,0.0,,,79.66666666666667,7.533333333333334
111/10/30,23.2,27.633333333333336,19.400000000000002,0.0,,,80.66666666666667,6.933333333333334
111/10/31,21.96666666666667,24.599999999999998,19.233333333333334,5.0,,,88.33333333333333,13.433333333333332
111/11/01,22.333333333333332,27.333333333333332,19.166666666666668,0.9,,,75.33333333333333,12.633333333333333
111/11/02,22.766666666666666,27.900000000000002,18.833333333333332,0.0,,,81.33333333333333,5.2
111/11/03,24.46666666666667,30.933333333333334,19.833333333333332,0.0,,,82.33333333333333,5.033333333333333
111/11/04,22.0,25.833333333333332,19.233333333333334,0.0,,,83.33333333333333,6.8999999999999995
111/11/05,20.133333333333333,25.2,17.766666666666666,0.0,,,80.0,6.3999999999999995
111/11/06,21.46666666666667,27.933333333333334,17.099999999999998,0.0,,,78.33333333333333,5.1000000000000005
