日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
113/09/01,29.3,33.75,26.4,0.0,,,77.5,7.300000000000001
113/09/02,29.95,33.7,26.45,0.0,,,78.5,6.550000000000001
113/09/03,30.35,34.05,28.0,0.0,,,79.0,8.9
113/09/04,30.35,33.75,27.6,0.0,,,76.5,6.55
113/09/05,28.75,34.6,25.0,7.75,,,84.0,15.600000000000001
113/09/06,29.15,34.400000000000006,26.0,0.0,,,81.5,6.9
113/09/07,28.6,32.95,26.25,6.5,,,83.5,8.149999999999999
113/09/08,27.15,31.849999999999998,23.35,43.0,,,89.0,10.2
113/09/09,26.75,32.650000000000006,22.6,16.75,,,88.0,12.65
113/09/10,28.35,32.45,24.5,0.0,,,83.5,7.6000000000000005
113/09/11,29.15,33.599999999999994,26.35,0.0,,,80.5,6.8
113/09/12,28.799999999999997,31.35,26.5,0.0,,,84.5,7.05
113/09/13,28.75,34.25,25.8,0.0,,,78.5,9.149999999999999
113/09/14,26.0,32.2,22.85,27.25,,,86.5,11.649999999999999
113/09/15,28.299999999999997,34.7,23.4,0.0,,,76.0,6.3
113/09/16,29.35,34.1,25.549999999999997,0.0,,,79.5,6.55
113/09/17,30.15,34.150000000000006,27.4,0.0,,,80.5,7.449999999999999
113/09/18,29.35,33.05,26.049999999999997,0.0,,,81.0,6.9
113/09/19,29.4,33.8,25.65,9.0,,,81.0,9.0
113/09/20,27.950000000000003,32.7,25.45,9.0,,,88.0,6.95
113/09/21,27.1,29.549999999999997,25.6,3.25,,,91.0,6.35
113/09/22,25.700000000000003,28.85,24.35,23.25,,,92.5,13.2
113/09/23,28.15,33.4,24.9,6.5,,,82.5,10.35
113/09/24,28.6,33.8,25.8,0.0,,,82.5,6.2
113/09/25,28.45,32.4,25.700000000000003,0.0,,,81.0,5.8
113/09/26,28.6,32.0,26.3,0.0,,,82.5,7.95
113/09/27,28.0,31.400000000000002,26.0,0.0,,,84.5,8.1
113/09/28,28.049999999999997,32.45,24.9,0.0,,,79.0,9.95
113/09/29,29.049999999999997,33.349999999999994,25.0,0.0,,,78.0,4.6
113/09/30,29.25,33.05,26.0,0.0,,,81.0,6.3
113/10/01,28.549999999999997,30.55,26.8,0.25,,,87.5,8.95
113/10/02,25.9,27.85,24.05,2.25,,,85.5,15.45
113/10/03,24.700000000000003,26.0,23.5,0.0,,,84.0,17.15
113/10/04,24.95,27.65,23.1,0.0,,,86.5,11.15
113/10/05,26.35,29.85,24.05,0.0,,,88.5,7.6
113/10/06,28.0,32.6,25.200000000000003,0.0,,,83.0,6.75
113/10/07,28.05,33.099999999999994,25.25,0.0,,,80.5,7.1
113/10/08,26.45,30.799999999999997,23.45,0.0,,,82.0,9.25
113/10/09,25.5,30.65,22.700000000000003,0.0,,,79.0,9.2
113/10/10,24.4,28.6,21.4,0.0,,,77.0,11.5
113/10/11,24.549999999999997,29.950000000000003,20.3,0.0,,,75.5,8.1
113/10/12,25.950000000000003,32.0,21.6,0.0,,,77.0,6.0
113/10/13,26.75,31.6,23.15,0.0,,,81.5,6.949999999999999
113/10/14,27.15,32.25,24.15,0.0,,,83.5,6.3
113/10/15,27.1,31.5,24.55,0.0,,,87.0,5.9
113/10/16,27.4,31.45,25.200000000000003,0.0,,,84.5,7.25
113/10/17,27.6,32.15,24.75,0.0,,,81.5,5.5
113/10/18,27.5,32.3,25.5,0.0,,,85.0,6.55
