日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
112/09/01,28.266666666666666,31.866666666666664,25.933333333333334,0.8333333333333334,,,86.66666666666667,6.400000000000001
112/09/02,29.03333333333333,33.86666666666667,26.066666666666666,0.0,,,82.33333333333333,6.3
112/09/03,27.599999999999998,29.5,25.633333333333336,3.1666666666666665,,,88.33333333333333,13.799999999999999
112/09/04,26.933333333333334,29.833333333333332,25.2,10.833333333333334,,,89.0,11.0
112/09/05,28.166666666666668,34.1,25.166666666666668,6.5,,,83.0,8.933333333333334
112/09/06,27.166666666666668,33.9,24.53333333333333,35.333333333333336,,,88.0,7.633333333333333
112/09/07,27.433333333333334,32.63333333333333,24.7,1.8333333333333333,,,87.66666666666667,6.366666666666667
112/09/08,26.666666666666668,32.5,24.2,29.5,,,89.66666666666667,8.466666666666667
112/09/09,26.53333333333333,31.433333333333334,23.933333333333334,18.666666666666668,,,88.33333333333333,8.200000000000001
112/09/10,26.03333333333333,30.766666666666666,23.933333333333334,24.833333333333332,,,90.33333333333333,5.7
112/09/11,26.900000000000002,30.96666666666667,23.766666666666666,0.0,,,84.66666666666667,5.666666666666667
112/09/12,27.46666666666667,31.900000000000002,23.633333333333336,0.0,,,80.33333333333333,5.466666666666666
112/09/13,27.666666666666668,31.7,24.5,0.0,,,80.33333333333333,5.733333333333333
112/09/14,27.7,32.2,24.03333333333333,0.0,,,78.66666666666667,5.733333333333333
112/09/15,27.833333333333332,32.63333333333333,24.03333333333333,0.0,,,78.66666666666667,5.966666666666666
112/09/16,28.133333333333336,33.5,24.333333333333332,0.0,,,77.66666666666667,5.7
112/09/17,28.3,32.46666666666667,25.53333333333333,0.0,,,79.33333333333333,5.6000000000000005
112/09/18,28.066666666666666,32.43333333333333,24.833333333333332,0.0,,,80.66666666666667,6.433333333333334
112/09/19,28.46666666666667,33.53333333333333,24.8,0.0,,,81.0,6.033333333333334
112/09/20,28.566666666666666,33.13333333333333,25.233333333333334,0.0,,,81.66666666666667,6.166666666666667
112/09/21,28.433333333333334,32.266666666666666,25.96666666666667,0.0,,,82.66666666666667,5.6000000000000005
112/09/22,29.0,33.53333333333333,25.599999999999998,0.0,,,81.0,6.566666666666666
112/09/23,28.8,33.300000000000004,25.53333333333333,0.0,,,82.0,5.866666666666667
112/09/24,29.3,35.0,25.566666666666666,0.0,,,80.33333333333333,6.633333333333333
112/09/25,29.166666666666668,34.766666666666666,26.5,0.0,,,82.66666666666667,7.5
112/09/26,28.96666666666667,33.300000000000004,25.900000000000002,0.0,,,80.0,6.3999999999999995
112/09/27,28.833333333333332,33.63333333333333,26.0,0.0,,,81.0,6.5
112/09/28,28.3,32.300000000000004,25.433333333333334,0.0,,,83.66666666666667,6.466666666666666
112/09/29,28.666666666666668,32.6,25.03333333333333,0.0,,,81.66666666666667,6.8999999999999995
112/09/30,28.900000000000002,33.0,25.53333333333333,0.0,,,81.0,6.533333333333334
112/10/01,28.7,33.46666666666667,25.866666666666664,0.0,,,80.33333333333333,9.766666666666666
112/10/02,27.599999999999998,32.36666666666667,24.5,0.0,,,71.33333333333333,10.799999999999999
112/10/03,26.900000000000002,30.566666666666666,23.133333333333336,0.0,,,72.0,13.466666666666667
112/10/04,26.7,27.7,25.866666666666664,0.0,,,84.33333333333333,23.333333333333332
112/10/05,26.900000000000002,30.333333333333332,25.433333333333334,0.0,,,83.66666666666667,25.366666666666664
112/10/06,26.566666666666666,30.766666666666666,24.766666666666666,12.666666666666666,,,89.66666666666667,6.1000000000000005
112/10/07,25.866666666666664,29.066666666666663,24.266666666666666,10.833333333333334,,,92.66666666666667,9.0
112/10/08,26.366666666666664,30.900000000000002,23.8,0.0,,,86.66666666666667,8.5
112/10/09,26.400000000000002,30.866666666666664,24.03333333333333,0.0,,,84.66666666666667,7.533333333333334
112/10/10,26.03333333333333,30.433333333333334,23.7,0.0,,,81.0,8.5
112/10/11,25.7,30.599999999999998,22.8,0.0,,,74.0,9.466666666666667
112/10/12,25.333333333333332,30.46666666666667,21.53333333333333,0.0,,,74.66666666666667,9.533333333333333
112/10/13,25.5,30.8,21.96666666666667,0.0,,,77.33333333333333,8.066666666666668
112/10/14,25.3,30.633333333333336,21.900000000000002,0.0,,,75.66666666666667,7.733333333333333
112/10/15,24.900000000000002,29.3,21.433333333333337,0.0,,,69.66666666666667,8.200000000000001
