日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
109/09/01,28.5,32.05,24.525,0.0,,,81.25,9.175
109/09/02,29.5,33.675,26.025,0.0,,,80.25,8.925
109/09/03,28.2,33.775,25.5,3.0,,,82.5,8.675
109/09/04,28.35,32.7,24.575,0.0,,,80.25,8.225000000000001
109/09/05,27.85,31.675,24.625,0.0,,,78.25,9.325
109/09/06,26.375,31.05,22.3,0.0,,,64.5,9.325
109/09/07,27.2,33.975,21.25,0.0,,,67.25,6.7
109/09/08,28.5,33.025,24.925,0.0,,,74.0,7.2
109/09/09,28.6,33.96666666666667,25.566666666666666,0.0,,,76.75,6.400000000000001
109/09/10,28.599999999999998,33.0,25.75,0.0,,,78.25,6.725
109/09/11,28.65,33.475,24.725,0.125,,,77.75,7.025
109/09/12,27.5,32.85,24.075,11.875,,,84.25,8.625
109/09/13,28.25,32.55,24.3,0.0,,,83.25,6.675
109/09/14,28.45,33.025,25.275,0.0,,,83.25,7.975
109/09/15,28.475,33.1,25.0,0.0,,,82.5,7.466666666666666
109/09/16,28.825,33.1,24.85,0.0,,,80.25,6.1
109/09/17,29.125,32.8,25.925,0.0,,,79.0,5.8
109/09/18,29.15,33.7,24.725,7.875,,,78.25,7.699999999999999
109/09/19,28.325,32.65,24.375,0.5,,,82.0,8.175
109/09/20,28.1,32.5,25.125,0.0,,,81.5,11.175
109/09/21,27.599999999999998,32.775,24.575,0.0,,,74.5,10.175
109/09/22,26.9,31.799999999999997,23.6,0.0,,,73.5,8.4
109/09/23,26.95,31.9,23.0,0.0,,,75.25,7.45
109/09/24,26.75,31.625,23.6,0.0,,,79.25,9.575
109/09/25,25.675,28.85,23.2,0.0,,,73.75,8.475
109/09/26,26.1,31.25,23.075,0.0,,,74.5,7.5
109/09/27,24.85,29.275,22.75,0.0,,,79.5,6.6
109/09/28,25.1,28.6,22.975,0.0,,,83.0,5.725
109/09/29,26.225,30.9,23.075,0.0,,,75.25,7.7250000000000005
109/09/30,24.975,29.25,22.775,0.0,,,73.5,9.85
109/10/01,25.9,30.65,22.15,0.0,,,71.75,7.4
109/10/02,26.5,31.2,22.425,0.0,,,77.25,7.275
109/10/03,27.1,30.875,23.325,0.0,,,78.75,7.075
109/10/04,27.4,33.175,23.25,0.0,,,76.5,5.7
109/10/05,26.45,30.625,23.375,0.0,,,77.25,10.25
109/10/06,24.925,29.3,21.925,0.0,,,69.5,11.6
109/10/07,24.375,29.125,21.275,0.0,,,68.0,11.7
109/10/08,24.675,29.75,21.325,0.0,,,66.25,10.525
109/10/09,24.8,29.775,21.75,0.0,,,70.25,10.65
109/10/10,24.7,29.975,20.875,0.0,,,77.0,9.575
109/10/11,25.525,30.825,21.35,0.0,,,83.25,8.850000000000001
109/10/12,26.575,31.55,23.5,0.0,,,85.0,7.6499999999999995
109/10/13,26.475,31.375,23.5,0.0,,,83.75,7.074999999999999
