日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),降水量(mm),降水時數(hour),日照時數(hour),相對溼度(%),最大陣風(m/s)
108/09/01,27.9,35.0,24.3,6.25,,,82.5,7.8
108/09/02,28.65,33.5,24.799999999999997,0.0,,,79.5,6.75
108/09/03,28.4,32.900000000000006,25.950000000000003,0.25,,,81.0,7.449999999999999
108/09/04,26.1,30.35,24.0,58.0,,,90.0,9.2
108/09/05,26.9,31.45,24.35,0.0,,,85.5,10.0
108/09/06,27.9,32.65,25.1,0.0,,,82.0,8.2
108/09/07,28.450000000000003,32.900000000000006,25.4,0.0,,,80.5,5.699999999999999
108/09/08,28.2,33.75,22.7,35.75,,,80.0,7.45
108/09/09,29.0,33.15,25.700000000000003,0.0,,,76.5,6.699999999999999
108/09/10,28.1,31.65,25.25,0.0,,,82.0,7.25
108/09/11,28.700000000000003,34.3,24.75,0.0,,,78.0,7.2
108/09/12,29.15,33.3,26.049999999999997,0.0,,,80.5,5.5
108/09/13,28.65,32.5,25.75,0.0,,,79.0,8.4
108/09/14,28.25,31.85,25.35,0.0,,,78.5,9.4
108/09/15,27.8,32.25,25.549999999999997,0.0,,,79.0,12.55
108/09/16,27.450000000000003,32.900000000000006,24.65,0.0,,,79.0,9.95
108/09/17,26.8,31.75,23.9,0.0,,,73.5,8.7
108/09/18,26.8,31.15,23.75,0.0,,,70.0,14.75
108/09/19,25.75,30.2,23.3,0.0,,,66.0,13.9
108/09/20,24.65,27.0,22.45,0.0,,,72.5,18.55
108/09/21,24.25,27.3,22.200000000000003,0.0,,,68.5,14.55
108/09/22,25.2,29.7,22.25,0.0,,,71.5,8.649999999999999
108/09/23,24.95,29.950000000000003,22.0,0.0,,,70.0,10.399999999999999
108/09/24,24.9,29.799999999999997,20.85,0.0,,,72.5,8.55
108/09/25,24.75,29.9,21.1,0.0,,,73.0,9.55
108/09/26,25.549999999999997,31.35,21.15,0.0,,,77.0,8.1
108/09/27,26.450000000000003,30.65,22.7,0.0,,,82.5,6.35
108/09/28,26.9,31.05,24.2,0.0,,,84.0,9.65
108/09/29,27.35,31.650000000000002,24.45,0.0,,,84.0,8.5
108/09/30,26.5,30.549999999999997,24.4,0.0,,,83.0,16.9
108/10/01,27.15,31.5,23.55,1.25,,,74.0,14.55
108/10/02,27.95,33.8,23.35,0.0,,,75.5,7.15
108/10/03,27.95,33.099999999999994,25.1,0.0,,,78.0,6.4
108/10/04,27.299999999999997,31.65,24.4,0.0,,,81.0,6.85
108/10/05,27.299999999999997,31.35,25.0,0.0,,,81.0,6.3
108/10/06,27.4,30.85,24.15,0.0,,,79.5,4.9
108/10/07,27.4,32.6,24.35,0.0,,,79.5,7.55
108/10/08,27.15,31.5,24.8,0.0,,,79.0,7.6
108/10/09,26.95,31.45,24.1,0.0,,,77.0,5.85
108/10/10,26.05,31.3,23.05,0.0,,,78.0,7.75
108/10/11,25.85,30.45,22.6,0.0,,,80.0,6.3
108/10/12,26.65,30.5,23.700000000000003,0.0,,,79.5,6.8
108/10/13,26.049999999999997,30.65,23.6,0.0,,,78.0,9.55
108/10/14,24.9,30.3,22.200000000000003,0.0,,,68.5,11.5
108/10/15,24.15,29.15,20.75,0.0,,,64.5,10.350000000000001
108/10/16,23.450000000000003,29.549999999999997,19.9,0.0,,,73.5,10.15
108/10/17,24.1,28.85,21.5,0.0,,,71.0,11.8
108/10/18,23.4,29.05,19.700000000000003,0.0,,,67.0,11.55
108/10/19,23.049999999999997,27.549999999999997,19.700000000000003,0.0,,,75.5,12.4
108/10/20,22.9,28.2,19.8,0.0,,,71.5,11.0
108/10/21,22.8,27.4,19.75,0.0,,,74.0,10.100000000000001
108/10/22,23.45,29.799999999999997,18.549999999999997,0.0,,,72.5,6.15
