日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
111/11/01,648 西螺鎮,LK2 芥藍菜  ,40.8,32.4,20.0,29.3, -  5,6258.0, +  8,0
111/11/01,800 高雄市,LK2 芥藍菜  ,57.3,49.1,44.8,49.9, +  7,1420.0, + 11,0
111/11/01,420 豐原區,LK2 芥藍菜  ,42.0,32.7,20.0,32.0, -  4,440.0, + 83,0
111/11/01,220 板橋區,LK2 芥藍菜  ,38.0,36.7,35.0,36.6, +  4,320.0, -  3,0
111/11/01,241 三重區,LK2 芥藍菜  ,23.8,15.1,13.1,16.4, - 46,360.0, +100,0
111/11/01,512 永靖鄉,LK2 芥藍菜  ,20.0,16.4,12.8,16.4,  -  ,2755.0,  -  ,0
111/11/01,930 台東市,LK2 芥藍菜  ,44.0,31.0,20.0,30.0, -  3,780.0,    0,0
111/11/01,830 鳳山區,LK2 芥藍菜  ,40.7,21.6,17.2,24.6, +  7,1000.0, + 47,0
111/11/01,338 桃　農,LK2 芥藍菜  ,37.9,31.0,24.2,31.1, + 18,509.0, + 50,0
111/11/01,900 屏東市,LK2 芥藍菜  ,42.5,36.9,27.8,36.2, -  7,216.0, + 80,0
111/11/01,109 台北一,LK2 芥藍菜  ,53.8,42.4,26.2,41.5, -  1,2748.0, -  4,0
111/11/01,514 溪湖鎮,LK2 芥藍菜  ,39.6,24.7,10.0,24.8, - 19,295.0, + 48,0
111/11/01,400 台中市,LK2 芥藍菜  ,40.0,29.8,27.7,31.1, +  8,520.0, +113,0
111/11/01,104 台北二,LK2 芥藍菜  ,52.5,34.2,23.2,35.7, +  9,1220.0, - 16,0
111/11/02,104 台北二,LK2 芥藍菜  ,40.1,31.8,18.9,30.9, - 13,1453.0, + 19,0
111/11/02,648 西螺鎮,LK2 芥藍菜  ,42.4,32.3,20.0,30.6, +  4,5663.0, - 10,0
111/11/02,241 三重區,LK2 芥藍菜  ,27.4,21.4,16.6,21.6, + 32,232.0, - 36,0
111/11/02,800 高雄市,LK2 芥藍菜  ,55.0,46.9,40.9,47.3, -  5,860.0, - 39,0
111/11/02,109 台北一,LK2 芥藍菜  ,67.0,44.4,25.1,45.0, +  8,2473.0, - 10,0
111/11/02,338 桃　農,LK2 芥藍菜  ,36.7,29.5,23.7,29.8, -  4,460.0, - 10,0
111/11/02,400 台中市,LK2 芥藍菜  ,38.6,26.4,25.0,27.7, - 11,775.0, + 49,0
111/11/02,514 溪湖鎮,LK2 芥藍菜  ,42.5,30.3,20.0,30.7, + 24,211.0, - 28,0
111/11/02,930 台東市,LK2 芥藍菜  ,42.0,31.0,20.0,30.0,    0,750.0, -  4,0
111/11/02,420 豐原區,LK2 芥藍菜  ,42.8,32.6,20.0,32.1, +  0,340.0, - 23,0
111/11/02,830 鳳山區,LK2 芥藍菜  ,30.6,18.9,14.0,20.3, - 17,1620.0, + 62,0
111/11/02,900 屏東市,LK2 芥藍菜  ,30.0,25.5,22.5,25.5, - 30,100.0, - 54,0
111/11/02,220 板橋區,LK2 芥藍菜  ,40.0,37.5,28.2,36.2, -  1,342.0, +  7,0
111/11/03,220 板橋區,LK2 芥藍菜  ,40.0,39.4,39.0,39.5, +  9,130.0, - 62,0
111/11/03,338 桃　農,LK2 芥藍菜  ,31.0,25.5,15.7,24.6, - 17,520.0, + 13,0
111/11/03,800 高雄市,LK2 芥藍菜  ,55.0,48.7,22.0,44.6, -  6,716.0, - 17,0
111/11/03,420 豐原區,LK2 芥藍菜  ,42.1,32.8,25.0,33.1, +  3,340.0,    0,0
111/11/03,241 三重區,LK2 芥藍菜  ,25.7,13.0,12.0,15.4, - 29,340.0, + 47,0
111/11/03,900 屏東市,LK2 芥藍菜  ,23.5,22.2,20.0,22.0, - 14,120.0, + 20,0
111/11/03,104 台北二,LK2 芥藍菜  ,40.9,29.4,21.5,30.1, -  3,1280.0, - 12,0
111/11/03,648 西螺鎮,LK2 芥藍菜  ,42.5,32.1,20.0,30.7, +  0,5453.0, -  4,0
111/11/03,514 溪湖鎮,LK2 芥藍菜  ,40.8,30.3,20.0,30.4, -  1,200.0, -  5,0
111/11/03,400 台中市,LK2 芥藍菜  ,47.0,34.3,31.0,35.3, + 27,720.0, -  7,0
111/11/03,830 鳳山區,LK2 芥藍菜  ,24.1,18.3,15.0,18.8, -  7,1393.0, - 14,0
111/11/03,930 台東市,LK2 芥藍菜  ,43.0,31.0,20.0,31.0, +  3,780.0, +  4,0
111/11/03,109 台北一,LK2 芥藍菜  ,54.2,27.2,21.1,31.4, - 30,2998.0, + 21,0
111/11/04,900 屏東市,LK2 芥藍菜  ,35.0,23.8,14.0,23.8, +  8,140.0, + 17,0
111/11/04,241 三重區,LK2 芥藍菜  ,21.5,17.8,15.0,17.9, + 16,340.0,    0,0
111/11/04,830 鳳山區,LK2 芥藍菜  ,33.3,15.2,14.1,18.6, -  1,1530.0, + 10,0
111/11/04,338 桃　農,LK2 芥藍菜  ,22.0,16.8,15.0,17.5, - 29,180.0, - 65,0
111/11/04,104 台北二,LK2 芥藍菜  ,44.3,26.2,17.3,28.0, -  7,1680.0, + 31,0
111/11/04,514 溪湖鎮,LK2 芥藍菜  ,42.4,30.4,20.0,30.7, +  1,200.0,    0,0
111/11/04,109 台北一,LK2 芥藍菜  ,54.1,31.0,21.2,33.6, +  7,3170.0, +  6,0
111/11/04,648 西螺鎮,LK2 芥藍菜  ,42.5,32.3,20.0,30.0, -  2,5924.0, +  9,0
111/11/04,400 台中市,LK2 芥藍菜  ,33.8,26.1,18.0,24.4, - 31,693.0, -  4,0
111/11/04,930 台東市,LK2 芥藍菜  ,44.0,31.0,20.0,30.0, -  3,750.0, -  4,0
111/11/04,800 高雄市,LK2 芥藍菜  ,55.0,47.6,26.6,44.9, +  1,1318.0, + 84,0
111/11/04,420 豐原區,LK2 芥藍菜  ,48.0,34.5,17.8,33.9, +  2,460.0, + 35,0
111/11/04,220 板橋區,LK2 芥藍菜  ,39.0,27.0,15.0,27.0, - 32,340.0, +162,0
111/11/05,648 西螺鎮,LK2 芥藍菜  ,45.0,34.5,20.0,32.1, +  7,5119.0, - 14,0
111/11/05,400 台中市,LK2 芥藍菜  ,32.5,16.3,8.0,16.7, - 32,188.0, - 73,0
111/11/05,109 台北一,LK2 芥藍菜  ,46.0,34.6,22.0,34.4, +  2,2114.0, - 33,0
111/11/05,930 台東市,LK2 芥藍菜  ,44.0,31.0,20.0,31.0, +  3,780.0, +  4,0
111/11/05,514 溪湖鎮,LK2 芥藍菜  ,42.5,30.0,20.0,30.5, -  1,220.0, + 10,0
111/11/05,420 豐原區,LK2 芥藍菜  ,38.1,26.7,22.1,28.1, - 17,860.0, + 87,0
111/11/05,830 鳳山區,LK2 芥藍菜  ,23.1,17.7,14.0,18.0, -  3,1730.0, + 13,0
111/11/05,220 板橋區,LK2 芥藍菜  ,29.5,22.0,10.0,21.1, - 22,190.0, - 44,0
111/11/05,900 屏東市,LK2 芥藍菜  ,40.0,40.0,40.0,40.0, + 68,20.0, - 86,0
111/11/05,800 高雄市,LK2 芥藍菜  ,57.8,52.7,48.0,52.8, + 18,520.0, - 61,0
111/11/05,338 桃　農,LK2 芥藍菜  ,30.0,29.2,29.0,29.3, + 67,120.0, - 33,0
111/11/05,104 台北二,LK2 芥藍菜  ,45.2,24.3,18.4,27.3, -  2,1220.0, - 27,0
111/11/05,241 三重區,LK2 芥藍菜  ,30.0,25.0,20.0,25.0, + 40,40.0, - 88,0
111/11/06,220 板橋區,LK2 芥藍菜  ,29.6,29.0,29.0,29.1, + 38,170.0, - 11,0
111/11/06,930 台東市,LK2 芥藍菜  ,42.0,33.0,20.0,32.0, +  3,800.0, +  3,0
111/11/06,514 溪湖鎮,LK2 芥藍菜  ,42.5,30.0,20.0,30.5,    0,220.0,    0,0
111/11/06,900 屏東市,LK2 芥藍菜  ,45.0,42.4,41.0,42.4, +  6,200.0, +900,0
111/11/06,104 台北二,LK2 芥藍菜  ,62.0,27.7,17.5,32.5, + 19,560.0, - 54,0
111/11/06,800 高雄市,LK2 芥藍菜  ,55.0,54.6,53.0,54.4, +  3,310.0, - 40,0
111/11/06,109 台北一,LK2 芥藍菜  ,60.1,42.1,24.7,42.2, + 23,1824.0, - 14,0
