日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/01,104 台北二,LA1 甘藍 初秋 ,35.6,17.4,9.5,19.5, - 11,16573.0, + 31,0
107/11/01,109 台北一,LA1 甘藍 初秋 ,32.5,17.1,10.5,18.8, - 17,45760.0, +  4,0
107/11/01,930 台東市,LA1 甘藍 初秋 ,36.0,26.0,16.0,19.0, -  5,4948.0, -  4,0
107/11/01,220 板橋區,LA1 甘藍 初秋 ,24.8,21.9,13.9,20.9, -  3,6060.0, - 20,0
107/11/01,900 屏東市,LA1 甘藍 初秋 ,21.7,18.0,13.6,17.8, -  4,20876.0, +  4,0
107/11/01,241 三重區,LA1 甘藍 初秋 ,20.0,10.7,6.0,11.6, - 66,300.0, - 65,0
107/11/01,830 鳳山區,LA1 甘藍 初秋 ,23.4,13.8,9.3,14.8, - 14,7870.0, - 13,0
107/11/01,950 花蓮市,LA1 甘藍 初秋 ,41.3,31.9,21.6,31.7, + 10,3350.0, -  5,0
107/11/01,260 宜蘭市,LA1 甘藍 初秋 ,30.0,25.0,12.0,25.0,    0,3850.0, + 15,0
107/11/01,648 西螺鎮,LA1 甘藍 初秋 ,27.6,19.3,10.0,19.1, -  1,191057.0, -  7,0
107/11/01,800 高雄市,LA1 甘藍 初秋 ,28.5,18.5,10.1,18.8, - 11,46000.0, + 10,0
107/11/01,540 南投市,LA1 甘藍 初秋 ,35.0,22.0,16.0,21.22, - 13,1439.0, + 19,0
107/11/01,420 豐原區,LA1 甘藍 初秋 ,23.4,21.5,15.7,20.75, -  1,12210.0, - 23,0
107/11/01,400 台中市,LA1 甘藍 初秋 ,16.0,14.6,12.5,14.5, -  3,5130.0, + 67,0
107/11/01,514 溪湖鎮,LA1 甘藍 初秋 ,24.1,16.3,9.9,16.6, - 11,27977.0, + 65,0
107/11/01,338 桃　農,LA1 甘藍 初秋 ,20.0,20.0,20.0,20.0, - 21,300.0, - 59,0
107/11/02,338 桃　農,LA1 甘藍 初秋 ,21.6,11.9,7.7,13.0, - 35,4310.0, +999,0
107/11/02,420 豐原區,LA1 甘藍 初秋 ,22.5,15.6,12.0,16.26, - 22,12390.0, +  1,0
107/11/02,109 台北一,LA1 甘藍 初秋 ,32.1,17.2,9.8,18.7, -  1,55256.0, + 21,0
107/11/02,930 台東市,LA1 甘藍 初秋 ,36.0,26.0,16.0,19.0,    0,4426.0, - 11,0
107/11/02,220 板橋區,LA1 甘藍 初秋 ,29.2,22.1,10.3,21.1, +  1,6530.0, +  8,0
107/11/02,900 屏東市,LA1 甘藍 初秋 ,21.5,17.1,13.2,17.1, -  4,30389.0, + 46,0
107/11/02,400 台中市,LA1 甘藍 初秋 ,18.7,13.4,8.1,14.0, -  3,13633.0, +166,0
107/11/02,241 三重區,LA1 甘藍 初秋 ,25.8,14.2,9.7,15.6, + 34,5580.0, +999,0
107/11/02,830 鳳山區,LA1 甘藍 初秋 ,21.8,12.9,9.6,14.0, -  5,8770.0, + 11,0
107/11/02,800 高雄市,LA1 甘藍 初秋 ,28.4,18.1,8.2,18.2, -  3,50992.0, + 11,0
107/11/02,540 南投市,LA1 甘藍 初秋 ,27.0,21.0,8.0,20.0, -  6,1092.0, - 24,0
107/11/02,260 宜蘭市,LA1 甘藍 初秋 ,32.0,25.0,12.0,22.0, - 12,3850.0,    0,0
107/11/02,648 西螺鎮,LA1 甘藍 初秋 ,26.6,19.0,10.0,18.6, -  3,193159.0, +  1,0
107/11/02,514 溪湖鎮,LA1 甘藍 初秋 ,23.9,16.2,9.9,16.5, -  1,24920.0, - 11,0
107/11/02,950 花蓮市,LA1 甘藍 初秋 ,39.3,34.5,20.4,32.6, +  3,2195.0, - 34,0
107/11/02,512 永靖鄉,LA1 甘藍 初秋 ,22.0,16.0,13.0,16.2,  -  ,3809.0,  -  ,0
107/11/02,104 台北二,LA1 甘藍 初秋 ,33.8,16.3,11.1,18.8, -  4,22534.0, + 36,0
107/11/03,540 南投市,LA1 甘藍 初秋 ,39.0,19.0,3.0,18.83, -  6,1821.0, + 67,0
107/11/03,800 高雄市,LA1 甘藍 初秋 ,27.1,17.2,6.8,17.1, -  6,53007.0, +  4,0
107/11/03,260 宜蘭市,LA1 甘藍 初秋 ,30.0,20.0,10.0,20.0, -  9,3850.0,    0,0
107/11/03,900 屏東市,LA1 甘藍 初秋 ,19.2,15.5,9.3,15.0, - 12,34892.0, + 15,0
107/11/03,512 永靖鄉,LA1 甘藍 初秋 ,22.0,15.0,12.0,15.7, -  3,4622.0, + 21,0
107/11/03,830 鳳山區,LA1 甘藍 初秋 ,20.3,14.8,9.8,14.9, +  6,10170.0, + 16,0
107/11/03,514 溪湖鎮,LA1 甘藍 初秋 ,22.6,15.7,10.0,16.0, -  3,29673.0, + 19,0
107/11/03,104 台北二,LA1 甘藍 初秋 ,28.0,14.7,10.7,16.5, - 12,44875.0, + 99,0
107/11/03,400 台中市,LA1 甘藍 初秋 ,17.0,12.4,6.8,12.9, -  8,8778.0, - 36,0
107/11/03,109 台北一,LA1 甘藍 初秋 ,29.7,13.3,8.4,15.6, - 17,92073.0, + 67,0
107/11/03,648 西螺鎮,LA1 甘藍 初秋 ,23.7,18.9,10.0,18.0, -  3,207256.0, +  7,0
107/11/03,420 豐原區,LA1 甘藍 初秋 ,22.3,19.7,9.5,18.21, + 12,13580.0, + 10,0
107/11/03,241 三重區,LA1 甘藍 初秋 ,24.1,14.7,8.2,15.3, -  2,12291.0, +120,0
107/11/03,930 台東市,LA1 甘藍 初秋 ,35.0,25.0,15.0,19.0,    0,3995.0, - 10,0
107/11/03,220 板橋區,LA1 甘藍 初秋 ,28.8,18.2,12.1,19.1, -  9,16860.0, +158,0
107/11/03,338 桃　農,LA1 甘藍 初秋 ,25.0,24.0,22.0,23.8, + 83,1500.0, - 65,0
107/11/03,950 花蓮市,LA1 甘藍 初秋 ,22.9,14.8,8.7,15.2, - 53,5151.5, +135,0
107/11/04,420 豐原區,LA1 甘藍 初秋 ,20.0,14.5,8.4,14.36, - 21,10820.0, - 20,0
107/11/04,104 台北二,LA1 甘藍 初秋 ,27.0,13.7,9.9,15.6, -  5,49924.0, + 11,0
107/11/04,241 三重區,LA1 甘藍 初秋 ,13.0,9.0,6.9,9.4, - 39,16370.0, + 33,0
107/11/04,514 溪湖鎮,LA1 甘藍 初秋 ,21.7,14.7,9.9,15.1, -  6,23320.0, - 21,0
107/11/04,930 台東市,LA1 甘藍 初秋 ,36.0,28.0,15.0,20.0, +  5,6902.0, + 73,0
107/11/04,220 板橋區,LA1 甘藍 初秋 ,20.8,13.7,7.2,13.8, - 28,19942.0, + 18,0
107/11/04,338 桃　農,LA1 甘藍 初秋 ,22.0,20.7,20.0,20.8, - 13,1350.0, - 10,0
107/11/04,540 南投市,LA1 甘藍 初秋 ,35.0,16.0,6.0,15.06, - 20,2532.0, + 39,0
107/11/04,400 台中市,LA1 甘藍 初秋 ,16.9,11.8,8.2,12.1, -  6,16477.0, + 88,0
107/11/04,800 高雄市,LA1 甘藍 初秋 ,25.9,16.8,9.1,17.1,    0,45656.0, - 14,0
107/11/04,109 台北一,LA1 甘藍 初秋 ,29.5,13.9,10.3,16.3, +  4,98851.0, +  7,0
107/11/04,900 屏東市,LA1 甘藍 初秋 ,18.8,14.1,8.7,14.0, -  7,32022.0, -  8,0
107/11/04,830 鳳山區,LA1 甘藍 初秋 ,17.6,12.5,7.9,12.6, - 15,10980.0, +  8,0
