日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
112/11/01,900 屏東市,LB1 小白菜 土白菜 ,16.8,11.1,5.8,11.1, - 32,4135.0, + 42,0
112/11/01,420 豐原區,LB1 小白菜 土白菜 ,22.7,15.0,9.5,15.5, -  2,780.0, +105,0
112/11/01,400 台中市,LB1 小白菜 土白菜 ,18.3,14.0,5.7,11.5, -  7,651.0, - 19,0
112/11/01,648 西螺鎮,LB12 小白菜 土白菜 未洗,26.0,19.5,10.0,19.3, -  4,9647.0, - 11,0
112/11/01,540 南投市,LB1 小白菜 土白菜 ,35.0,22.0,18.0,21.82, +  0,102.0, - 22,0
112/11/01,800 高雄市,LB1 小白菜 土白菜 ,38.0,33.5,15.0,30.7, +  6,4870.0, - 33,0
112/11/01,514 溪湖鎮,LB1 小白菜 土白菜 ,30.1,18.8,12.5,19.8, - 12,429.0, + 43,0
112/11/01,220 板橋區,LB1 小白菜 土白菜 ,27.4,20.5,7.0,19.1, - 31,1801.0, - 15,0
112/11/01,338 桃　農,LB1 小白菜 土白菜 ,20.3,14.2,5.3,13.7, - 26,1228.0, - 20,0
112/11/01,104 台北二,LB12 小白菜 土白菜 未洗,26.0,18.8,11.4,18.7, - 28,2118.0, +  1,0
112/11/01,830 鳳山區,LB1 小白菜 土白菜 ,20.0,14.9,13.0,15.6, - 12,1980.0, +  3,0
112/11/01,241 三重區,LB1 小白菜 土白菜 ,24.1,11.4,6.2,12.9, -  6,928.0, - 41,0
112/11/01,109 台北一,LB12 小白菜 土白菜 未洗,44.0,20.0,10.6,22.9, -  8,5894.0, - 20,0
112/11/02,220 板橋區,LB1 小白菜 土白菜 ,52.4,16.8,3.0,21.2, + 11,1404.3, - 22,0
112/11/02,514 溪湖鎮,LB1 小白菜 土白菜 ,27.8,18.8,12.5,19.3, -  3,448.0, +  4,0
112/11/02,420 豐原區,LB1 小白菜 土白菜 ,19.0,11.9,5.0,11.9, - 23,780.0,    0,0
112/11/02,241 三重區,LB1 小白菜 土白菜 ,20.1,12.9,6.7,13.1, +  2,812.0, - 13,0
112/11/02,930 台東市,LB1 小白菜 土白菜 ,45.0,15.0,10.0,22.0,  -  ,650.0,  -  ,0
112/11/02,400 台中市,LB1 小白菜 土白菜 ,18.3,11.4,7.0,10.6, -  8,478.0, - 27,0
112/11/02,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.7,17.1,10.0,17.9, -  7,10441.0, +  8,0
112/11/02,900 屏東市,LB1 小白菜 土白菜 ,18.5,11.3,5.3,11.3, +  2,2583.0, - 38,0
112/11/02,800 高雄市,LB1 小白菜 土白菜 ,36.2,29.4,10.8,27.0, - 12,4110.0, - 16,0
112/11/02,104 台北二,LB12 小白菜 土白菜 未洗,20.3,12.3,5.9,12.6, - 33,2625.0, + 24,0
112/11/02,830 鳳山區,LB1 小白菜 土白菜 ,19.3,15.8,14.0,16.1, +  3,1810.0, -  9,0
112/11/02,109 台北一,LB12 小白菜 土白菜 未洗,33.7,13.6,5.5,16.0, - 30,8546.0, + 45,0
112/11/02,338 桃　農,LB1 小白菜 土白菜 ,21.3,13.9,8.1,14.2, +  4,900.0, - 27,0
112/11/03,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.0,17.1,10.0,17.4, -  3,12154.0, + 16,0
112/11/03,800 高雄市,LB1 小白菜 土白菜 ,34.0,26.8,19.6,26.8, -  1,5270.0, + 28,0
112/11/03,830 鳳山區,LB1 小白菜 土白菜 ,16.0,14.3,11.0,14.0, - 13,2120.0, + 17,0
112/11/03,109 台北一,LB12 小白菜 土白菜 未洗,33.5,13.1,4.7,15.5, -  3,6323.0, - 26,0
112/11/03,241 三重區,LB1 小白菜 土白菜 ,13.6,9.5,6.1,9.6, - 27,888.0, +  9,0
112/11/03,514 溪湖鎮,LB1 小白菜 土白菜 ,26.0,18.0,10.0,18.0, -  7,448.0,    0,0
112/11/03,420 豐原區,LB1 小白菜 土白菜 ,20.3,11.9,5.6,12.3, +  3,760.0, -  3,0
112/11/03,540 南投市,LB1 小白菜 土白菜 ,27.0,25.0,22.0,24.26,  -  ,106.0,  -  ,0
112/11/03,400 台中市,LB1 小白菜 土白菜 ,17.0,11.1,5.0,9.8, -  8,800.0, + 67,0
112/11/03,104 台北二,LB12 小白菜 土白菜 未洗,20.5,14.4,7.1,14.1, + 12,2272.0, - 13,0
112/11/03,900 屏東市,LB1 小白菜 土白菜 ,15.8,9.1,5.0,9.1, - 19,2057.0, - 20,0
112/11/03,220 板橋區,LB1 小白菜 土白菜 ,61.2,17.6,5.0,23.8, + 12,1329.5, -  5,0
112/11/03,338 桃　農,LB1 小白菜 土白菜 ,16.1,7.9,5.0,8.9, - 37,2320.0, +158,0
112/11/03,930 台東市,LB1 小白菜 土白菜 ,45.0,10.0,10.0,20.0, -  9,681.0, +  5,0
112/11/04,420 豐原區,LB1 小白菜 土白菜 ,17.8,13.2,7.1,12.9, +  5,680.0, - 11,0
112/11/04,338 桃　農,LB1 小白菜 土白菜 ,11.2,9.2,4.4,8.6, -  3,1406.0, - 39,0
112/11/04,109 台北一,LB12 小白菜 土白菜 未洗,30.6,16.1,4.9,16.8, +  8,4688.0, - 26,0
112/11/04,540 南投市,LB1 小白菜 土白菜 ,25.0,19.0,16.0,18.29, - 25,106.0,    0,0
112/11/04,220 板橋區,LB1 小白菜 土白菜 ,41.4,15.7,6.5,19.0, - 20,1404.0, +  6,0
112/11/04,104 台北二,LB12 小白菜 土白菜 未洗,26.6,17.5,10.7,18.0, + 28,1707.0, - 25,0
112/11/04,800 高雄市,LB1 小白菜 土白菜 ,35.0,27.0,19.3,27.1, +  1,5670.0, +  8,0
112/11/04,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.0,16.9,10.0,16.6, -  5,9983.0, - 18,0
112/11/04,900 屏東市,LB1 小白菜 土白菜 ,19.5,12.3,7.3,12.3, + 35,1003.0, - 51,0
112/11/04,241 三重區,LB1 小白菜 土白菜 ,17.7,7.7,3.0,8.8, -  8,554.0, - 38,0
112/11/04,830 鳳山區,LB1 小白菜 土白菜 ,18.6,14.6,14.1,15.3, +  9,1670.0, - 21,0
112/11/04,400 台中市,LB1 小白菜 土白菜 ,13.5,9.3,5.0,10.3, +  5,249.0, - 69,0
112/11/04,930 台東市,LB1 小白菜 土白菜 ,45.0,15.0,10.0,22.0, + 10,517.0, - 24,0
112/11/04,514 溪湖鎮,LB1 小白菜 土白菜 ,20.7,16.0,10.0,15.7, - 13,447.0, -  0,0
112/11/05,930 台東市,LB1 小白菜 土白菜 ,40.0,20.0,20.0,25.0, + 14,607.0, + 17,0
112/11/05,800 高雄市,LB1 小白菜 土白菜 ,34.8,26.1,19.5,26.5, -  2,4250.0, - 25,0
112/11/05,241 三重區,LB1 小白菜 土白菜 ,25.9,12.7,6.8,14.2, + 61,455.0, - 18,0
112/11/05,220 板橋區,LB1 小白菜 土白菜 ,40.7,24.5,10.4,24.9, + 31,1366.0, -  3,0
112/11/05,104 台北二,LB12 小白菜 土白菜 未洗,20.8,18.9,12.2,18.0,    0,1396.0, - 18,0
112/11/05,900 屏東市,LB1 小白菜 土白菜 ,26.7,21.3,13.7,20.9, + 70,1063.0, +  6,0
112/11/05,400 台中市,LB1 小白菜 土白菜 ,15.0,11.0,7.5,10.8, +  5,200.0, - 20,0
112/11/05,540 南投市,LB1 小白菜 土白菜 ,25.0,18.0,5.0,17.07, -  7,92.0, - 13,0
112/11/05,420 豐原區,LB1 小白菜 土白菜 ,19.9,12.9,7.1,13.1, +  2,1180.0, + 74,0
112/11/05,109 台北一,LB12 小白菜 土白菜 未洗,30.7,20.6,6.4,19.8, + 18,3390.0, - 28,0
112/11/05,830 鳳山區,LB1 小白菜 土白菜 ,19.2,14.5,13.1,15.2, -  1,1870.0, + 12,0
112/11/05,338 桃　農,LB1 小白菜 土白菜 ,10.1,10.0,5.4,9.1, +  6,760.0, - 46,0
112/11/05,514 溪湖鎮,LB1 小白菜 土白菜 ,20.0,15.9,10.0,15.6, -  1,447.0,    0,0
112/11/06,514 溪湖鎮,LB1 小白菜 土白菜 ,20.0,15.9,10.0,15.6,    0,479.0, +  7,0
112/11/06,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.0,17.0,10.0,16.7, +  1,11532.0, + 16,0
112/11/07,420 豐原區,LB1 小白菜 土白菜 ,21.5,16.5,12.1,16.6, + 27,864.0, - 27,0
112/11/07,930 台東市,LB1 小白菜 土白菜 ,45.0,13.0,13.0,22.0, - 12,847.0, + 40,0
112/11/07,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.0,16.8,10.0,16.1, -  4,9430.0, - 18,0
112/11/07,109 台北一,LB12 小白菜 土白菜 未洗,33.4,27.0,13.5,25.6, + 29,4110.0, + 21,0
112/11/07,400 台中市,LB1 小白菜 土白菜 ,17.0,10.7,6.0,9.0, - 17,344.0, + 72,0
112/11/07,104 台北二,LB12 小白菜 土白菜 未洗,29.7,19.9,11.1,20.1, + 12,1618.0, + 16,0
112/11/07,241 三重區,LB1 小白菜 土白菜 ,14.2,9.0,5.0,9.3, - 35,1002.0, +120,0
112/11/07,900 屏東市,LB1 小白菜 土白菜 ,23.5,19.4,7.9,17.9, - 14,1671.0, + 57,0
112/11/07,220 板橋區,LB1 小白菜 土白菜 ,38.1,19.3,6.8,20.6, - 17,1709.5, + 25,0
112/11/07,338 桃　農,LB1 小白菜 土白菜 ,10.4,7.0,5.4,7.4, - 19,1400.0, + 84,0
112/11/07,800 高雄市,LB1 小白菜 土白菜 ,34.4,27.2,20.0,27.2, +  3,5370.0, + 26,0
112/11/07,830 鳳山區,LB1 小白菜 土白菜 ,24.6,17.0,9.4,17.0, + 12,1770.0, -  5,0
112/11/07,514 溪湖鎮,LB1 小白菜 土白菜 ,20.0,15.8,10.0,15.5, -  1,500.0, +  4,0
112/11/07,540 南投市,LB1 小白菜 土白菜 ,25.0,18.0,10.0,17.44, +  2,103.0, + 12,0
112/11/08,241 三重區,LB1 小白菜 土白菜 ,30.0,20.8,3.0,19.1, +105,374.0, - 63,0
112/11/08,400 台中市,LB1 小白菜 土白菜 ,19.5,10.8,7.5,9.9, + 10,359.0, +  4,0
112/11/08,514 溪湖鎮,LB1 小白菜 土白菜 ,20.0,15.8,10.0,15.5,    0,501.0, +  0,0
112/11/08,900 屏東市,LB1 小白菜 土白菜 ,19.9,15.7,8.8,15.2, - 15,2092.0, + 25,0
112/11/08,338 桃　農,LB1 小白菜 土白菜 ,18.4,11.8,8.6,12.5, + 69,626.0, - 55,0
112/11/08,420 豐原區,LB1 小白菜 土白菜 ,20.6,11.2,5.0,11.8, - 29,470.0, - 46,0
112/11/08,220 板橋區,LB1 小白菜 土白菜 ,61.4,44.8,15.7,42.3, +105,2446.9, + 43,0
112/11/08,930 台東市,LB1 小白菜 土白菜 ,45.0,20.0,15.0,25.0, + 14,752.0, - 11,0
112/11/08,104 台北二,LB12 小白菜 土白菜 未洗,25.0,17.7,12.0,18.0, - 10,1676.0, +  4,0
112/11/08,540 南投市,LB1 小白菜 土白菜 ,17.0,15.0,10.0,14.81, - 15,126.0, + 22,0
112/11/08,800 高雄市,LB1 小白菜 土白菜 ,35.0,25.2,13.2,24.7, -  9,4140.0, - 23,0
112/11/08,109 台北一,LB12 小白菜 土白菜 未洗,36.1,23.4,13.7,24.0, -  6,4880.0, + 19,0
112/11/08,830 鳳山區,LB1 小白菜 土白菜 ,20.0,15.1,13.1,15.7, -  8,1860.0, +  5,0
112/11/08,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.0,17.1,10.0,17.2, +  7,10393.0, + 10,0
112/11/09,648 西螺鎮,LB12 小白菜 土白菜 未洗,20.0,17.3,10.0,17.6, +  2,10660.0, +  3,0
112/11/09,514 溪湖鎮,LB1 小白菜 土白菜 ,20.0,15.7,10.0,15.4, -  1,500.0, -  0,0
112/11/09,900 屏東市,LB1 小白菜 土白菜 ,19.7,14.8,8.8,14.6, -  4,1538.0, - 26,0
