日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/01,104 台北二,LG2 芹菜 白梗 ,52.2,39.0,13.9,36.6, -  7,3789.0, +  7,0
107/11/01,241 三重區,LG2 芹菜 白梗 ,23.0,15.4,10.4,15.9, - 18,1160.0, -  5,0
107/11/01,400 台中市,LG2 芹菜 白梗 ,39.4,18.0,11.3,22.3, -  9,1380.0, + 15,0
107/11/01,800 高雄市,LG2 芹菜 白梗 ,74.2,50.1,20.0,48.9, +  1,2478.0, +  8,0
107/11/01,930 台東市,LG2 芹菜 白梗 ,60.0,40.0,20.0,40.0,    0,220.0, + 10,0
107/11/01,338 桃　農,LG2 芹菜 白梗 ,37.1,27.1,10.0,25.7, - 24,1661.0, + 17,0
107/11/01,648 西螺鎮,LG2 芹菜 白梗 ,50.0,39.6,20.0,36.7, -  1,10702.0, -  5,0
107/11/01,260 宜蘭市,LG2 芹菜 白梗 ,40.0,30.0,10.0,30.0,  -  ,2360.0,  -  ,0
107/11/01,830 鳳山區,LG2 芹菜 白梗 ,29.6,23.0,13.0,22.4, + 72,280.0, - 22,0
107/11/01,220 板橋區,LG2 芹菜 白梗 ,33.0,31.7,16.8,29.0, -  7,2037.0, +  1,0
107/11/01,420 豐原區,LG2 芹菜 白梗 ,37.0,28.0,14.5,27.12, + 34,1980.0, + 41,0
107/11/01,109 台北一,LG2 芹菜 白梗 ,58.5,36.5,22.0,38.0, + 11,7754.0, - 16,0
107/11/02,241 三重區,LG2 芹菜 白梗 ,23.7,14.3,10.5,15.4, -  3,756.0, - 35,0
107/11/02,930 台東市,LG2 芹菜 白梗 ,60.0,40.0,20.0,40.0,    0,160.0, - 27,0
107/11/02,648 西螺鎮,LG2 芹菜 白梗 ,50.0,39.7,20.0,36.8, +  0,10886.0, +  2,0
107/11/02,220 板橋區,LG2 芹菜 白梗 ,35.0,31.6,11.8,28.3, -  2,1843.0, - 10,0
107/11/02,420 豐原區,LG2 芹菜 白梗 ,35.0,22.6,11.0,22.76, - 16,2280.0, + 15,0
107/11/02,830 鳳山區,LG2 芹菜 白梗 ,14.8,14.2,12.3,14.0, - 37,120.0, - 57,0
107/11/02,260 宜蘭市,LG2 芹菜 白梗 ,40.0,30.0,10.0,30.0,    0,2350.0, -  0,0
107/11/02,338 桃　農,LG2 芹菜 白梗 ,41.8,31.4,10.0,29.2, + 14,1082.0, - 35,0
107/11/02,800 高雄市,LG2 芹菜 白梗 ,66.7,33.5,14.3,36.3, - 26,3770.0, + 52,0
107/11/02,400 台中市,LG2 芹菜 白梗 ,43.4,21.1,14.4,22.9, +  3,1240.0, - 10,0
107/11/02,104 台北二,LG2 芹菜 白梗 ,49.6,36.1,17.0,35.0, -  4,4206.0, + 11,0
107/11/02,109 台北一,LG2 芹菜 白梗 ,54.5,36.1,19.8,36.5, -  4,8380.0, +  8,0
107/11/03,930 台東市,LG2 芹菜 白梗 ,60.0,40.0,20.0,40.0,    0,260.0, + 63,0
107/11/03,338 桃　農,LG2 芹菜 白梗 ,38.7,32.2,22.8,31.6, +  8,1635.0, + 51,0
107/11/03,800 高雄市,LG2 芹菜 白梗 ,64.4,29.9,11.3,33.0, -  9,3658.0, -  3,0
107/11/03,241 三重區,LG2 芹菜 白梗 ,26.5,13.4,10.0,15.3, -  1,1236.0, + 63,0
107/11/03,109 台北一,LG2 芹菜 白梗 ,52.5,36.5,19.6,36.3, -  1,10047.0, + 20,0
107/11/03,220 板橋區,LG2 芹菜 白梗 ,34.0,30.6,11.6,27.5, -  3,1854.0, +  1,0
