日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/01,109 台北一,LL1 茼蒿  ,117.3,68.2,52.1,74.8, +  1,700.0, +  9,0
113/11/01,220 板橋區,LL1 茼蒿  ,120.0,98.1,56.8,94.2, - 11,155.0, - 30,0
113/11/01,104 台北二,LL1 茼蒿  ,110.0,105.4,105.0,106.2, + 94,122.0, - 80,0
113/11/01,241 三重區,LL1 茼蒿  ,56.4,47.3,40.0,47.6, - 12,220.0, +  2,0
113/11/01,648 西螺鎮,LL1 茼蒿  ,130.0,100.0,50.0,96.3,  -  ,164.0,  -  ,0
113/11/02,109 台北一,LL1 茼蒿  ,110.0,97.0,72.2,94.6, + 26,240.0, - 66,0
113/11/02,648 西螺鎮,LL1 茼蒿  ,150.0,117.6,60.0,112.9, + 17,184.0, + 12,0
113/11/02,220 板橋區,LL1 茼蒿  ,101.0,92.3,75.0,90.6, -  4,50.0, - 68,0
113/11/02,104 台北二,LL1 茼蒿  ,125.0,124.2,110.0,121.5, + 14,130.0, +  7,0
113/11/03,900 屏東市,LL1 茼蒿  ,70.0,58.9,41.9,57.7,  -  ,170.0,  -  ,0
113/11/03,420 豐原區,LL1 茼蒿  ,50.0,44.6,38.0,44.3,  -  ,108.0,  -  ,0
113/11/03,104 台北二,LL1 茼蒿  ,103.3,40.4,37.3,52.4, - 57,450.0, +246,0
113/11/03,400 台中市,LL1 茼蒿  ,45.0,36.2,28.5,36.0,  -  ,151.0,  -  ,0
113/11/03,109 台北一,LL1 茼蒿  ,118.6,41.2,21.0,52.6, - 44,1160.0, +383,0
113/11/03,220 板橋區,LL1 茼蒿  ,110.0,66.4,25.9,67.1, - 26,264.0, +428,0
113/11/03,800 高雄市,LL1 茼蒿  ,25.0,23.9,20.0,23.33,  -  ,108.0,  -  ,0
113/11/03,338 桃　農,LL1 茼蒿  ,60.0,59.6,55.0,58.8,  -  ,144.0,  -  ,0
113/11/04,648 西螺鎮,LL1 茼蒿  ,150.0,120.0,60.0,114.0, +  1,450.0, +145,0
113/11/05,241 三重區,LL1 茼蒿  ,16.0,16.0,16.0,16.0,  -  ,50.0,  -  ,0
113/11/05,800 高雄市,LL1 茼蒿  ,55.0,31.8,25.0,35.05, + 50,148.0, + 37,0
113/11/05,900 屏東市,LL1 茼蒿  ,58.3,58.3,58.3,58.3, +  1,24.0, - 86,0
113/11/05,338 桃　農,LL1 茼蒿  ,60.0,51.7,35.0,50.0, - 15,144.0,    0,0
113/11/05,648 西螺鎮,LL1 茼蒿  ,150.0,120.0,60.0,114.0,    0,570.0, + 27,0
113/11/05,109 台北一,LL1 茼蒿  ,113.4,43.1,19.6,52.5, -  0,825.0, - 29,0
113/11/05,220 板橋區,LL1 茼蒿  ,113.0,110.3,84.6,105.7, + 58,276.0, +  5,0
113/11/05,830 鳳山區,LL1 茼蒿  ,75.6,63.3,54.5,64.0,  -  ,200.0,  -  ,0
113/11/05,104 台北二,LL1 茼蒿  ,66.9,22.3,12.3,29.2, - 44,650.0, + 44,0
113/11/06,830 鳳山區,LL1 茼蒿  ,91.1,37.8,28.8,46.7, - 27,360.0, + 80,0
113/11/06,338 桃　農,LL1 茼蒿  ,20.0,20.0,20.0,20.0, - 60,30.0, - 79,0
113/11/06,220 板橋區,LL1 茼蒿  ,83.0,78.0,78.0,79.0, - 25,170.0, - 38,0
113/11/06,109 台北一,LL1 茼蒿  ,134.4,46.3,10.0,56.7, +  8,880.0, +  7,0
113/11/06,648 西螺鎮,LL1 茼蒿  ,150.0,120.0,60.0,114.0,    0,730.0, + 28,0
113/11/06,104 台北二,LL1 茼蒿  ,110.0,65.9,43.1,70.2, +140,247.0, - 62,0
113/11/06,400 台中市,LL1 茼蒿  ,10.0,10.0,10.0,10.0,  -  ,20.0,  -  ,0
113/11/06,800 高雄市,LL1 茼蒿  ,52.0,50.1,30.0,46.44, + 32,90.0, - 39,0
113/11/06,900 屏東市,LL1 茼蒿  ,96.7,58.3,33.3,58.3,    0,150.0, +525,0
113/11/07,241 三重區,LL1 茼蒿  ,113.6,86.0,82.0,90.7,  -  ,140.0,  -  ,0
113/11/07,220 板橋區,LL1 茼蒿  ,113.6,109.0,69.0,101.9, + 29,345.0, +103,0
113/11/07,400 台中市,LL1 茼蒿  ,81.0,81.0,81.0,81.0, +710,100.0, +400,0
113/11/07,800 高雄市,LL1 茼蒿  ,92.9,50.0,50.0,58.57, + 26,70.0, - 22,0
113/11/07,900 屏東市,LL1 茼蒿  ,72.9,62.6,60.0,62.6, +  7,70.0, - 53,0
113/11/07,109 台北一,LL1 茼蒿  ,167.5,142.7,116.4,142.4, +151,868.0, -  1,0
113/11/07,338 桃　農,LL1 茼蒿  ,118.0,118.0,118.0,118.0, +490,100.0, +233,0
113/11/07,104 台北二,LL1 茼蒿  ,144.0,102.7,66.4,103.7, + 48,250.0, +  1,0
113/11/07,420 豐原區,LL1 茼蒿  ,117.0,97.9,90.0,100.1,  -  ,80.0,  -  ,0
113/11/07,648 西螺鎮,LL1 茼蒿  ,150.0,120.0,60.0,114.0,    0,900.0, + 23,0
113/11/08,104 台北二,LL1 茼蒿  ,142.7,105.4,69.6,105.7, +  2,423.0, + 69,0
113/11/08,241 三重區,LL1 茼蒿  ,110.0,87.3,47.5,83.9, -  7,200.0, + 43,0
113/11/08,220 板橋區,LL1 茼蒿  ,130.0,128.1,95.5,121.9, + 20,492.0, + 43,0
113/11/08,900 屏東市,LL1 茼蒿  ,130.0,126.7,120.0,126.0, +101,50.0, - 29,0
113/11/08,338 桃　農,LL1 茼蒿  ,105.0,93.9,65.6,90.5, - 23,348.0, +248,0
113/11/08,420 豐原區,LL1 茼蒿  ,105.0,103.6,95.0,102.1, +  2,70.0, - 13,0
113/11/08,109 台北一,LL1 茼蒿  ,145.1,89.6,47.7,92.3, - 35,1519.0, + 75,0
113/11/08,800 高雄市,LL1 茼蒿  ,138.6,79.3,70.0,89.29, + 52,70.0,    0,0
113/11/08,400 台中市,LL1 茼蒿  ,104.5,84.8,65.0,88.6, +  9,156.0, + 56,0
113/11/08,648 西螺鎮,LL1 茼蒿  ,150.0,120.0,60.0,114.0,    0,1020.0, + 13,0
113/11/09,900 屏東市,LL1 茼蒿  ,116.7,108.0,100.0,108.0, - 14,168.0, +236,0
113/11/09,338 桃　農,LL1 茼蒿  ,155.0,152.8,145.0,151.7, + 68,180.0, - 48,0
113/11/09,109 台北一,LL1 茼蒿  ,186.8,143.2,81.9,139.6, + 51,905.0, - 40,0
113/11/09,648 西螺鎮,LL1 茼蒿  ,159.4,120.0,60.0,115.9, +  2,1410.0, + 38,0
113/11/09,800 高雄市,LL1 茼蒿  ,166.9,146.0,95.0,140.0, + 57,119.0, + 70,0
