日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/01,800 高雄市,LH2 菠菜 角葉 ,110.0,91.4,63.1,89.48, + 16,770.0, - 78,0
113/11/01,260 宜蘭市,LH1 菠菜 圓葉 ,125.0,60.0,40.0,60.0,  -  ,1450.0,  -  ,0
113/11/01,241 三重區,LH2 菠菜 角葉 ,41.0,41.0,41.0,41.0, - 14,48.0, - 97,0
113/11/01,800 高雄市,LH1 菠菜 圓葉 ,110.0,91.4,77.0,92.22, +  4,466.0, +  8,0
113/11/01,104 台北二,LH2 菠菜 角葉 ,120.0,51.0,8.0,56.2, + 49,218.0, - 94,0
113/11/01,104 台北二,LH1 菠菜 圓葉 ,91.8,64.0,51.3,67.0, + 20,1741.0, - 58,0
113/11/01,420 豐原區,LH1 菠菜 圓葉 ,114.0,75.4,66.7,81.4, - 21,126.0, + 75,0
113/11/01,420 豐原區,LH2 菠菜 角葉 ,84.5,69.1,36.9,65.8, + 10,880.0, +120,0
113/11/01,830 鳳山區,LH1 菠菜 圓葉 ,58.7,28.8,20.0,33.0, +  6,970.0, + 24,0
113/11/01,220 板橋區,LH1 菠菜 圓葉 ,110.0,95.9,83.1,96.2, +  3,210.0, - 51,0
113/11/01,220 板橋區,LH2 菠菜 角葉 ,32.0,29.1,28.7,29.6, - 30,273.0, - 89,0
113/11/01,241 三重區,LH1 菠菜 圓葉 ,70.0,67.6,59.0,66.4, + 36,253.0, - 71,0
113/11/01,400 台中市,LH1 菠菜 圓葉 ,72.0,63.2,32.5,59.9, -  1,199.0, - 38,0
113/11/01,109 台北一,LH1 菠菜 圓葉 ,136.3,66.3,39.0,74.8, + 26,2241.0, - 55,0
113/11/01,900 屏東市,LH1 菠菜 圓葉 ,56.5,27.8,15.0,27.8, - 13,768.0, - 26,0
113/11/01,900 屏東市,LH2 菠菜 角葉 ,61.1,58.8,48.0,57.1, - 13,176.0, - 93,0
113/11/01,338 桃　農,LH1 菠菜 圓葉 ,109.1,60.7,54.9,69.2, - 23,295.0, + 18,0
113/11/02,109 台北一,LH2 菠菜 角葉 ,54.8,23.4,10.2,27.0,  -  ,630.0,  -  ,0
113/11/02,830 鳳山區,LH1 菠菜 圓葉 ,43.1,28.0,18.2,29.1, - 12,950.0, -  2,0
113/11/02,900 屏東市,LH1 菠菜 圓葉 ,41.9,20.4,15.0,20.4, - 27,458.0, - 40,0
113/11/02,900 屏東市,LH2 菠菜 角葉 ,129.9,49.5,13.3,49.5, - 13,305.0, + 73,0
113/11/02,104 台北二,LH2 菠菜 角葉 ,110.0,99.5,8.6,83.4, + 48,288.0, + 32,0
113/11/02,104 台北二,LH1 菠菜 圓葉 ,129.3,86.2,73.8,92.3, + 38,815.0, - 53,0
113/11/02,338 桃　農,LH1 菠菜 圓葉 ,158.0,154.4,150.0,154.2, +123,76.0, - 74,0
113/11/02,648 西螺鎮,LH2 菠菜 角葉 ,115.0,90.0,50.0,87.0,  -  ,2920.0,  -  ,0
113/11/02,109 台北一,LH1 菠菜 圓葉 ,136.8,104.9,63.7,103.1, + 38,1674.0, - 25,0
113/11/02,220 板橋區,LH2 菠菜 角葉 ,120.0,115.0,110.0,115.0, +289,80.0, - 71,0
113/11/02,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,  -  ,60.0,  -  ,0
113/11/02,540 南投市,LH2 菠菜 角葉 ,95.0,80.0,40.0,79.42,  -  ,74.0,  -  ,0
113/11/02,420 豐原區,LH2 菠菜 角葉 ,88.0,71.9,42.0,69.1, +  5,360.0, - 59,0
113/11/02,220 板橋區,LH1 菠菜 圓葉 ,102.0,99.8,72.0,94.7, -  2,276.0, + 31,0
113/11/02,420 豐原區,LH1 菠菜 圓葉 ,90.0,90.0,90.0,90.0, + 11,36.0, - 71,0
113/11/02,241 三重區,LH1 菠菜 圓葉 ,130.0,123.3,100.0,120.0, + 81,54.0, - 79,0
113/11/02,800 高雄市,LH1 菠菜 圓葉 ,110.0,99.8,80.0,97.87, +  6,376.0, - 19,0
113/11/02,800 高雄市,LH2 菠菜 角葉 ,117.8,91.7,44.9,87.58, -  2,513.0, - 33,0
113/11/03,420 豐原區,LH1 菠菜 圓葉 ,80.0,80.0,80.0,80.0, - 11,36.0,    0,0
113/11/03,400 台中市,LH1 菠菜 圓葉 ,69.0,44.4,20.0,42.0,  -  ,370.0,  -  ,0
113/11/03,400 台中市,LH2 菠菜 角葉 ,75.0,73.0,71.0,73.8,  -  ,58.0,  -  ,0
113/11/03,800 高雄市,LH2 菠菜 角葉 ,110.0,88.9,68.2,88.95, +  2,957.0, + 87,0
113/11/03,900 屏東市,LH2 菠菜 角葉 ,168.5,97.8,26.0,97.6, + 97,234.0, - 23,0
113/11/03,900 屏東市,LH1 菠菜 圓葉 ,67.4,37.1,15.0,37.1, + 82,807.0, + 76,0
113/11/03,800 高雄市,LH1 菠菜 圓葉 ,119.4,94.0,65.6,93.38, -  5,427.0, + 14,0
113/11/03,104 台北二,LH1 菠菜 圓葉 ,125.0,88.9,60.8,90.5, -  2,1613.0, + 98,0
113/11/03,220 板橋區,LH2 菠菜 角葉 ,160.0,77.4,50.0,88.4, - 23,140.0, + 75,0
113/11/03,241 三重區,LH2 菠菜 角葉 ,90.0,90.0,90.0,90.0,  -  ,40.0,  -  ,0
113/11/03,338 桃　農,LH1 菠菜 圓葉 ,142.0,110.4,100.0,114.7, - 26,176.0, +132,0
113/11/03,830 鳳山區,LH1 菠菜 圓葉 ,54.0,29.8,20.0,32.7, + 12,980.0, +  3,0
113/11/03,104 台北二,LH2 菠菜 角葉 ,116.3,77.0,37.4,77.0, -  8,381.0, + 32,0
113/11/03,241 三重區,LH1 菠菜 圓葉 ,136.0,112.2,82.3,111.0, -  8,300.0, +456,0
113/11/03,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,64.0, +  7,0
