觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,日照時數(hour),TxSoil10cm
2021-09-01,1009.3,1010.5,2021-09-01 22:27:00,1007.2,2021-09-01 15:03:00,28.9,34.4,2021-09-01 14:18:00,25.5,2021-09-01 05:15:00,85.0,59.0,2021-09-01 14:19:00,1.1,139.0,6.2,285.0,2021-09-01 14:43:00,0.0,,,,,,,,
2021-09-02,1008.3,1010.3,2021-09-03 00:00:00,1005.7,2021-09-02 16:45:00,28.6,33.3,2021-09-02 13:31:00,25.6,2021-09-02 04:37:00,85.0,63.0,2021-09-02 15:40:00,1.0,146.0,5.5,279.0,2021-09-02 12:42:00,0.0,,,,,,,,
2021-09-03,1007.0,1008.8,2021-09-03 00:12:00,1004.9,2021-09-03 15:12:00,28.2,34.5,2021-09-03 12:59:00,24.3,2021-09-03 05:49:00,82.0,55.0,2021-09-03 11:44:00,0.8,6.0,6.1,315.0,2021-09-03 15:05:00,0.0,,,,,,,,
2021-09-04,1008.1,1009.7,2021-09-04 19:56:00,1006.7,2021-09-04 15:28:00,27.9,34.0,2021-09-04 11:14:00,23.8,2021-09-04 05:40:00,84.0,56.0,2021-09-04 10:08:00,1.1,4.0,6.6,321.0,2021-09-04 14:26:00,1.5,,,,,,,,
2021-09-05,1008.7,1011.6,2021-09-05 22:50:00,1006.7,2021-09-05 15:46:00,27.9,33.1,2021-09-05 14:44:00,24.1,2021-09-05 05:31:00,86.0,61.0,2021-09-05 12:41:00,1.1,25.0,7.0,192.0,2021-09-05 21:40:00,0.0,,,,,,,,
2021-09-06,1010.1,1011.6,2021-09-06 21:44:00,1008.7,2021-09-06 16:06:00,28.4,33.9,2021-09-06 14:30:00,23.1,2021-09-06 05:42:00,81.0,56.0,2021-09-06 14:17:00,0.9,121.0,6.2,319.0,2021-09-06 14:53:00,0.0,,,,,,,,
2021-09-07,1009.5,1011.2,2021-09-08 00:00:00,1007.3,2021-09-07 16:02:00,29.7,34.8,2021-09-07 14:13:00,24.7,2021-09-07 04:54:00,78.0,53.0,2021-09-07 13:38:00,1.1,316.0,6.4,315.0,2021-09-07 16:01:00,0.0,,,,,,,,
2021-09-08,1008.1,1009.8,2021-09-08 00:07:00,1006.6,2021-09-08 16:02:00,29.3,34.1,2021-09-08 11:30:00,24.9,2021-09-08 05:01:00,84.0,56.0,2021-09-08 11:27:00,0.8,75.0,6.0,317.0,2021-09-08 15:56:00,0.0,,,,,,,,
2021-09-09,1007.9,1009.0,2021-09-09 09:26:00,1006.6,2021-09-09 15:16:00,29.3,35.9,2021-09-09 13:25:00,25.2,2021-09-09 05:45:00,83.0,53.0,2021-09-09 15:19:00,1.1,154.0,5.0,269.0,2021-09-09 15:06:00,0.0,,,,,,,,
2021-09-10,1006.3,1008.5,2021-09-10 00:16:00,1003.8,2021-09-10 23:37:00,28.9,34.4,2021-09-10 13:28:00,24.6,2021-09-10 05:59:00,85.0,59.0,2021-09-10 14:42:00,0.9,3.0,5.6,312.0,2021-09-10 12:06:00,0.0,,,,,,,,
2021-09-11,998.9,1003.9,2021-09-12 00:00:00,995.2,2021-09-12 00:00:00,28.8,34.1,2021-09-11 10:34:00,25.2,2021-09-11 02:36:00,87.0,58.0,2021-09-11 10:31:00,0.9,134.0,5.4,322.0,2021-09-11 13:25:00,0.0,,,,,,,,
2021-09-12,997.4,1003.9,2021-09-13 00:00:00,992.3,2021-09-12 04:37:00,27.4,32.6,2021-09-12 11:32:00,24.8,2021-09-12 22:52:00,89.0,64.0,2021-09-12 11:32:00,1.5,1.0,9.5,12.0,2021-09-12 12:03:00,0.0,,,,,,,,
2021-09-13,1006.4,1010.0,2021-09-13 23:47:00,1002.9,2021-09-13 03:00:00,28.4,33.4,2021-09-13 10:05:00,24.5,2021-09-13 03:47:00,84.0,64.0,2021-09-13 13:09:00,2.0,189.0,8.6,172.0,2021-09-13 11:44:00,0.5,,,,,,,,
2021-09-14,1010.3,1011.8,2021-09-14 23:19:00,1008.6,2021-09-14 15:10:00,29.4,35.5,2021-09-14 13:21:00,25.1,2021-09-14 03:20:00,82.0,56.0,2021-09-14 11:05:00,1.6,183.0,6.6,265.0,2021-09-14 14:02:00,0.0,,,,,,,,
2021-09-15,1009.6,1011.7,2021-09-15 00:06:00,1007.3,2021-09-15 15:24:00,28.8,35.8,2021-09-15 12:01:00,25.0,2021-09-15 04:09:00,83.0,52.0,2021-09-15 12:01:00,1.3,86.0,6.5,257.0,2021-09-15 12:54:00,0.0,,,,,,,,
