觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2024-09-01,1003.1,1004.5,2024-09-01T09:40:00,1001.9,2024-09-01T15:58:00,29.3,34.0,2024-09-01T12:08:00,26.1,2024-09-01T06:01:00,77.0,56.0,2024-09-01T10:33:00,1.1,107.0,7.2,311.0,2024-09-01T13:36:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-02,1002.6,1004.4,2024-09-02T08:38:00,1000.7,2024-09-02T18:16:00,30.0,34.0,2024-09-02T11:28:00,26.2,2024-09-02T05:25:00,78.0,57.0,2024-09-02T12:16:00,1.1,338.0,6.2,319.0,2024-09-02T15:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-03,1000.2,1002.6,2024-09-03T00:02:00,997.5,2024-09-03T19:30:00,30.6,34.7,2024-09-03T12:03:00,27.9,2024-09-03T06:31:00,78.0,56.0,2024-09-03T12:02:00,1.5,358.0,7.7,4.0,2024-09-03T14:12:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-04,997.2,999.1,2024-09-04T00:01:00,995.4,2024-09-04T15:23:00,30.4,34.0,2024-09-04T10:27:00,27.4,2024-09-04T02:49:00,76.0,56.0,2024-09-04T10:24:00,1.3,337.0,6.8,325.0,2024-09-04T14:32:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-05,997.8,999.5,2024-09-05T21:11:00,996.3,2024-09-05T14:11:00,28.9,35.1,2024-09-05T13:47:00,25.0,2024-09-05T17:33:00,83.0,55.0,2024-09-05T13:35:00,1.2,191.0,13.6,208.0,2024-09-05T16:01:00,9.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-06,1002.0,1005.2,2024-09-06T21:11:00,999.1,2024-09-06T02:04:00,29.2,34.7,2024-09-06T13:18:00,26.0,2024-09-06T05:53:00,81.0,54.0,2024-09-06T13:21:00,1.2,329.0,6.5,218.0,2024-09-06T19:35:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-07,1006.0,1008.2,2024-09-07T22:28:00,1004.6,2024-09-07T15:42:00,28.8,33.3,2024-09-07T13:51:00,26.6,2024-09-07T05:51:00,82.0,60.0,2024-09-07T14:52:00,1.3,260.0,7.1,247.0,2024-09-07T15:50:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-08,1005.1,1007.8,2024-09-08T00:02:00,1002.6,2024-09-08T15:07:00,27.3,32.3,2024-09-08T11:53:00,23.2,2024-09-08T18:11:00,88.0,65.0,2024-09-08T11:53:00,1.3,330.0,11.6,161.0,2024-09-08T17:32:00,45.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-09,1002.3,1003.7,2024-09-09T00:45:00,1000.1,2024-09-09T15:18:00,26.8,32.6,2024-09-09T12:41:00,22.0,2024-09-09T17:08:00,88.0,62.0,2024-09-09T12:33:00,1.2,198.0,17.3,152.0,2024-09-09T17:04:00,27.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-09-10,1001.7,1003.2,2024-09-10T23:05:00,1000.0,2024-09-10T15:32:00,28.4,32.8,2024-09-10T13:36:00,24.3,2024-09-10T05:53:00,83.0,61.0,2024-09-10T11:21:00,1.3,350.0,6.9,9.0,2024-09-10T16:50:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
