觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,日照時數(hour),TxSoil10cm
2023-09-01,1001.9,1003.0,2023-09-01T10:19:00,1000.8,2023-09-01T03:49:00,28.0,31.6,2023-09-01T12:26:00,25.7,2023-09-01T05:02:00,89.0,69.0,2023-09-01T12:36:00,0.8,179.0,4.4,295.0,2023-09-01T12:49:00,0.5,11.6,27.3,27.1,27.1,27.0,26.4,-99.8,27.3
2023-09-02,1000.2,1001.8,2023-09-02T08:50:00,998.6,2023-09-02T16:16:00,29.0,34.6,2023-09-02T11:29:00,25.7,2023-09-02T02:42:00,85.0,61.0,2023-09-02T11:00:00,0.9,137.0,6.4,298.0,2023-09-02T12:26:00,0.0,19.5,27.7,27.3,27.1,26.9,26.4,-99.8,27.4
2023-09-03,992.6,999.5,2023-09-03T00:01:00,983.6,2023-09-03T18:22:00,27.5,30.0,2023-09-03T09:38:00,25.2,2023-09-03T00:01:00,89.0,72.0,2023-09-03T19:05:00,1.7,37.0,12.8,70.0,2023-09-03T17:36:00,3.0,5.0,27.0,26.9,27.1,27.0,26.4,-99.8,27.2
2023-09-04,995.5,1001.8,2023-09-04T22:18:00,990.6,2023-09-04T04:35:00,27.0,30.8,2023-09-04T11:33:00,25.1,2023-09-04T02:52:00,88.0,74.0,2023-09-04T10:58:00,2.7,197.0,10.8,194.0,2023-09-04T17:20:00,11.0,9.1,26.3,26.3,26.7,26.9,26.4,-99.8,26.7
2023-09-05,1004.2,1007.1,2023-09-05T20:55:00,1000.8,2023-09-05T02:02:00,28.2,33.9,2023-09-05T12:05:00,24.6,2023-09-05T23:28:00,84.0,63.0,2023-09-05T11:51:00,2.2,109.0,9.3,207.0,2023-09-05T00:27:00,16.5,20.8,26.8,26.5,26.6,26.7,26.4,-99.8,26.7
2023-09-06,1007.5,1009.5,2023-09-06T21:34:00,1006.0,2023-09-06T02:57:00,27.3,33.7,2023-09-06T12:23:00,24.5,2023-09-06T23:22:00,90.0,63.0,2023-09-06T12:26:00,1.3,106.0,7.6,54.0,2023-09-06T16:12:00,49.5,16.2,26.6,26.5,26.6,26.7,26.3,-99.8,26.7
2023-09-07,1007.5,1008.9,2023-09-07T09:20:00,1005.9,2023-09-07T14:59:00,27.5,32.8,2023-09-07T13:41:00,24.6,2023-09-07T00:32:00,88.0,64.0,2023-09-07T12:21:00,1.1,5.0,6.0,284.0,2023-09-07T15:12:00,0.5,21.69,26.7,26.5,26.5,26.6,26.3,-99.8,26.6
2023-09-08,1007.7,1008.8,2023-09-08T21:18:00,1006.6,2023-09-08T13:17:00,26.7,33.0,2023-09-08T11:41:00,24.1,2023-09-08T23:55:00,90.0,63.0,2023-09-08T12:04:00,1.6,188.0,7.0,249.0,2023-09-08T13:38:00,41.0,14.8,26.4,26.3,26.5,26.6,26.3,-99.8,26.6
2023-09-09,1007.3,1008.4,2023-09-09T00:03:00,1006.2,2023-09-09T16:29:00,26.3,31.4,2023-09-09T09:59:00,23.7,2023-09-09T05:22:00,91.0,65.0,2023-09-09T10:00:00,1.5,197.0,7.4,252.0,2023-09-09T13:09:00,19.5,16.3,25.9,25.7,26.0,26.5,26.3,-99.8,26.0
2023-09-10,1006.8,1009.6,2023-09-10T21:25:00,1005.4,2023-09-10T14:46:00,25.8,31.0,2023-09-10T12:47:00,23.8,2023-09-10T23:52:00,92.0,70.0,2023-09-10T12:12:00,1.3,82.0,5.7,94.0,2023-09-10T06:02:00,51.0,11.49,25.7,25.6,25.9,26.3,26.2,-99.8,25.9
