觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-09-01,996.6,997.7,2023-09-01T00:07:00,995.6,2023-09-01T03:46:00,27.6,31.1,2023-09-01T09:59:00,25.7,2023-09-01T03:46:00,84.0,66.0,2023-09-01T10:00:00,1.1,33.0,6.0,286.0,2023-09-01T12:56:00,3.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-02,995.0,996.6,2023-09-02T08:54:00,993.5,2023-09-02T15:59:00,28.4,33.3,2023-09-02T13:36:00,25.6,2023-09-02T02:53:00,79.0,54.0,2023-09-02T13:29:00,1.1,180.0,5.9,165.0,2023-09-02T15:28:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-03,987.2,994.3,2023-09-03T00:06:00,977.8,2023-09-03T18:33:00,27.3,30.3,2023-09-03T18:42:00,25.6,2023-09-03T00:01:00,85.0,60.0,2023-09-03T18:42:00,1.9,3.0,13.4,9.0,2023-09-03T17:03:00,3.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-04,990.3,996.7,2023-09-04T22:32:00,985.4,2023-09-04T04:22:00,26.7,29.5,2023-09-04T13:51:00,24.8,2023-09-04T04:58:00,86.0,70.0,2023-09-04T23:00:00,1.5,25.0,9.4,47.0,2023-09-04T12:38:00,10.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-05,998.9,1001.9,2023-09-05T20:56:00,995.8,2023-09-05T01:46:00,27.5,34.2,2023-09-05T13:32:00,24.9,2023-09-05T16:43:00,82.0,52.0,2023-09-05T12:35:00,1.6,18.0,11.1,29.0,2023-09-05T15:52:00,11.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-06,1002.2,1004.3,2023-09-06T21:38:00,1000.5,2023-09-06T03:19:00,26.5,33.5,2023-09-06T12:38:00,24.3,2023-09-06T15:33:00,86.0,54.0,2023-09-06T12:49:00,1.1,48.0,11.8,54.0,2023-09-06T14:20:00,41.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-07,1002.1,1003.6,2023-09-07T09:23:00,1000.3,2023-09-07T15:03:00,26.7,31.8,2023-09-07T11:56:00,24.5,2023-09-07T02:31:00,86.0,62.0,2023-09-07T11:57:00,1.1,15.0,7.9,332.0,2023-09-07T14:12:00,12.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-08,1002.4,1003.4,2023-09-08T08:20:00,1001.0,2023-09-08T13:42:00,26.5,32.0,2023-09-08T12:26:00,21.6,2023-09-08T18:25:00,86.0,57.0,2023-09-08T12:22:00,1.3,178.0,7.5,330.0,2023-09-08T14:13:00,9.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-09,1001.8,1003.2,2023-09-09T00:04:00,1000.4,2023-09-09T15:08:00,26.6,30.6,2023-09-09T13:25:00,23.7,2023-09-09T00:59:00,81.0,59.0,2023-09-09T13:20:00,1.6,76.0,9.4,234.0,2023-09-09T15:21:00,6.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-10,1001.3,1003.9,2023-09-10T21:19:00,999.7,2023-09-10T14:51:00,25.8,30.5,2023-09-10T13:41:00,23.4,2023-09-10T05:26:00,87.0,63.0,2023-09-10T13:41:00,1.3,283.0,6.1,230.0,2023-09-10T15:10:00,21.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
