觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2022-09-01,1000.6,1002.5,2022-09-01T00:29:00,998.8,2022-09-01T17:08:00,28.6,31.6,2022-09-01T10:51:00,26.0,2022-09-01T23:56:00,73.0,57.0,2022-09-01T23:20:00,6.8,12.0,19.0,20.0,2022-09-01T21:09:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-02,996.1,999.5,2022-09-02T00:43:00,993.7,2022-09-02T15:42:00,26.7,28.8,2022-09-02T12:59:00,25.0,2022-09-02T04:31:00,82.0,60.0,2022-09-02T00:22:00,9.6,7.0,18.2,21.0,2022-09-02T20:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-03,993.2,995.0,2022-09-03T21:51:00,991.9,2022-09-03T14:23:00,27.1,29.2,2022-09-03T16:01:00,25.3,2022-09-03T00:33:00,89.0,77.0,2022-09-03T16:00:00,7.7,3.0,16.5,348.0,2022-09-03T13:34:00,8.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-04,996.4,998.7,2022-09-04T22:27:00,994.2,2022-09-04T00:07:00,28.5,32.2,2022-09-04T16:00:00,25.2,2022-09-04T08:54:00,78.0,58.0,2022-09-04T15:35:00,1.9,195.0,12.8,344.0,2022-09-04T00:22:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-05,1000.0,1003.5,2022-09-05T22:29:00,997.7,2022-09-05T02:38:00,29.1,32.2,2022-09-05T14:37:00,26.8,2022-09-05T02:51:00,79.0,62.0,2022-09-05T14:35:00,2.9,181.0,9.2,174.0,2022-09-05T09:09:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-06,1006.2,1009.5,2022-09-06T21:52:00,1002.2,2022-09-06T01:41:00,28.2,32.3,2022-09-06T11:19:00,26.3,2022-09-06T16:41:00,84.0,57.0,2022-09-06T11:20:00,0.9,163.0,6.7,351.0,2022-09-06T12:45:00,2.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-07,1009.7,1010.8,2022-09-07T08:48:00,1008.5,2022-09-07T14:43:00,27.7,32.5,2022-09-07T12:53:00,25.4,2022-09-07T19:23:00,84.0,63.0,2022-09-07T14:48:00,1.1,347.0,6.4,86.0,2022-09-07T16:40:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-08,1008.7,1010.7,2022-09-08T09:03:00,1006.4,2022-09-08T15:55:00,27.9,32.0,2022-09-08T12:55:00,24.6,2022-09-08T06:12:00,78.0,54.0,2022-09-08T14:45:00,2.1,3.0,9.9,1.0,2022-09-08T14:02:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-09,1007.4,1009.2,2022-09-09T00:03:00,1004.9,2022-09-09T16:45:00,28.1,34.2,2022-09-09T14:22:00,25.1,2022-09-09T23:57:00,70.0,42.0,2022-09-09T12:49:00,2.4,4.0,9.4,8.0,2022-09-09T16:43:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-10,1006.2,1008.0,2022-09-10T00:11:00,1003.9,2022-09-10T16:04:00,26.6,30.7,2022-09-10T11:11:00,23.7,2022-09-10T05:22:00,72.0,56.0,2022-09-10T11:39:00,2.9,2.0,10.2,8.0,2022-09-10T16:40:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-11,1002.6,1006.0,2022-09-11T00:02:00,1000.6,2022-09-11T16:21:00,26.4,29.7,2022-09-11T10:26:00,23.0,2022-09-11T03:46:00,80.0,65.0,2022-09-11T10:28:00,5.6,13.0,15.7,7.0,2022-09-11T13:27:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-12,1000.7,1002.1,2022-09-12T21:20:00,999.4,2022-09-12T03:17:00,26.9,29.0,2022-09-12T14:54:00,25.6,2022-09-12T01:03:00,81.0,72.0,2022-09-12T14:33:00,6.9,7.0,14.9,9.0,2022-09-12T11:25:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-13,1001.8,1003.1,2022-09-13T08:55:00,1000.8,2022-09-13T16:58:00,27.1,30.0,2022-09-13T14:37:00,24.7,2022-09-13T05:51:00,77.0,60.0,2022-09-13T15:17:00,2.9,353.0,10.2,7.0,2022-09-13T09:22:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-14,1001.2,1003.0,2022-09-14T08:40:00,999.8,2022-09-14T15:21:00,28.4,33.5,2022-09-14T13:18:00,25.1,2022-09-14T06:21:00,70.0,44.0,2022-09-14T12:58:00,0.8,9.0,6.8,284.0,2022-09-14T13:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-15,1001.1,1002.4,2022-09-15T08:23:00,999.4,2022-09-15T14:29:00,28.8,33.2,2022-09-15T12:17:00,24.3,2022-09-15T06:01:00,71.0,43.0,2022-09-15T10:29:00,1.2,334.0,7.2,353.0,2022-09-15T13:09:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-16,1001.4,1002.9,2022-09-16T08:12:00,1000.0,2022-09-16T15:47:00,28.3,32.3,2022-09-16T13:43:00,25.5,2022-09-16T05:55:00,76.0,50.0,2022-09-16T12:21:00,1.2,183.0,7.7,345.0,2022-09-16T15:53:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-17,1001.8,1003.9,2022-09-17T07:46:00,1000.0,2022-09-17T15:27:00,27.7,31.7,2022-09-17T12:16:00,24.5,2022-09-17T06:17:00,76.0,49.0,2022-09-17T11:59:00,1.4,175.0,7.9,354.0,2022-09-17T14:57:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-18,1002.0,1003.5,2022-09-18T09:24:00,1000.0,2022-09-18T14:45:00,28.3,33.3,2022-09-18T12:50:00,24.5,2022-09-18T06:21:00,72.0,47.0,2022-09-18T11:53:00,1.1,159.0,5.7,301.0,2022-09-18T14:33:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-19,1002.9,1004.8,2022-09-19T22:28:00,1001.0,2022-09-19T15:21:00,28.3,33.6,2022-09-19T12:48:00,24.3,2022-09-19T05:57:00,69.0,41.0,2022-09-19T13:11:00,1.5,93.0,7.3,338.0,2022-09-19T15:25:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-20,1004.3,1006.9,2022-09-20T23:02:00,1002.8,2022-09-20T03:41:00,26.9,30.9,2022-09-20T12:31:00,23.1,2022-09-20T23:41:00,70.0,52.0,2022-09-20T11:56:00,2.7,4.0,9.0,5.0,2022-09-20T15:56:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-21,1006.3,1007.9,2022-09-21T22:33:00,1004.7,2022-09-21T15:48:00,26.1,30.0,2022-09-21T12:19:00,21.9,2022-09-21T04:50:00,68.0,47.0,2022-09-21T10:41:00,3.3,2.0,10.5,343.0,2022-09-21T13:54:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-22,1006.4,1008.0,2022-09-22T08:25:00,1004.2,2022-09-22T14:53:00,26.3,30.9,2022-09-22T12:47:00,22.9,2022-09-22T06:21:00,70.0,53.0,2022-09-22T14:13:00,2.1,3.0,8.7,4.0,2022-09-22T15:36:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-23,1006.1,1007.5,2022-09-23T08:18:00,1003.9,2022-09-23T15:01:00,26.1,33.0,2022-09-23T13:17:00,21.6,2022-09-23T05:58:00,67.0,37.0,2022-09-23T13:17:00,2.9,6.0,10.8,9.0,2022-09-23T15:52:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-24,1005.8,1007.3,2022-09-24T07:58:00,1003.9,2022-09-24T15:49:00,25.8,29.9,2022-09-24T12:48:00,22.6,2022-09-24T05:31:00,73.0,57.0,2022-09-24T11:23:00,3.3,5.0,10.6,344.0,2022-09-24T13:33:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-25,1005.3,1007.2,2022-09-25T09:21:00,1003.8,2022-09-25T15:32:00,26.0,30.0,2022-09-25T11:51:00,23.0,2022-09-25T05:58:00,83.0,65.0,2022-09-25T11:45:00,3.4,3.0,10.9,6.0,2022-09-25T13:42:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-26,1004.5,1006.2,2022-09-26T10:28:00,1002.8,2022-09-26T15:56:00,27.8,32.6,2022-09-26T12:57:00,24.1,2022-09-26T03:58:00,82.0,58.0,2022-09-26T12:51:00,1.2,291.0,6.7,297.0,2022-09-26T13:45:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-27,1004.4,1005.6,2022-09-27T22:10:00,1002.8,2022-09-27T15:45:00,28.4,32.8,2022-09-27T11:23:00,25.1,2022-09-27T06:34:00,80.0,58.0,2022-09-27T11:28:00,1.1,19.0,5.8,308.0,2022-09-27T14:48:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2022-09-28,1004.9,1006.7,2022-09-28T23:41:00,1002.9,2022-09-28T14:45:00,28.3,34.0,2022-09-28T11:50:00,25.8,2022-09-28T06:13:00,81.0,52.0,2022-09-28T11:50:00,1.4,16.0,6.5,352.0,2022-09-28T16:50:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
