﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-08-01,1000.0,1001.7,2018-08-01 08:02:00,997.6,2018-08-01 16:38:00,30.6,35.1,2018-08-01 13:58:00,27.5,2018-08-01 04:52:00,73.0,51.0,2018-08-01 15:00:00,1.3,177.0,7.0,261.0,2018-08-01 16:36:00,0.0,,,,,,,,
2018-08-02,999.5,1001.5,2018-08-02 10:03:00,997.5,2018-08-02 16:28:00,29.5,34.1,2018-08-02 13:35:00,27.1,2018-08-02 05:51:00,78.0,56.0,2018-08-02 14:18:00,1.3,188.0,7.7,265.0,2018-08-02 14:48:00,3.5,,,,,,,,
2018-08-03,999.8,1001.3,2018-08-03 23:16:00,998.1,2018-08-03 02:35:00,28.8,32.7,2018-08-03 13:35:00,26.8,2018-08-03 00:31:00,79.0,58.0,2018-08-03 13:42:00,1.3,196.0,9.2,212.0,2018-08-03 13:58:00,2.5,,,,,,,,
2018-08-04,1001.1,1002.9,2018-08-04 23:08:00,999.0,2018-08-04 15:10:00,29.3,34.1,2018-08-04 14:05:00,26.1,2018-08-04 05:13:00,72.0,58.0,2018-08-04 14:46:00,0.8,125.0,6.7,195.0,2018-08-04 17:11:00,0.0,,,,,,,,
2018-08-05,1001.8,1003.0,2018-08-05 22:54:00,999.9,2018-08-05 14:30:00,29.0,35.2,2018-08-05 12:16:00,26.1,2018-08-05 23:09:00,71.0,50.0,2018-08-05 11:32:00,1.1,136.0,7.0,325.0,2018-08-05 13:43:00,0.0,,,,,,,,
2018-08-06,1001.0,1002.8,2018-08-06 00:01:00,998.4,2018-08-06 15:48:00,29.6,34.0,2018-08-06 11:34:00,26.2,2018-08-06 04:25:00,72.0,56.0,2018-08-06 11:39:00,1.3,207.0,8.1,340.0,2018-08-06 15:32:00,0.0,,,,,,,,
2018-08-07,1000.1,1001.5,2018-08-07 06:50:00,997.9,2018-08-07 16:59:00,29.6,33.6,2018-08-07 14:37:00,26.7,2018-08-07 05:25:00,75.0,56.0,2018-08-07 11:15:00,1.0,181.0,6.7,308.0,2018-08-07 13:56:00,2.5,,,,,,,,
2018-08-08,1000.3,1001.9,2018-08-08 22:13:00,998.4,2018-08-08 17:06:00,29.9,34.7,2018-08-08 12:42:00,27.3,2018-08-08 05:32:00,73.0,49.0,2018-08-08 12:38:00,1.2,177.0,6.3,335.0,2018-08-08 16:47:00,0.0,,,,,,,,
2018-08-09,1000.9,1002.0,2018-08-09 22:25:00,998.9,2018-08-09 17:19:00,29.8,34.1,2018-08-09 14:29:00,27.2,2018-08-09 05:15:00,70.0,51.0,2018-08-09 14:50:00,1.0,307.0,5.7,306.0,2018-08-09 15:21:00,0.0,,,,,,,,
2018-08-10,999.5,1001.6,2018-08-10 00:10:00,997.1,2018-08-10 16:47:00,30.2,34.1,2018-08-10 13:55:00,27.4,2018-08-10 04:42:00,68.0,53.0,2018-08-10 10:24:00,1.1,33.0,6.4,338.0,2018-08-10 14:53:00,0.0,,,,,,,,
2018-08-11,996.4,999.2,2018-08-11 00:01:00,993.9,2018-08-11 17:02:00,30.1,34.4,2018-08-11 15:17:00,26.7,2018-08-11 05:32:00,68.0,40.0,2018-08-11 15:17:00,1.0,334.0,6.7,345.0,2018-08-11 16:06:00,0.0,,,,,,,,
2018-08-12,993.0,994.9,2018-08-12 00:13:00,990.2,2018-08-12 15:48:00,29.8,33.8,2018-08-12 12:09:00,27.0,2018-08-12 06:28:00,72.0,56.0,2018-08-12 12:10:00,1.1,174.0,6.0,349.0,2018-08-12 14:31:00,0.0,,,,,,,,
2018-08-13,994.6,996.5,2018-08-13 23:22:00,993.1,2018-08-13 01:47:00,29.0,35.0,2018-08-13 13:38:00,26.5,2018-08-13 23:12:00,76.0,52.0,2018-08-13 13:38:00,1.2,193.0,8.2,275.0,2018-08-13 14:48:00,0.5,,,,,,,,
