﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-09-01,1005.4,1007.5,2018-09-01 00:16:00,1003.0,2018-09-01 16:00:00,27.7,32.8,2018-09-01 14:35:00,25.1,2018-09-01 05:53:00,78.0,54.0,2018-09-01 13:16:00,1.1,9.0,6.9,334.0,2018-09-01 14:58:00,0.0,,,,,,,,
2018-09-02,1002.6,1005.1,2018-09-02 00:18:00,1000.4,2018-09-02 14:59:00,28.3,33.2,2018-09-02 13:29:00,25.2,2018-09-02 06:03:00,77.0,57.0,2018-09-02 12:23:00,1.0,153.0,7.7,282.0,2018-09-02 14:21:00,0.0,,,,,,,,
2018-09-03,1001.2,1002.6,2018-09-03 00:01:00,999.5,2018-09-03 16:22:00,28.4,32.7,2018-09-03 14:31:00,24.6,2018-09-03 05:25:00,74.0,52.0,2018-09-03 14:28:00,1.4,136.0,6.4,224.0,2018-09-03 12:06:00,0.0,,,,,,,,
2018-09-04,1000.1,1001.3,2018-09-04 09:51:00,997.6,2018-09-04 15:05:00,29.0,33.5,2018-09-04 14:42:00,25.6,2018-09-04 03:31:00,76.0,59.0,2018-09-04 12:24:00,1.7,185.0,6.7,220.0,2018-09-04 14:24:00,0.0,,,,,,,,
2018-09-05,1000.5,1002.1,2018-09-05 21:39:00,998.5,2018-09-05 14:36:00,28.9,33.9,2018-09-05 13:57:00,26.6,2018-09-05 06:21:00,81.0,61.0,2018-09-05 11:44:00,1.0,65.0,6.5,108.0,2018-09-05 14:48:00,1.5,,,,,,,,
2018-09-06,1000.9,1002.3,2018-09-06 23:29:00,999.1,2018-09-06 13:45:00,27.3,32.6,2018-09-06 13:29:00,23.7,2018-09-06 16:14:00,85.0,62.0,2018-09-06 13:34:00,1.0,3.0,8.2,158.0,2018-09-06 15:13:00,40.0,,,,,,,,
2018-09-07,1001.5,1003.7,2018-09-07 22:01:00,999.3,2018-09-07 14:51:00,27.4,33.2,2018-09-07 12:13:00,23.2,2018-09-07 20:06:00,83.0,58.0,2018-09-07 12:02:00,1.4,116.0,7.9,283.0,2018-09-07 14:19:00,46.0,,,,,,,,
2018-09-08,1002.7,1004.2,2018-09-08 21:57:00,1001.4,2018-09-08 13:48:00,27.0,31.6,2018-09-08 12:12:00,24.6,2018-09-08 00:33:00,85.0,63.0,2018-09-08 11:26:00,1.2,5.0,7.6,327.0,2018-09-08 13:19:00,0.5,,,,,,,,
2018-09-09,1003.4,1005.4,2018-09-09 22:34:00,1001.5,2018-09-09 15:50:00,26.7,30.1,2018-09-09 12:12:00,24.3,2018-09-10 00:00:00,81.0,66.0,2018-09-09 13:37:00,2.5,352.0,9.9,353.0,2018-09-09 10:56:00,0.0,,,,,,,,
2018-09-10,1002.8,1004.9,2018-09-10 00:01:00,1000.9,2018-09-10 15:57:00,26.7,32.6,2018-09-10 13:58:00,23.4,2018-09-10 06:48:00,77.0,57.0,2018-09-10 13:58:00,2.0,356.0,6.3,344.0,2018-09-10 19:42:00,0.0,,,,,,,,
2018-09-11,1002.9,1005.0,2018-09-11 21:46:00,1000.8,2018-09-11 02:27:00,27.5,31.5,2018-09-11 10:58:00,25.2,2018-09-11 02:33:00,84.0,63.0,2018-09-11 13:22:00,1.2,183.0,4.3,196.0,2018-09-11 04:21:00,0.5,,,,,,,,
2018-09-12,1003.9,1005.2,2018-09-12 21:35:00,1002.1,2018-09-12 16:26:00,27.9,31.6,2018-09-12 11:14:00,25.3,2018-09-12 04:43:00,85.0,67.0,2018-09-12 10:42:00,1.4,225.0,6.1,328.0,2018-09-12 12:41:00,0.5,,,,,,,,
2018-09-13,1003.7,1005.1,2018-09-13 09:45:00,1002.4,2018-09-13 17:48:00,28.9,32.7,2018-09-13 12:18:00,25.8,2018-09-13 04:13:00,81.0,63.0,2018-09-13 11:33:00,1.0,207.0,5.6,289.0,2018-09-13 13:58:00,0.0,,,,,,,,
2018-09-14,1001.3,1003.9,2018-09-14 08:25:00,999.0,2018-09-14 23:55:00,29.2,32.7,2018-09-14 12:05:00,26.7,2018-09-14 05:58:00,79.0,60.0,2018-09-14 11:56:00,1.1,208.0,5.8,332.0,2018-09-14 14:16:00,0.0,,,,,,,,
