﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-09-01,992.3,994.5,2018-09-01 00:11:00,990.0,2018-09-01 16:01:00,27.7,32.7,2018-09-01 13:01:00,25.0,2018-09-01 04:22:00,81.0,59.0,2018-09-01 13:02:00,0.6,122.0,4.1,252.0,2018-09-01 14:18:00,0.0,,,,,,,,
2018-09-02,989.4,991.8,2018-09-02 00:01:00,987.4,2018-09-02 15:42:00,28.3,32.7,2018-09-02 12:15:00,25.0,2018-09-02 05:33:00,77.0,56.0,2018-09-02 15:01:00,0.7,208.0,5.2,261.0,2018-09-02 13:27:00,0.0,,,,,,,,
2018-09-03,987.5,989.1,2018-09-03 08:43:00,985.8,2018-09-03 16:11:00,28.4,34.0,2018-09-03 11:32:00,24.9,2018-09-03 05:41:00,74.0,52.0,2018-09-03 11:21:00,1.1,208.0,7.1,287.0,2018-09-03 11:13:00,0.0,,,,,,,,
2018-09-04,986.5,988.0,2018-09-04 09:23:00,984.0,2018-09-04 14:46:00,29.3,35.3,2018-09-04 13:33:00,25.8,2018-09-04 04:44:00,74.0,48.0,2018-09-04 12:46:00,1.1,211.0,6.5,222.0,2018-09-04 08:04:00,0.0,,,,,,,,
2018-09-05,987.5,989.0,2018-09-05 22:19:00,985.9,2018-09-05 15:42:00,28.2,32.9,2018-09-05 11:21:00,26.0,2018-09-05 22:26:00,83.0,66.0,2018-09-05 08:51:00,0.6,132.0,3.5,275.0,2018-09-05 10:58:00,0.0,,,,,,,,
2018-09-06,987.9,989.0,2018-09-06 09:21:00,986.0,2018-09-06 15:22:00,27.8,32.0,2018-09-06 13:54:00,25.3,2018-09-06 05:08:00,82.0,64.0,2018-09-06 13:54:00,0.7,99.0,3.4,156.0,2018-09-06 06:18:00,0.5,,,,,,,,
2018-09-07,988.4,990.7,2018-09-07 23:01:00,986.6,2018-09-07 13:56:00,27.7,33.3,2018-09-07 13:02:00,24.3,2018-09-07 23:27:00,83.0,62.0,2018-09-07 10:42:00,0.8,113.0,5.3,279.0,2018-09-07 13:17:00,8.0,,,,,,,,
2018-09-08,990.1,991.5,2018-09-08 22:53:00,988.8,2018-09-08 02:43:00,26.1,29.5,2018-09-08 12:14:00,23.9,2018-09-08 02:44:00,88.0,74.0,2018-09-08 12:21:00,0.4,46.0,3.0,284.0,2018-09-08 08:07:00,0.5,,,,,,,,
2018-09-09,991.5,993.7,2018-09-09 22:31:00,989.9,2018-09-09 15:11:00,24.0,25.9,2018-09-09 07:41:00,22.7,2018-09-09 23:52:00,90.0,81.0,2018-09-09 22:09:00,0.7,327.0,5.7,84.0,2018-09-09 16:54:00,1.0,,,,,,,,
2018-09-10,990.4,993.4,2018-09-10 00:11:00,988.2,2018-09-10 13:48:00,25.7,30.7,2018-09-10 13:18:00,21.8,2018-09-10 05:43:00,79.0,65.0,2018-09-10 13:16:00,0.7,297.0,7.1,124.0,2018-09-10 08:47:00,0.0,,,,,,,,
2018-09-11,989.5,991.6,2018-09-11 21:01:00,986.9,2018-09-11 02:50:00,27.6,33.0,2018-09-11 13:26:00,23.6,2018-09-11 02:50:00,83.0,59.0,2018-09-11 11:41:00,0.6,50.0,4.1,214.0,2018-09-11 09:05:00,0.0,,,,,,,,
