觀測時間(hour),測站氣壓(hPa),氣溫(℃),相對溼度(%),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),降水量(mm),天全空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,日照時數(hr),TxSoil10cm
2023-09-01 00:00:00,947.5,24.9,96.0,1.3,237.0,2.3,263.0,0.0,0.0,24.2,,26.4,27.2,26.3,-99.8,24.8
2023-09-01 01:00:00,946.9,25.0,96.0,1.4,238.0,2.4,243.0,0.0,0.0,24.2,,26.4,27.2,26.3,-99.8,24.9
2023-09-01 02:00:00,946.1,25.0,96.0,1.2,235.0,2.5,211.0,0.0,0.0,24.2,,26.3,27.1,26.3,-99.8,24.8
2023-09-01 03:00:00,946.0,24.7,95.0,2.0,239.0,3.1,242.0,0.0,0.0,24.0,,26.3,27.1,26.3,-99.8,24.6
2023-09-01 04:00:00,946.2,25.0,94.0,0.9,153.0,2.6,213.0,0.0,0.0,24.0,,26.2,27.1,26.3,-99.8,24.7
2023-09-01 05:00:00,946.0,24.4,95.0,0.0,0.0,1.9,121.0,0.0,0.0,23.1,,26.2,27.1,26.3,-99.8,24.2
2023-09-01 06:00:00,946.0,24.6,93.0,0.0,0.0,1.1,332.0,0.0,0.0,23.2,,26.1,27.1,26.3,-99.8,24.2
2023-09-01 07:00:00,946.8,25.8,91.0,1.1,52.0,2.3,66.0,0.0,0.4,25.3,,26.1,27.1,26.3,-99.8,25.4
2023-09-01 08:00:00,946.8,26.0,93.0,0.0,0.0,3.5,65.0,0.0,0.9,26.7,,26.1,27.1,26.3,-99.8,26.4
2023-09-01 09:00:00,947.2,28.8,78.0,1.2,45.0,2.5,53.0,0.0,1.8,30.2,,26.3,27.1,26.3,-99.8,28.4
2023-09-01 10:00:00,947.7,28.4,87.0,1.3,278.0,3.9,287.0,0.0,2.7,31.0,,26.6,27.0,26.3,-99.8,30.7
2023-09-01 11:00:00,947.9,28.6,85.0,0.3,226.0,3.2,257.0,0.0,2.7,30.3,,27.0,27.0,26.3,-99.8,29.3
2023-09-01 12:00:00,947.7,29.2,81.0,0.9,284.0,4.4,270.0,0.0,2.6,31.3,,27.2,27.0,26.3,-99.8,30.0
2023-09-01 13:00:00,947.2,29.1,80.0,1.0,300.0,3.3,280.0,0.0,1.6,30.1,,27.4,27.0,26.3,-99.8,29.3
2023-09-01 14:00:00,946.6,29.0,79.0,1.3,303.0,3.4,299.0,0.0,1.8,30.2,,27.6,27.0,26.3,-99.8,29.4
2023-09-01 15:00:00,946.1,28.0,91.0,0.6,22.0,6.1,291.0,0.5,1.6,28.8,,27.7,27.0,26.3,-99.8,28.6
2023-09-01 16:00:00,946.0,26.2,92.0,2.1,28.0,6.3,28.0,8.0,0.3,26.0,,27.7,27.0,26.3,-99.8,26.7
2023-09-01 17:00:00,-99.8,-99.8,-99.8,-99.8,-99.8,6.4,17.0,22.0,-99.8,-99.8,,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-01 18:00:00,946.5,25.5,92.0,0.9,288.0,4.1,55.0,33.5,0.0,24.9,,25.8,27.2,26.5,-99.8,25.0
2023-09-01 19:00:00,946.6,24.3,92.0,2.0,170.0,5.6,175.0,13.0,0.0,23.7,,25.7,27.2,26.5,-99.8,24.2
2023-09-01 20:00:00,947.1,24.5,91.0,1.5,141.0,5.3,166.0,0.0,0.0,23.8,,25.8,27.2,26.5,-99.8,24.3
2023-09-01 21:00:00,947.9,24.7,95.0,1.0,32.0,2.6,61.0,0.0,0.0,23.8,,25.8,27.2,26.5,-99.8,24.5
2023-09-01 22:00:00,947.5,24.8,96.0,1.0,95.0,1.6,49.0,0.0,0.0,23.7,,25.8,27.2,26.5,-99.8,24.4
2023-09-01 23:00:00,947.4,24.7,91.0,0.7,46.0,2.0,66.0,0.0,0.0,23.9,,25.8,27.1,26.5,-99.8,24.5
2023-09-02 00:00:00,946.4,24.5,91.0,2.0,161.0,2.0,146.0,0.0,0.0,23.7,,25.8,27.1,26.5,-99.8,24.3
2023-09-02 01:00:00,946.0,24.3,96.0,1.8,152.0,3.4,167.0,0.0,0.0,23.3,,25.8,27.1,26.5,-99.8,24.1
2023-09-02 02:00:00,945.3,24.4,95.0,2.1,170.0,3.8,168.0,0.0,0.0,23.3,,25.8,27.1,26.5,-99.8,24.0
2023-09-02 03:00:00,944.8,24.4,95.0,0.0,0.0,3.8,161.0,0.0,0.0,23.2,,25.7,27.1,26.5,-99.8,24.0
2023-09-02 04:00:00,945.0,24.4,96.0,1.9,201.0,3.6,197.0,0.0,0.0,23.4,,25.7,27.0,26.5,-99.8,24.0
2023-09-02 05:00:00,945.6,24.5,96.0,1.4,162.0,3.6,216.0,0.0,0.0,23.6,,25.6,27.0,26.5,-99.8,24.2
2023-09-02 06:00:00,945.8,24.7,95.0,0.0,0.0,1.8,196.0,0.0,0.0,23.7,,25.6,27.0,26.5,-99.8,24.3
2023-09-02 07:00:00,946.2,25.1,95.0,0.2,0.0,1.6,153.0,0.0,0.1,24.5,,25.6,27.0,26.5,-99.8,24.8
2023-09-02 08:00:00,946.9,26.5,90.0,0.0,0.0,1.9,199.0,0.0,0.6,25.8,,25.7,27.0,26.5,-99.8,25.6
2023-09-02 09:00:00,947.1,26.4,92.0,0.6,40.0,2.0,49.0,0.0,0.7,26.6,,25.8,27.0,26.5,-99.8,26.3
2023-09-02 10:00:00,947.0,26.4,91.0,0.3,295.0,2.1,261.0,0.0,0.9,26.5,,26.0,26.9,26.5,-99.8,26.3
2023-09-02 11:00:00,946.6,26.7,91.0,0.8,298.0,3.0,273.0,0.0,0.6,26.8,,26.1,26.9,26.5,-99.8,26.6
2023-09-02 12:00:00,946.3,26.9,92.0,0.7,295.0,2.9,353.0,0.0,0.9,27.9,,26.2,26.9,26.5,-99.8,27.4
2023-09-02 13:00:00,945.6,28.1,87.0,1.6,293.0,3.3,77.0,0.0,2.0,29.3,,26.4,26.9,26.5,-99.8,28.3
2023-09-02 14:00:00,945.1,28.4,88.0,1.0,296.0,3.2,276.0,0.0,1.7,30.2,,26.6,26.9,26.5,-99.8,29.0
2023-09-02 15:00:00,944.8,29.0,82.0,1.0,64.0,3.3,19.0,0.0,1.5,30.2,,26.9,26.9,26.5,-99.8,29.0
2023-09-02 16:00:00,944.1,29.2,79.0,1.1,36.0,3.2,54.0,0.0,-99.8,-99.8,,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-02 17:00:00,944.3,28.5,83.0,1.9,54.0,4.6,74.0,0.0,1.0,29.3,,27.3,26.9,26.5,-99.8,28.5
2023-09-02 18:00:00,944.7,27.8,87.0,1.5,59.0,3.0,53.0,0.0,0.3,27.1,,27.3,26.9,26.5,-99.8,27.2
2023-09-02 19:00:00,944.7,26.9,88.0,1.0,49.0,2.3,60.0,0.0,0.0,25.4,,27.3,26.9,26.5,-99.8,26.2
2023-09-02 20:00:00,945.1,26.0,91.0,1.5,79.0,4.7,55.0,0.0,0.0,24.9,,27.1,26.9,26.5,-99.8,25.6
2023-09-02 21:00:00,945.2,25.4,92.0,0.0,0.0,3.5,74.0,0.0,0.0,24.3,,27.0,26.9,26.5,-99.8,25.2
2023-09-02 22:00:00,944.8,25.6,89.0,0.0,0.0,2.5,31.0,0.0,0.0,24.1,,26.8,26.9,26.5,-99.8,25.0
2023-09-02 23:00:00,945.1,25.3,89.0,1.4,36.0,2.5,18.0,0.0,0.0,24.1,,26.7,26.9,26.5,-99.8,24.9
2023-09-03 00:00:00,944.6,25.0,90.0,1.2,25.0,3.0,336.0,0.0,0.0,24.0,,26.6,26.9,26.5,-99.8,24.8
2023-09-03 01:00:00,943.8,24.8,93.0,0.0,0.0,3.2,20.0,0.0,0.0,23.8,,26.4,26.9,26.5,-99.8,24.7
2023-09-03 02:00:00,943.4,25.2,93.0,2.7,146.0,4.0,158.0,0.0,0.0,24.4,,26.3,26.9,26.5,-99.8,24.9
2023-09-03 03:00:00,943.1,25.3,92.0,2.2,159.0,4.4,156.0,0.0,0.0,24.6,,26.3,27.0,26.5,-99.8,25.0
2023-09-03 04:00:00,942.9,24.9,91.0,0.2,0.0,2.6,166.0,0.0,0.0,24.4,,26.2,27.0,26.5,-99.8,25.0
2023-09-03 05:00:00,942.4,25.4,96.0,0.0,0.0,1.1,308.0,0.0,0.0,24.6,,26.2,27.0,26.5,-99.8,25.2
2023-09-03 06:00:00,942.3,25.3,95.0,0.0,0.0,1.9,254.0,0.0,0.0,24.5,,26.2,27.0,26.5,-99.8,25.1
2023-09-03 07:00:00,941.9,25.5,96.0,1.3,179.0,3.0,180.0,0.0,0.1,25.1,,26.2,26.9,26.5,-99.8,25.4
2023-09-03 08:00:00,941.9,26.3,93.0,0.5,178.0,3.5,178.0,0.0,0.4,26.1,,26.2,26.9,26.5,-99.8,26.0
2023-09-03 09:00:00,941.6,26.2,94.0,0.6,285.0,2.2,268.0,0.0,0.3,25.9,,26.2,26.9,26.5,-99.8,26.0
2023-09-03 10:00:00,940.9,26.8,92.0,0.0,0.0,1.0,278.0,0.0,0.5,27.0,,26.3,26.9,26.5,-99.8,26.7
2023-09-03 11:00:00,940.3,26.2,94.0,0.2,0.0,2.1,154.0,0.0,0.5,26.3,,26.4,26.9,26.5,-99.8,26.3
2023-09-03 12:00:00,939.5,25.9,94.0,0.0,0.0,0.4,155.0,1.0,0.3,25.7,,26.4,26.9,26.5,-99.8,26.0
2023-09-03 13:00:00,936.5,25.4,92.0,0.7,41.0,4.1,58.0,0.5,0.2,25.3,,26.5,26.9,26.5,-99.8,25.8
2023-09-03 14:00:00,936.4,24.6,92.0,3.3,72.0,5.6,67.0,0.0,0.2,24.6,,26.4,26.9,26.5,-99.8,25.3
2023-09-03 15:00:00,935.5,24.3,95.0,4.2,77.0,7.9,59.0,0.5,0.1,23.8,,26.4,26.9,26.5,-99.8,24.7
2023-09-03 16:00:00,934.6,23.3,93.0,6.3,70.0,11.5,52.0,0.5,0.0,23.1,,26.2,26.9,26.5,-99.8,23.9
2023-09-03 17:00:00,933.8,23.6,93.0,6.7,69.0,11.7,65.0,1.0,0.0,23.3,,26.0,26.9,26.5,-99.8,23.9
2023-09-03 18:00:00,932.7,23.8,94.0,7.9,65.0,14.6,60.0,0.0,0.0,22.7,,25.9,26.9,26.5,-99.8,23.4
2023-09-03 19:00:00,931.9,24.1,90.0,5.9,60.0,12.7,53.0,0.0,0.0,22.8,,25.7,26.9,26.5,-99.8,23.3
2023-09-03 20:00:00,932.2,24.7,85.0,6.2,68.0,12.2,73.0,0.0,0.0,23.4,,25.6,26.9,26.5,-99.8,23.5
2023-09-03 21:00:00,934.1,24.9,87.0,7.0,65.0,14.9,55.0,0.0,0.0,23.6,,25.5,26.9,26.5,-99.8,23.6
2023-09-03 22:00:00,935.5,24.5,92.0,4.7,71.0,12.3,69.0,0.0,0.0,23.6,,25.4,26.8,26.5,-99.8,23.8
2023-09-03 23:00:00,936.8,24.4,92.0,3.9,82.0,9.1,62.0,0.5,0.0,23.3,,25.3,26.8,26.5,-99.8,23.7
2023-09-04 00:00:00,937.2,24.4,91.0,3.4,191.0,6.0,50.0,0.0,-99.8,-99.8,,-99.8,-99.8,-99.8,-99.8,-99.8
2023-09-04 01:00:00,937.6,24.0,93.0,2.1,131.0,5.4,172.0,0.0,0.0,23.0,,25.3,26.8,26.5,-99.8,23.6
2023-09-04 02:00:00,937.4,24.4,92.0,0.4,337.0,3.1,130.0,0.0,0.0,23.0,,25.2,26.8,26.5,-99.8,23.8
