﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,日照時數(hour),TxSoil10cm
2018-08-01,1003.3,1005.0,2018-08-01 08:45:00,1001.0,2018-08-01 16:31:00,29.6,34.3,2018-08-01 13:02:00,26.4,2018-08-01 05:46:00,82.0,58.0,2018-08-01 14:19:00,2.1,154.0,7.4,252.0,2018-08-01 15:01:00,0.0,,,,,,,,
2018-08-02,1002.8,1004.8,2018-08-02 09:29:00,1000.8,2018-08-02 16:27:00,28.5,33.3,2018-08-02 13:10:00,23.7,2018-08-02 04:37:00,87.0,67.0,2018-08-02 14:29:00,2.0,222.0,7.3,233.0,2018-08-02 15:41:00,23.0,,,,,,,,
2018-08-03,1003.1,1004.6,2018-08-03 23:01:00,1001.4,2018-08-03 02:30:00,28.2,33.2,2018-08-03 10:36:00,26.2,2018-08-03 06:05:00,85.0,67.0,2018-08-03 13:27:00,2.3,170.0,9.8,185.0,2018-08-03 11:47:00,1.5,,,,,,,,
2018-08-04,1004.4,1006.2,2018-08-04 23:05:00,1002.5,2018-08-04 16:20:00,28.5,33.8,2018-08-04 13:14:00,25.3,2018-08-04 05:37:00,81.0,58.0,2018-08-04 13:58:00,1.5,255.0,7.6,156.0,2018-08-04 17:59:00,0.0,,,,,,,,
2018-08-05,1005.2,1006.4,2018-08-05 23:18:00,1003.3,2018-08-05 14:35:00,28.4,34.2,2018-08-05 11:22:00,24.9,2018-08-05 05:04:00,80.0,55.0,2018-08-05 10:38:00,0.9,109.0,5.8,5.0,2018-08-05 12:31:00,0.0,,,,,,,,
2018-08-06,1004.4,1006.2,2018-08-06 00:01:00,1001.8,2018-08-06 16:39:00,29.2,33.3,2018-08-06 11:40:00,25.5,2018-08-06 00:05:00,79.0,65.0,2018-08-06 13:07:00,1.1,7.0,6.1,324.0,2018-08-06 12:56:00,0.0,,,,,,,,
2018-08-07,1003.4,1004.9,2018-08-07 06:42:00,1001.1,2018-08-07 17:09:00,29.5,33.5,2018-08-07 15:44:00,26.3,2018-08-07 00:30:00,79.0,59.0,2018-08-07 15:44:00,1.0,278.0,5.9,257.0,2018-08-07 12:56:00,0.0,,,,,,,,
2018-08-08,1003.7,1005.3,2018-08-08 23:16:00,1002.0,2018-08-08 17:22:00,29.6,34.7,2018-08-08 13:01:00,25.9,2018-08-08 05:02:00,77.0,51.0,2018-08-08 10:40:00,1.1,173.0,8.0,272.0,2018-08-08 11:17:00,0.0,,,,,,,,
2018-08-09,1004.2,1005.4,2018-08-09 22:31:00,1002.4,2018-08-09 17:30:00,29.0,33.8,2018-08-09 14:18:00,25.5,2018-08-09 05:00:00,79.0,55.0,2018-08-09 13:25:00,0.8,183.0,4.5,353.0,2018-08-09 15:23:00,0.0,,,,,,,,
2018-08-10,1002.9,1005.0,2018-08-10 00:17:00,1000.6,2018-08-10 16:58:00,29.2,33.5,2018-08-10 13:04:00,26.0,2018-08-11 00:00:00,78.0,57.0,2018-08-10 15:24:00,0.7,20.0,4.9,3.0,2018-08-10 14:12:00,0.0,,,,,,,,
2018-08-11,999.8,1002.5,2018-08-11 00:01:00,997.3,2018-08-11 17:01:00,29.1,33.8,2018-08-11 14:40:00,24.9,2018-08-11 05:44:00,76.0,46.0,2018-08-11 14:48:00,0.7,311.0,5.1,16.0,2018-08-11 16:21:00,0.0,,,,,,,,
2018-08-12,996.3,998.2,2018-08-12 00:10:00,993.6,2018-08-12 15:45:00,28.5,32.8,2018-08-12 14:18:00,25.1,2018-08-12 04:32:00,85.0,67.0,2018-08-12 14:31:00,0.8,343.0,4.9,352.0,2018-08-12 14:22:00,1.5,,,,,,,,
