﻿觀測時間(hour),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-08-01,999.7,1001.4,2018-08-01 07:33:00,997.2,2018-08-01 16:39:00,30.6,34.9,2018-08-01 14:14:00,27.7,2018-08-01 05:43:00,84.0,51.0,2018-08-01 14:53:00,2.1,186.0,7.2,214.0,2018-08-01 09:47:00,0.0,,,,,,,,
2018-08-02,999.2,1001.1,2018-08-02 09:56:00,997.0,2018-08-02 16:30:00,29.4,33.5,2018-08-02 14:29:00,25.6,2018-08-02 23:28:00,90.0,58.0,2018-08-02 14:35:00,1.9,170.0,7.8,242.0,2018-08-02 23:14:00,17.0,,,,,,,,
2018-08-03,999.5,1001.0,2018-08-03 23:22:00,997.9,2018-08-03 02:42:00,28.6,33.3,2018-08-03 11:47:00,26.3,2018-08-03 12:24:00,93.0,61.0,2018-08-03 11:27:00,1.9,178.0,11.0,227.0,2018-08-03 11:58:00,3.0,,,,,,,,
2018-08-04,1000.8,1002.7,2018-08-04 22:51:00,999.0,2018-08-04 15:11:00,28.6,33.4,2018-08-04 11:25:00,25.2,2018-08-04 18:07:00,89.0,60.0,2018-08-04 11:26:00,1.1,134.0,6.9,150.0,2018-08-04 17:47:00,10.0,,,,,,,,
2018-08-05,1001.6,1002.8,2018-08-05 22:54:00,999.7,2018-08-05 14:29:00,28.4,34.2,2018-08-05 11:59:00,24.9,2018-08-05 04:32:00,86.0,52.0,2018-08-05 11:38:00,1.1,100.0,7.4,330.0,2018-08-05 14:19:00,0.0,,,,,,,,
2018-08-06,1000.8,1002.6,2018-08-06 00:01:00,998.2,2018-08-06 16:01:00,28.9,33.0,2018-08-06 13:58:00,25.3,2018-08-06 03:03:00,89.0,68.0,2018-08-06 13:59:00,1.6,3.0,7.9,25.0,2018-08-06 14:29:00,5.5,,,,,,,,
2018-08-07,999.8,1001.3,2018-08-07 06:45:00,997.4,2018-08-07 17:15:00,29.7,33.5,2018-08-07 10:48:00,26.3,2018-08-07 05:30:00,87.0,61.0,2018-08-07 10:48:00,1.5,14.0,6.5,331.0,2018-08-07 13:44:00,0.0,,,,,,,,
2018-08-08,1000.1,1001.7,2018-08-08 23:14:00,998.2,2018-08-08 17:09:00,29.8,34.3,2018-08-08 12:39:00,27.5,2018-08-08 05:33:00,87.0,51.0,2018-08-08 12:30:00,1.7,207.0,6.2,328.0,2018-08-08 14:19:00,0.0,,,,,,,,
2018-08-09,1000.6,1001.7,2018-08-09 22:48:00,998.7,2018-08-09 16:15:00,29.7,33.4,2018-08-09 13:24:00,27.3,2018-08-09 05:22:00,82.0,53.0,2018-08-09 13:25:00,1.3,321.0,6.2,327.0,2018-08-09 15:00:00,0.0,,,,,,,,
2018-08-10,999.3,1001.3,2018-08-10 00:04:00,996.9,2018-08-10 16:45:00,29.9,33.7,2018-08-10 12:19:00,26.4,2018-08-10 05:49:00,81.0,54.0,2018-08-10 11:30:00,1.3,91.0,7.3,25.0,2018-08-10 14:31:00,0.0,,,,,,,,
2018-08-11,996.1,999.0,2018-08-11 00:02:00,993.7,2018-08-11 17:18:00,29.9,33.7,2018-08-11 14:02:00,26.1,2018-08-11 04:52:00,81.0,43.0,2018-08-11 14:39:00,1.2,24.0,6.2,331.0,2018-08-11 16:12:00,0.0,,,,,,,,
2018-08-12,992.7,994.6,2018-08-12 00:30:00,989.9,2018-08-12 16:21:00,29.7,33.5,2018-08-12 12:45:00,27.2,2018-08-12 05:59:00,86.0,63.0,2018-08-12 12:44:00,1.4,348.0,6.0,329.0,2018-08-12 13:34:00,0.0,,,,,,,,
2018-08-13,994.3,996.3,2018-08-13 23:18:00,992.9,2018-08-13 02:33:00,29.2,34.2,2018-08-13 13:25:00,26.4,2018-08-13 23:56:00,87.0,55.0,2018-08-13 14:04:00,1.6,208.0,8.8,202.0,2018-08-13 14:47:00,0.5,,,,,,,,
2018-08-14,995.5,997.2,2018-08-14 22:03:00,993.3,2018-08-14 14:02:00,27.4,33.6,2018-08-14 12:22:00,24.3,2018-08-14 16:09:00,91.0,56.0,2018-08-14 12:32:00,1.2,165.0,10.0,105.0,2018-08-14 14:26:00,121.5,,,,,,,,
2018-08-15,997.3,998.7,2018-08-15 22:31:00,995.9,2018-08-15 01:59:00,27.9,30.6,2018-08-15 15:06:00,25.3,2018-08-15 02:32:00,94.0,72.0,2018-08-15 15:16:00,1.9,206.0,9.2,213.0,2018-08-15 11:08:00,0.0,,,,,,,,
2018-08-16,996.9,998.4,2018-08-16 00:01:00,994.9,2018-08-16 16:33:00,29.1,33.6,2018-08-16 13:56:00,25.5,2018-08-16 05:32:00,88.0,55.0,2018-08-16 14:11:00,1.7,210.0,6.9,262.0,2018-08-16 17:14:00,0.0,,,,,,,,
2018-08-17,996.0,998.0,2018-08-17 22:15:00,994.1,2018-08-17 15:53:00,29.4,33.1,2018-08-17 13:44:00,25.5,2018-08-17 06:03:00,85.0,62.0,2018-08-17 13:42:00,2.2,181.0,9.2,225.0,2018-08-17 14:41:00,0.0,,,,,,,,
2018-08-18,998.0,999.6,2018-08-18 23:19:00,996.9,2018-08-18 15:36:00,27.7,31.6,2018-08-18 09:51:00,26.0,2018-08-18 17:20:00,96.0,66.0,2018-08-18 09:54:00,1.2,166.0,7.2,242.0,2018-08-18 12:10:00,5.5,,,,,,,,
2018-08-19,999.4,1001.3,2018-08-19 22:05:00,997.8,2018-08-19 14:07:00,27.5,32.2,2018-08-19 11:49:00,25.5,2018-08-19 23:55:00,94.0,62.0,2018-08-19 11:50:00,1.3,153.0,8.6,217.0,2018-08-19 14:21:00,21.0,,,,,,,,
2018-08-20,998.6,1000.1,2018-08-20 00:18:00,996.9,2018-08-20 14:58:00,27.1,32.7,2018-08-20 12:13:00,24.2,2018-08-20 17:23:00,92.0,62.0,2018-08-20 12:22:00,1.1,69.0,8.2,173.0,2018-08-20 16:45:00,19.5,,,,,,,,
2018-08-21,996.2,998.0,2018-08-21 00:02:00,993.7,2018-08-21 15:35:00,27.5,33.7,2018-08-21 13:11:00,24.2,2018-08-21 04:42:00,91.0,59.0,2018-08-21 12:16:00,1.0,124.0,8.0,321.0,2018-08-21 15:49:00,33.0,,,,,,,,
2018-08-22,994.2,996.0,2018-08-22 08:37:00,992.6,2018-08-22 14:11:00,27.5,31.4,2018-08-22 13:02:00,25.4,2018-08-22 04:50:00,96.0,72.0,2018-08-22 13:13:00,1.3,59.0,6.9,5.0,2018-08-22 13:01:00,5.5,,,,,,,,
2018-08-23,990.9,992.9,2018-08-23 00:05:00,989.1,2018-08-23 17:54:00,26.1,30.6,2018-08-23 10:40:00,22.5,2018-08-23 23:19:00,99.0,86.0,2018-08-23 13:03:00,2.4,186.0,16.6,201.0,2018-08-23 19:47:00,68.0,,,,,,,,
2018-08-24,993.7,995.9,2018-08-24 22:25:00,990.4,2018-08-24 01:51:00,24.2,26.2,2018-08-24 10:19:00,23.3,2018-08-24 01:45:00,100.0,99.0,2018-08-24 00:04:00,3.6,199.0,14.5,210.0,2018-08-24 04:37:00,62.0,,,,,,,,
2018-08-25,994.0,995.7,2018-08-25 20:50:00,992.2,2018-08-25 16:23:00,26.7,31.5,2018-08-25 13:21:00,24.2,2018-08-25 05:17:00,95.0,73.0,2018-08-25 13:24:00,2.1,204.0,10.8,226.0,2018-08-25 11:53:00,37.0,,,,,,,,
2018-08-26,995.7,998.1,2018-08-26 23:56:00,994.0,2018-08-26 02:28:00,27.1,30.5,2018-08-26 13:39:00,24.9,2018-08-26 04:01:00,94.0,71.0,2018-08-26 13:09:00,1.6,207.0,8.8,224.0,2018-08-26 14:44:00,3.0,,,,,,,,
2018-08-27,999.3,1001.5,2018-08-27 22:54:00,996.8,2018-08-27 04:16:00,26.7,29.8,2018-08-27 14:00:00,24.4,2018-08-27 08:36:00,94.0,72.0,2018-08-27 13:56:00,2.9,205.0,12.4,225.0,2018-08-27 13:24:00,2.5,,,,,,,,
2018-08-28,1002.0,1003.3,2018-08-28 20:32:00,1000.4,2018-08-28 03:53:00,24.8,26.4,2018-08-28 00:34:00,23.4,2018-08-28 19:43:00,99.0,89.0,2018-08-28 23:24:00,3.0,204.0,11.8,206.0,2018-08-28 02:04:00,7.0,,,,,,,,
2018-08-29,1002.8,1004.8,2018-08-30 00:00:00,1001.4,2018-08-29 04:48:00,25.2,27.5,2018-08-29 12:43:00,23.5,2018-08-29 05:12:00,99.0,86.0,2018-08-29 12:44:00,2.3,208.0,11.8,203.0,2018-08-29 11:51:00,4.0,,,,,,,,
2018-08-30,1005.4,1008.0,2018-08-31 00:00:00,1003.1,2018-08-30 04:53:00,26.3,30.0,2018-08-30 11:50:00,24.1,2018-08-30 04:07:00,92.0,65.0,2018-08-30 11:18:00,1.8,163.0,11.6,225.0,2018-08-30 11:53:00,0.0,,,,,,,,
